clade_name	NCBI_tax_id	reERR1346892_taxonomic_profile	reERR1346891_taxonomic_profile	reERR1346890_taxonomic_profile	reERR1346889_taxonomic_profile	reERR1346888_taxonomic_profile	reERR1346887_taxonomic_profile	reERR1346884_taxonomic_profile	reERR1346883_taxonomic_profile	reERR1346882_taxonomic_profile	reERR1346881_taxonomic_profile	reERR1346880_taxonomic_profile	reERR1346879_taxonomic_profile	reERR1346878_taxonomic_profile	reERR1346877_taxonomic_profile	reERR1346876_taxonomic_profile	reERR1346875_taxonomic_profile	reERR1346874_taxonomic_profile	reERR1346873_taxonomic_profile	reERR1346872_taxonomic_profile	reERR1346871_taxonomic_profile	reERR1346870_taxonomic_profile	reERR1346869_taxonomic_profile	reERR1346868_taxonomic_profile	reERR1346867_taxonomic_profile	reERR1346866_taxonomic_profile	reERR1346865_taxonomic_profile	reERR1346864_taxonomic_profile	reERR1346863_taxonomic_profile	reERR1346862_taxonomic_profile	reERR1346861_taxonomic_profile	reERR1346860_taxonomic_profile	reERR1346859_taxonomic_profile	reERR1346858_taxonomic_profile	reERR1346857_taxonomic_profile	reERR1346856_taxonomic_profile	reERR1346855_taxonomic_profile	reERR1346854_taxonomic_profile	reERR1346853_taxonomic_profile	reERR1346852_taxonomic_profile	reERR1346851_taxonomic_profile	reERR1346850_taxonomic_profile	reERR1346849_taxonomic_profile	reERR1346848_taxonomic_profile	reERR1346847_taxonomic_profile	reERR1346846_taxonomic_profile	reERR1346845_taxonomic_profile	reERR1346844_taxonomic_profile	reERR1346843_taxonomic_profile	reERR1346842_taxonomic_profile	reERR1346841_taxonomic_profile	reERR1346840_taxonomic_profile	reERR1346839_taxonomic_profile	reERR1346838_taxonomic_profile	reERR1346837_taxonomic_profile	reERR1346836_taxonomic_profile	reERR1346835_taxonomic_profile	reERR1346834_taxonomic_profile	reERR1346833_taxonomic_profile	reERR1346832_taxonomic_profile	reERR1346831_taxonomic_profile	reERR1346830_taxonomic_profile	reERR1346829_taxonomic_profile	reERR1346828_taxonomic_profile	reERR1346827_taxonomic_profile	reERR1346826_taxonomic_profile	reERR1346825_taxonomic_profile	reERR1346824_taxonomic_profile	reERR1346823_taxonomic_profile	reERR1346822_taxonomic_profile	reERR1346821_taxonomic_profile	reERR1346820_taxonomic_profile	reERR1346819_taxonomic_profile	reERR1346818_taxonomic_profile	reERR1346817_taxonomic_profile	reERR1346816_taxonomic_profile	reERR1346815_taxonomic_profile	reERR1346814_taxonomic_profile	reERR1346813_taxonomic_profile	reERR1346812_taxonomic_profile	reERR1346811_taxonomic_profile	reERR1346810_taxonomic_profile	reERR1346809_taxonomic_profile	reERR1346808_taxonomic_profile	reERR1346807_taxonomic_profile	reERR1346806_taxonomic_profile	reERR1346805_taxonomic_profile	reERR1346804_taxonomic_profile	reERR1346803_taxonomic_profile	reERR1346802_taxonomic_profile	reERR1346801_taxonomic_profile
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	2157|651137|72384459|54883673|1846429	0	0	0.044552324205900634	0.03128513347329728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039175694299353565	0	0.01484774275891308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__GGB32771	2157|651137|72384459|54883673|1846429|23040274	0	0	0.044552324205900634	0.03128513347329728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039175694299353565	0	0.01484774275891308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__GGB32771|s__GGB32771_SGB54709	2157|651137|72384459|54883673|1846429|23040274|88527980	0	0	0.044552324205900634	0.03128513347329728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039175694299353565	0	0.01484774275891308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	3.000720449696052	3.780596052007164	2.278529496087552	2.758980685170328	0.9085722276261096	3.0613246466786586	0	2.393857192688975	0.6820494055584646	0	0.3486114463819316	0.4646017719774288	0	0.5757104405707951	0.9058826135632952	0	0.6161879802902925	0.8595396315371554	1.0375385392560716	2.387295420997642	0.4338324383960172	0.7000803616660307	0.3428335904627434	0.2122256014349735	0.7710060062779579	0.4824329687799118	0.9311438352560826	2.807734666892048	0	0.8899475623073136	0.544306300154332	0.160274989641333	0.7321174936202469	0.190226253568466	0.40199191883134094	0.2513805427265838	3.3173854254458934	0	0.5708427797042731	1.4525712518699119	0.7770338600641371	1.0261325767042169	3.448203251686668	0.2214142615428856	1.5893612927167042	0.5363952226493264	0	0.4520226153988634	0.7670134115074281	1.9209206279731763	3.5165136552044847	0.8459048756706421	0.8408436285011565	1.496873551637767	1.2657787219844447	0.9291851619627248	3.0803659113015973	3.30816645170109	3.109964191757137	2.145682377947011	2.62630572513698	5.796807084103768	1.5051876994490097	1.9485616452397256	2.733904441247915	1.7848617470498644	3.3659739471367813	7.804555967250303	2.390812664416257	2.911407089058156	4.314021620734193	7.006471595518445	1.5311919256792472	1.6980424818794304	1.4451005077357693	1.5179861574312707	4.434925242943111	4.278431050873258	2.9977627441736763	1.2113433838102512	2.7741816315339114	2.3486521027569456	1.983372736128905	2.3743568651366296	2.2693025520009167	3.1464157471788727	20.062358471793576	2.453980068608494	3.2335985891554646	3.7802597636456174
k__Bacteria|p__Acidobacteria	2|57723	0.004176702793931934	0.3410589116397223	0.028197137646154717	0.004969859763202699	0	0.009654499538230487	0	0	0.0616222089230395	0	0	0	0	0	0.0405477320185957	0	0	0.002389172409206643	0	0	0.0006410741942177947	0	0	0	0.0007739358291018141	0.0019089412669993809	0	0.0016744995474540778	0	0	0	0	0	0	0	0	0	0	0	0.002147771853014852	0.036113347976954834	0.10750082974652153	0	0	0	0.02052473407849836	0	0.1145643634343958	0	0.03788250248304637	0	0.0015799643920508034	0	0	0	0	0.005326568733822722	0.0408343525965724	0	0	0.007361771324846504	0.0035134447736752932	0.03836693342141537	0.014330696619915562	0.0022163763305196845	0.31879879728111865	0.02897968929526883	1.51405263942269	0.010353175161988158	0.06172270371015962	0.6935104678908529	0.7106138653964695	0.04243028717293942	0.049425108424883055	0.021584021183541448	0	0	0	0	0	0.0015224708793858106	0.0042893433352650095	0.011418037953770306	0.2529967465363954	0.010305810609656964	0.2444827963872928	0.9174255718491068	0.03218934735595134	0.038606256915786015	1.6641659885288211
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0.004176702793931934	0.3410589116397223	0.0006934055666545294	0.0018151113838011	0	0.009654499538230487	0	0	0.0616222089230395	0	0	0	0	0	0.0405477320185957	0	0	0	0	0	0.0006410741942177947	0	0	0	0.0007739358291018141	0.0003300969799460116	0	0.0008797565285580418	0	0	0	0	0	0	0	0	0	0	0	0.002147771853014852	0.036113347976954834	0.10750082974652153	0	0	0	0.02052473407849836	0	0.1145643634343958	0	0.03788250248304637	0	0.0012459554155467398	0	0	0	0	0.005326568733822722	0.0408343525965724	0	0	0	0.0035134447736752932	0.03836693342141537	0.014330696619915562	0.0022163763305196845	0.31879879728111865	0.02897968929526883	1.51405263942269	0.010353175161988158	0.06172270371015962	0.6935104678908529	0.7106138653964695	0.04243028717293942	0.04367612502317804	0.021584021183541448	0	0	0	0	0	0.0015224708793858106	0.0042893433352650095	0.011418037953770306	0.2529967465363954	0.010305810609656964	0.2444827963872928	0.9174255718491068	0.03218934735595134	0.038606256915786015	1.6641659885288211
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2|57723|204432|204433	0.004176702793931934	0.3410589116397223	0.0006934055666545294	0.0018151113838011	0	0.009654499538230487	0	0	0.0616222089230395	0	0	0	0	0	0.008976169124301395	0	0	0	0	0	0.0006410741942177947	0	0	0	0.0007739358291018141	0.0003300969799460116	0	0.0008797565285580418	0	0	0	0	0	0	0	0	0	0	0	0.002147771853014852	0.0055674476073595425	0.0348984610939374	0	0	0	0.020219686115377684	0	0.11231387843910944	0	0.03788250248304637	0	0.0012459554155467398	0	0	0	0	0.005326568733822722	0.039135278306978716	0	0	0	0.0035134447736752932	0.03836693342141537	0.014330696619915562	0.0022163763305196845	0.31879879728111865	0.02897968929526883	1.51405263942269	0.010353175161988158	0.06172270371015962	0.6935104678908529	0.7106138653964695	0.04243028717293942	0.04367612502317804	0.021584021183541448	0	0	0	0	0	0.0015224708793858106	0.0042893433352650095	0.011418037953770306	0.2529967465363954	0.010305810609656964	0.2444827963872928	0.9174255718491068	0.03218934735595134	0.038606256915786015	1.6641659885288211
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	2|57723|204432|204433|204434	0.004176702793931934	0.3410589116397223	0.0006934055666545294	0.0018151113838011	0	0.009654499538230487	0	0	0.0616222089230395	0	0	0	0	0	0.008976169124301395	0	0	0	0	0	0.0006410741942177947	0	0	0	0.0007739358291018141	0.0003300969799460116	0	0.0008797565285580418	0	0	0	0	0	0	0	0	0	0	0	0.002147771853014852	0.0055674476073595425	0.0348984610939374	0	0	0	0.020219686115377684	0	0.11231387843910944	0	0.03788250248304637	0	0.0012459554155467398	0	0	0	0	0.005326568733822722	0.039135278306978716	0	0	0	0.0035134447736752932	0.03836693342141537	0.014330696619915562	0.0022163763305196845	0.31879879728111865	0.02897968929526883	1.51405263942269	0.010353175161988158	0.06172270371015962	0.6935104678908529	0.7106138653964695	0.04243028717293942	0.04367612502317804	0.021584021183541448	0	0	0	0	0	0.0015224708793858106	0.0042893433352650095	0.011418037953770306	0.2529967465363954	0.010305810609656964	0.2444827963872928	0.9174255718491068	0.03218934735595134	0.038606256915786015	1.6641659885288211
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	2|57723|204432|204433|204434|65805798	0	0.004740489389611783	0.0006934055666545294	0.0018151113838011	0	0.008699978513396081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007739358291018141	0.0003300969799460116	0	0.0008797565285580418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11231387843910944	0	0.03788250248304637	0	0.0012459554155467398	0	0	0	0	0.002896776102988022	0.003166246110923113	0	0	0	0	0	0.0019127081109673145	0	9.74534513889226e-05	0	0.0006774354579573264	0	0.00015546913855570558	0	0.0002844627467780489	0.03746714017951642	0.017696567623728576	0.002348288325070625	0	0	0	0	0	0.0015224708793858106	0.0022990955433887738	0.011418037953770306	0	0.009564883326428663	0.00030079734543030025	0	0.00933543097700043	0.0074780200972809265	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified|s__Acidobacteriaceae_bacterium_KBS_83	2|57723|204432|204433|204434|65805798|1267533	0	0.004740489389611783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002896776102988022	0.0017050289892067414	0	0	0	0	0	0	0	9.74534513889226e-05	0	0.0006774354579573264	0	0	0	0.00023051291549255684	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030079734543030025	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified|s__Acidobacteriaceae_bacterium_KBS_83|t__SGB30552	2|57723|204432|204433|204434|65805798|1267533|SGB30552	0	0.004740489389611783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002896776102988022	0.0017050289892067414	0	0	0	0	0	0	0	9.74534513889226e-05	0	0.0006774354579573264	0	0	0	0.00023051291549255684	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030079734543030025	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified|s__Acidobacteriaceae_bacterium_KBS_89	2|57723|204432|204433|204434|65805798|1267534	0	0	0.0006934055666545294	0.0018151113838011	0	0.008699978513396081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007739358291018141	0.0003300969799460116	0	0.0008797565285580418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11231387843910944	0	0.03788250248304637	0	0.0012459554155467398	0	0	0	0	0	0.0014612171217163713	0	0	0	0	0	0.0019127081109673145	0	0	0	0	0	0.00015546913855570558	0	5.394983128549202e-05	0.03746714017951642	0.017696567623728576	0.002348288325070625	0	0	0	0	0	0.0015224708793858106	0.0022990955433887738	0.011418037953770306	0	0.009564883326428663	0	0	0.00933543097700043	0.0074780200972809265	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	2|57723|204432|204433|204434|388463	0	0.004735196555138973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002147771853014852	0.0055674476073595425	0.0348984610939374	0	0	0	0.01987591041718173	0	0	0	0	0	0	0	0	0	0	0.00014631738078682587	0.009538436330189751	0	0	0	0.0035134447736752932	0	0.0062794347579495395	0.0022163763305196845	0.039809556406200174	0.02897968929526883	0.34674783661336706	0.010353175161988158	0.06156723457160392	0.11173876820512256	0.09162853358471157	0.0049631469934229965	0.010124126358330788	0.01701981573990879	0	0	0	0	0	0	0.0015418901054599348	0	0.041555993853621284	0.0007409272832282994	0.09142257059160404	0.12214365084797366	0.02285367098094404	0.0177379050608123	0.07832206796504446
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter|s__Edaphobacter_aggregans	2|57723|204432|204433|204434|388463|570835	0	0.004735196555138973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005148107137325057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014631738078682587	0.008917824303850626	0	0	0	0.0035134447736752932	0	0	0	0	0	0.0003668141304607643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9781899196398583e-05	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter|s__Edaphobacter_aggregans|t__SGB30544	2|57723|204432|204433|204434|388463|570835|SGB30544	0	0.004735196555138973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014631738078682587	0.008601563591068003	0	0	0	0.0035134447736752932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	2|57723|204432|204433|204434|940557	0.004176702793931934	0.00819633224075153	0	0	0	0	0	0	0	0	0	0	0	0	0.008976169124301395	0	0	0	0	0	0.0006410741942177947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034377569819595325	0	0	0	0	0	0	0	0	0	0	0.002010554830306552	0.0051746339637508436	0	0	0	0	0.03836693342141537	0.006138553750998707	0	0.27074068079710223	0	1.0703269512714642	0	0	0.5493721031075303	0.5864143473056712	0	0.0009531209323879363	0	0	0	0	0	0	0	0.00044859255162657666	0	0.19807739737441213	0	0.1482965523544599	0.7658103164060684	0	0.013390008397833865	1.5297146235931665
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_sp_GAS466	2|57723|204432|204433|204434|940557|2485170	0.004176702793931934	0.00819633224075153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002010554830306552	0.0051746339637508436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_sp_GAS466|t__SGB30548	2|57723|204432|204433|204434|940557|2485170|SGB30548	0.004176702793931934	0.00819633224075153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002010554830306552	0.0051746339637508436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
