name	length	genome_ID
sgb_115	4716434	BIN_UNKNOWN_665_Galbitalea
sgb_011	2433140	BIN_UNKNOWN_581_Nevskia
sgb_383	374758	BIN_UNKNOWN_482
sgb_048	3265456	BIN_UNKNOWN_508_Caulobacter
sgb_148	3136231	BIN_UNKNOWN_463_Steroidobacteraceae
sgb_468	4416311	BIN_UNKNOWN_31_Sphingomonadaceae
sgb_626	3674267	BIN_UNKNOWN_528_Rhodospirillales
sgb_602	1665176	BIN_UNKNOWN_457_Methyloceanibacter
sgb_451	1742278	BIN_UNKNOWN_213_Nitrososphaeraceae
sgb_226	2806619	BIN_UNKNOWN_489_Acidimicrobiales
sgb_552	5816384	BIN_UNKNOWN_16_Pyrinomonadaceae
sgb_154	4516142	BIN_UNKNOWN_268_Vicinamibacterales
sgb_084	4227919	BIN_UNKNOWN_118
sgb_066	4902183	BIN_UNKNOWN_20_Micrococcaceae
sgb_445	3121125	BIN_UNKNOWN_59_Methylacidiphilales
sgb_229	3073647	BIN_UNKNOWN_633_Verrucomicrobiae
sgb_633	4342337	BIN_UNKNOWN_50_Asticcacaulis
sgb_492	5600873	BIN_UNKNOWN_98_Gemmatimonas
sgb_408	741971	BIN_UNKNOWN_437
sgb_324	3331652	BIN_UNKNOWN_18_Pseudopelobacteraceae
sgb_482	3481288	BIN_UNKNOWN_196_Sphingomonadaceae
sgb_425	2045076	BIN_UNKNOWN_563_Anaerolineaceae
sgb_475	2181439	BIN_UNKNOWN_490_Capsulimonadaceae
sgb_428	1548054	BIN_UNKNOWN_145
sgb_014	5591447	BIN_UNKNOWN_535_Burkholderiaceae
sgb_352	3419714	BIN_UNKNOWN_165_Kiritimatiellae
sgb_279	2411802	BIN_UNKNOWN_315_Pseudolysinimonas
sgb_550	3381029	BIN_UNKNOWN_666_Casimicrobiaceae
sgb_414	2168856	BIN_UNKNOWN_58
sgb_639	2962605	BIN_UNKNOWN_96_Solirubrobacterales
sgb_276	2640931	BIN_UNKNOWN_262_Syntrophales
sgb_192	2642024	BIN_UNKNOWN_520_Propionibacteriaceae
sgb_456	3236823	BIN_UNKNOWN_183_Lacisediminihabitans
sgb_083	4815924	BIN_UNKNOWN_189_Novosphingobium
sgb_650	3407024	BIN_UNKNOWN_68_Aeromicrobium
sgb_044	1063096	BIN_UNKNOWN_14
sgb_375	1829591	BIN_UNKNOWN_350_Bacteroidales
sgb_010	3282625	BIN_UNKNOWN_178_Diaminobutyricibacter
sgb_281	3092996	BIN_UNKNOWN_61_Ignavibacteriaceae
sgb_615	4489531	BIN_UNKNOWN_628
sgb_335	5186922	BIN_UNKNOWN_601_Paraburkholderia
sgb_077	2869199	BIN_UNKNOWN_79_Solirubrobacteraceae
sgb_562	3051051	BIN_UNKNOWN_566_Gemmatimonadales
sgb_196	2889538	BIN_UNKNOWN_383_Pyrinomonadaceae
sgb_065	8291878	BIN_UNKNOWN_85_Haloferula
sgb_193	3987797	BIN_UNKNOWN_556_Thermomicrobiales
sgb_195	3936892	BIN_UNKNOWN_376_Thermomicrobiales
sgb_419	2743977	BIN_UNKNOWN_197_Actinobacteriota
sgb_172	3866870	BIN_UNKNOWN_149_Mucilaginibacter
sgb_316	8282490	BIN_UNKNOWN_496_Planctomycetota
sgb_338	7031209	BIN_UNKNOWN_573_Chitinivibrionales
sgb_102	2170017	BIN_UNKNOWN_510_Rhizomicrobium
sgb_528	4725528	BIN_UNKNOWN_234_Xanthobacteraceae
sgb_517	3447501	BIN_UNKNOWN_26_Allosphingosinicella
sgb_336	822626	BIN_UNKNOWN_103
sgb_617	3093860	BIN_UNKNOWN_474_Steroidobacteraceae
sgb_465	3822582	BIN_UNKNOWN_21_Ferruginibacter
sgb_045	8465179	BIN_UNKNOWN_8_Kitasatospora
sgb_297	3976528	BIN_UNKNOWN_63_Acidimicrobiales
sgb_494	3576470	BIN_UNKNOWN_4_Usitatibacteraceae
sgb_076	6060938	BIN_UNKNOWN_579_Cupriavidus
sgb_318	1395129	BIN_UNKNOWN_469_Syntrophales
sgb_506	5666302	BIN_UNKNOWN_17_Xanthobacteraceae
sgb_505	3945668	BIN_UNKNOWN_344_Burkholderiaceae
sgb_133	921866	BIN_UNKNOWN_504_Rhabdochlamydiaceae
sgb_032	2361807	BIN_UNKNOWN_259_Solirubrobacteraceae
sgb_655	1728892	BIN_UNKNOWN_394_Cytophagaceae
sgb_354	686577	BIN_UNKNOWN_657_Dehalococcoidales
sgb_369	2533315	BIN_UNKNOWN_380_Acidimicrobiales
sgb_027	4938331	BIN_UNKNOWN_38_Asticcacaulis
sgb_378	721797	BIN_UNKNOWN_195
sgb_135	8245571	BIN_UNKNOWN_545_Paraburkholderia
sgb_486	4471539	BIN_UNKNOWN_64_Sediminibacterium
sgb_305	2462995	BIN_UNKNOWN_317_Solirubrobacterales
sgb_607	2302413	BIN_UNKNOWN_517_Chloroflexota
sgb_557	3354824	BIN_UNKNOWN_84_Methylacidiphilales
sgb_555	2518531	BIN_UNKNOWN_622_Acidobacteriales
sgb_481	4435460	BIN_UNKNOWN_5_Leptolyngbyaceae
sgb_461	2397061	BIN_UNKNOWN_497_Usitatibacteraceae
sgb_340	1083324	BIN_UNKNOWN_486
sgb_536	1845350	BIN_UNKNOWN_280_Baltobacteraceae
sgb_150	3640277	BIN_UNKNOWN_102_Steroidobacteraceae
sgb_664	2337187	BIN_UNKNOWN_181_Acidimicrobiales
sgb_177	3936500	BIN_UNKNOWN_258_Beijerinckiaceae
sgb_073	7651372	BIN_UNKNOWN_208_Chthoniobacteraceae
sgb_141	2309011	BIN_UNKNOWN_377_Vicinamibacterales
sgb_280	401077	BIN_UNKNOWN_597
sgb_029	8527707	BIN_UNKNOWN_36_Kitasatospora
sgb_548	1987444	BIN_UNKNOWN_541_Chloroflexota
sgb_498	3660134	BIN_UNKNOWN_202_Capsulimonadaceae
sgb_367	3108725	BIN_UNKNOWN_114_Chloroflexota
sgb_588	3646789	BIN_UNKNOWN_147_Gemmatimonadaceae
sgb_101	4582032	BIN_UNKNOWN_24_Caulobacteraceae
sgb_208	2710212	BIN_UNKNOWN_110_Sphingomonadaceae
sgb_258	997169	BIN_UNKNOWN_97
sgb_582	3153366	BIN_UNKNOWN_293_Chloroflexota
sgb_645	2556755	BIN_UNKNOWN_111_Pseudolysinimonas
sgb_368	7338773	BIN_UNKNOWN_92_Paraburkholderia
sgb_570	2791756	BIN_UNKNOWN_296_Rhodanobacteraceae
sgb_301	2776002	BIN_UNKNOWN_73_Acidimicrobiales
sgb_431	750608	BIN_UNKNOWN_70
sgb_282	2730723	BIN_UNKNOWN_321_Spirochaetia
sgb_342	2248256	BIN_UNKNOWN_639_Chloroflexota
sgb_242	2117052	BIN_UNKNOWN_349_Chloroflexota
sgb_061	3581299	BIN_UNKNOWN_387_Rhodoferax
sgb_526	5045129	BIN_UNKNOWN_43_Thermoanaerobaculia
sgb_233	3401895	BIN_UNKNOWN_203_Anaerolineales
sgb_173	3620741	BIN_UNKNOWN_560_Novosphingobium
sgb_393	4296348	BIN_UNKNOWN_471_Bryobacteraceae
sgb_122	681767	BIN_UNKNOWN_74
sgb_343	708419	BIN_UNKNOWN_432_Actinobacteriota
sgb_566	5601928	BIN_UNKNOWN_313_Methylomirabilota
sgb_019	4826003	BIN_UNKNOWN_658_Thermoanaerobaculia
sgb_504	3158563	BIN_UNKNOWN_12_Novosphingobium
sgb_603	4057016	BIN_UNKNOWN_326_Actinomycetia
sgb_201	4745876	BIN_UNKNOWN_112_Acetobacteraceae
sgb_302	2573726	BIN_UNKNOWN_532_Methyloceanibacter
sgb_272	653105	BIN_UNKNOWN_2
sgb_658	2103007	BIN_UNKNOWN_448_Solirubrobacterales
sgb_634	6046211	BIN_UNKNOWN_631_Trebonia
sgb_175	3514607	BIN_UNKNOWN_187_Caulobacteraceae
sgb_163	6711753	BIN_UNKNOWN_144_Chitinophagaceae
sgb_391	1950516	BIN_UNKNOWN_476_Clostridia
sgb_075	5589392	BIN_UNKNOWN_502_Chthoniobacteraceae
sgb_322	2023801	BIN_UNKNOWN_263_Methanoregula
sgb_333	1529177	BIN_UNKNOWN_583_Anaerolineaceae
sgb_646	2799338	BIN_UNKNOWN_367_Rhizomicrobium
sgb_601	2738356	BIN_UNKNOWN_572_Sphingomonas
sgb_241	3584824	BIN_UNKNOWN_42_Acidobacteriota
sgb_346	3143369	BIN_UNKNOWN_329_Chthoniobacteraceae
sgb_246	4492822	BIN_UNKNOWN_630_Streptosporangiaceae
sgb_488	3605337	BIN_UNKNOWN_428_Acetobacteraceae
sgb_546	2758309	BIN_UNKNOWN_492_Lapillicoccus
sgb_095	9251725	BIN_UNKNOWN_400_Labilithrix
sgb_033	4644734	BIN_UNKNOWN_11_Solimicrobium
sgb_299	231005	BIN_UNKNOWN_445
sgb_595	1562784	BIN_UNKNOWN_75_Nitrosotalea
sgb_643	12427377	BIN_UNKNOWN_241_Byssovorax
sgb_561	4366189	BIN_UNKNOWN_253_Burkholderiaceae
sgb_463	2512974	BIN_UNKNOWN_342_Ktedonobacteraceae
sgb_097	4187803	BIN_UNKNOWN_339_Burkholderiaceae
sgb_438	1907021	BIN_UNKNOWN_487_Bacteroidales
sgb_447	2832893	BIN_UNKNOWN_618_Georhizobium
sgb_401	3691321	BIN_UNKNOWN_44_Diaminobutyricibacter
sgb_190	10041253	BIN_UNKNOWN_644_Streptacidiphilus
sgb_537	1779837	BIN_UNKNOWN_310
sgb_120	4852490	BIN_UNKNOWN_398_Caulobacteraceae
sgb_289	1504472	BIN_UNKNOWN_37_Actinobacteriota
sgb_545	4317169	BIN_UNKNOWN_105_Asticcacaulis
sgb_059	4707776	BIN_UNKNOWN_352_Chthoniobacteraceae
sgb_567	4171548	BIN_UNKNOWN_553_Pyrinomonadaceae
sgb_235	4391065	BIN_UNKNOWN_519_Actinospica
sgb_295	1170474	BIN_UNKNOWN_210_Bacilli
sgb_123	1482554	BIN_UNKNOWN_336_Rhizomicrobium
sgb_446	5358299	BIN_UNKNOWN_182_Phenylobacterium
sgb_159	4756125	BIN_UNKNOWN_338_Steroidobacteraceae
sgb_262	677361	BIN_UNKNOWN_33
sgb_443	1682015	BIN_UNKNOWN_654_Actinomycetia
sgb_310	1881253	BIN_UNKNOWN_587_Dermatophilaceae
sgb_610	3374745	BIN_UNKNOWN_408_Blastocatellia
sgb_176	5385250	BIN_UNKNOWN_39_Jatrophihabitantaceae
sgb_500	583246	BIN_UNKNOWN_151
sgb_070	5271048	BIN_UNKNOWN_130_Mesorhizobium
sgb_051	4426696	BIN_UNKNOWN_312_Aquabacterium
sgb_136	2003195	BIN_UNKNOWN_228_Parachlamydiaceae
sgb_452	458137	BIN_UNKNOWN_663_Mycoplasmatales
sgb_050	5656030	BIN_UNKNOWN_626_Duganella
sgb_339	829943	BIN_UNKNOWN_479_Actinobacteriota
sgb_263	2105027	BIN_UNKNOWN_319_Anaeromyxobacteraceae
sgb_068	2293232	BIN_UNKNOWN_261_Solirubrobacteraceae
sgb_291	2557377	BIN_UNKNOWN_23_Clostridia
sgb_619	3766363	BIN_UNKNOWN_30_Steroidobacteraceae
sgb_259	2544651	BIN_UNKNOWN_322_Bacteroidota
sgb_028	3314881	BIN_UNKNOWN_222_Caulobacteraceae
sgb_181	5070591	BIN_UNKNOWN_116_Sphingomonadaceae
sgb_604	3429960	BIN_UNKNOWN_662_Pyrinomonadaceae
sgb_082	2699636	BIN_UNKNOWN_374_Sphingomonadaceae
sgb_183	2505497	BIN_UNKNOWN_488_Rubrobacteraceae
sgb_640	5716194	BIN_UNKNOWN_294_Verrucomicrobiae
sgb_341	3015126	BIN_UNKNOWN_89_Gemmatimonadales
sgb_514	5123764	BIN_UNKNOWN_211_Thermoanaerobaculia
sgb_160	4896614	BIN_UNKNOWN_534_Steroidobacteraceae
sgb_053	1632992	BIN_UNKNOWN_286_Vampirovibrionales
sgb_250	3269796	BIN_UNKNOWN_78_Chloroflexota
sgb_007	4506519	BIN_UNKNOWN_472_Caulobacteraceae
sgb_109	3153319	BIN_UNKNOWN_647_Burkholderiaceae
sgb_161	2812151	BIN_UNKNOWN_629_Caulobacteraceae
sgb_659	1958571	BIN_UNKNOWN_340_Ilumatobacteraceae
sgb_146	3146674	BIN_UNKNOWN_351_Galbitalea
sgb_436	2085319	BIN_UNKNOWN_174_Pseudopelobacteraceae
sgb_234	2684575	BIN_UNKNOWN_552_Ignavibacteria
sgb_625	2429414	BIN_UNKNOWN_659_Burkholderiaceae
sgb_543	1711675	BIN_UNKNOWN_558_Actinobacteriota
sgb_093	3731937	BIN_UNKNOWN_440_Gemmatimonadaceae
sgb_149	5752477	BIN_UNKNOWN_613_Steroidobacteraceae
sgb_433	3705774	BIN_UNKNOWN_101_Treponemataceae
sgb_478	2855273	BIN_UNKNOWN_224_Lacisediminihabitans
sgb_086	4366091	BIN_UNKNOWN_121_Cytophagales
sgb_139	3868203	BIN_UNKNOWN_271_Caulobacteraceae
sgb_104	2053944	BIN_UNKNOWN_1_Rickettsiales
sgb_450	3941946	BIN_UNKNOWN_137_Pseudomonadaceae
sgb_040	3254056	BIN_UNKNOWN_361_Polaromonas
sgb_328	1774437	BIN_UNKNOWN_555_Clostridia
sgb_349	1692890	BIN_UNKNOWN_561_Clostridia
sgb_046	4923331	BIN_UNKNOWN_170_Caulobacteraceae
sgb_197	5119709	BIN_UNKNOWN_401_Thermomicrobiales
sgb_372	3066456	BIN_UNKNOWN_582_Nakamurella
sgb_627	2881272	BIN_UNKNOWN_148_Thermoleophilaceae
sgb_462	2917424	BIN_UNKNOWN_184_Edaphobacter
sgb_571	6172648	BIN_UNKNOWN_554_Gemmatimonadaceae
sgb_540	1254048	BIN_UNKNOWN_543_Chloroflexota
sgb_656	3963818	BIN_UNKNOWN_617_Burkholderiaceae
sgb_623	1868248	BIN_UNKNOWN_363
sgb_174	3760966	BIN_UNKNOWN_523_Caulobacteraceae
sgb_398	2024760	BIN_UNKNOWN_143_Thermoleophilia
sgb_442	1941711	BIN_UNKNOWN_664_Actinobacteriota
sgb_394	2651607	BIN_UNKNOWN_172_Syntrophales
sgb_520	2695544	BIN_UNKNOWN_634
sgb_098	7587219	BIN_UNKNOWN_252_Minicystis
sgb_296	1224869	BIN_UNKNOWN_71
sgb_590	5212751	BIN_UNKNOWN_656_Phenylobacterium
sgb_080	3746475	BIN_UNKNOWN_494_Xylophilus
sgb_156	4000810	BIN_UNKNOWN_521_Steroidobacteraceae
sgb_636	5290259	BIN_UNKNOWN_284_Caulobacter
sgb_313	2479785	BIN_UNKNOWN_525_Gemmatimonadales
sgb_293	1956986	BIN_UNKNOWN_557_Bacteroidales
sgb_036	3165271	BIN_UNKNOWN_462_Rugamonas
sgb_290	3416929	BIN_UNKNOWN_82_Leifsonia
sgb_471	2826603	BIN_UNKNOWN_595_Planctomycetota
sgb_012	4212286	BIN_UNKNOWN_131_Phenylobacterium
sgb_407	5030567	BIN_UNKNOWN_301
sgb_273	970097	BIN_UNKNOWN_113
sgb_412	5636639	BIN_UNKNOWN_106_Massilia
sgb_034	3393367	BIN_UNKNOWN_86_Cytophagaceae
sgb_592	5815066	BIN_UNKNOWN_53_Pyrinomonadaceae
sgb_390	5019935	BIN_UNKNOWN_120_Asticcacaulis
sgb_420	2619723	BIN_UNKNOWN_643_Propionivibrio
sgb_558	1949689	BIN_UNKNOWN_382_Caulobacteraceae
sgb_248	367271	BIN_UNKNOWN_402
sgb_594	2521170	BIN_UNKNOWN_546_Acidimicrobiia
sgb_593	3115732	BIN_UNKNOWN_119_Steroidobacteraceae
sgb_624	4598056	BIN_UNKNOWN_193
sgb_549	1980399	BIN_UNKNOWN_220_Gaiella
sgb_292	1285941	BIN_UNKNOWN_135
sgb_397	636167	BIN_UNKNOWN_265
sgb_589	3357251	BIN_UNKNOWN_455_Gemmatimonadaceae
sgb_621	7467107	BIN_UNKNOWN_330_Acidobacteriae
sgb_329	4817525	BIN_UNKNOWN_304_Myxococcota
sgb_252	1728916	BIN_UNKNOWN_506_Thermoleophilia
sgb_307	3868504	BIN_UNKNOWN_451_Propionivibrio
sgb_510	3677621	BIN_UNKNOWN_80_Chthoniobacterales
sgb_484	4770937	BIN_UNKNOWN_57_Myxococcales
sgb_025	2104370	BIN_UNKNOWN_585_Acidimicrobiales
sgb_100	4296042	BIN_UNKNOWN_485_Rhodospirillales
sgb_444	2808590	BIN_UNKNOWN_54_Gillisia
sgb_005	4083373	
sgb_124	4892303	BIN_UNKNOWN_297_Methylacidiphilales
sgb_129	6069527	BIN_UNKNOWN_40_Steroidobacteraceae
sgb_071	4959773	BIN_UNKNOWN_619_Burkholderiaceae
sgb_490	2375197	BIN_UNKNOWN_544_Pseudolysinimonas
sgb_556	4240283	BIN_UNKNOWN_575_Caulobacteraceae
sgb_180	4501573	BIN_UNKNOWN_327_Caulobacteraceae
sgb_653	3504646	BIN_UNKNOWN_365_Aquihabitans
sgb_489	3087172	BIN_UNKNOWN_3_Sphingobacteriales
sgb_187	1695872	BIN_UNKNOWN_567_Rubrobacteraceae
sgb_038	5668466	BIN_UNKNOWN_348_Planctomycetota
sgb_199	6161891	BIN_UNKNOWN_603_Rubrobacteraceae
sgb_377	1560328	BIN_UNKNOWN_325_Clostridia
sgb_405	574233	BIN_UNKNOWN_649
sgb_240	4107135	BIN_UNKNOWN_6_Bacteroidota
sgb_020	1598006	BIN_UNKNOWN_370_Acidimicrobiales
sgb_612	5522682	BIN_UNKNOWN_215_Myxococcaceae
sgb_006	2186250	BIN_UNKNOWN_542_Caulobacteraceae
sgb_140	4780231	BIN_UNKNOWN_412_Caulobacteraceae
sgb_382	3925529	BIN_UNKNOWN_578_Phycisphaerae
sgb_347	2010431	BIN_UNKNOWN_163
sgb_274	3152440	BIN_UNKNOWN_615_Sulfuritalea
sgb_326	737591	BIN_UNKNOWN_139
sgb_435	3196489	BIN_UNKNOWN_251_Bacteroidales
sgb_411	3285373	BIN_UNKNOWN_287_Acidobacteriota
sgb_448	2452298	BIN_UNKNOWN_491_Bacilli
sgb_663	4860037	BIN_UNKNOWN_168_Burkholderiaceae
sgb_502	4150182	BIN_UNKNOWN_537_Polyangiaceae
sgb_628	2177142	BIN_UNKNOWN_538_Rhodoplanes
sgb_631	4530161	BIN_UNKNOWN_574_Burkholderiaceae
sgb_153	2933222	BIN_UNKNOWN_442_Steroidobacteraceae
sgb_147	4060737	BIN_UNKNOWN_434_Rhodoferax
sgb_247	715166	BIN_UNKNOWN_418
sgb_157	6409481	BIN_UNKNOWN_475_Actinospica
sgb_057	3317622	BIN_UNKNOWN_150_Mycobacteriales
sgb_249	2481532	BIN_UNKNOWN_217_Methanoregula
sgb_026	2563402	BIN_UNKNOWN_431_Nevskia
sgb_088	3304222	BIN_UNKNOWN_551_Terracidiphilus
sgb_426	5840168	BIN_UNKNOWN_467
sgb_386	748193	BIN_UNKNOWN_584
sgb_320	1176534	BIN_UNKNOWN_393
sgb_116	5879171	BIN_UNKNOWN_334_Burkholderiaceae
sgb_099	3679654	BIN_UNKNOWN_397_Asticcacaulis
sgb_294	2082235	BIN_UNKNOWN_484_Gemmatimonadaceae
sgb_253	2216029	BIN_UNKNOWN_264_Propionicimonas
sgb_362	2388449	BIN_UNKNOWN_324_Bacteroidales
sgb_353	1341074	BIN_UNKNOWN_511_Smithellaceae
sgb_191	5559349	BIN_UNKNOWN_177_Herpetosiphonaceae
sgb_106	4401674	BIN_UNKNOWN_414_Asticcacaulis
sgb_495	3782976	BIN_UNKNOWN_67_Sphingomonadaceae
sgb_198	3416264	BIN_UNKNOWN_132_Micrococcaceae
sgb_185	3580702	BIN_UNKNOWN_201_Acidimicrobiales
sgb_441	2111164	BIN_UNKNOWN_645_Actinobacteriota
sgb_483	2545386	BIN_UNKNOWN_337_Acetobacteraceae
sgb_518	3893787	BIN_UNKNOWN_160_Chthoniobacterales
sgb_121	4201150	BIN_UNKNOWN_505_Thermoanaerobaculia
sgb_031	3162946	BIN_UNKNOWN_239_Solirubrobacteraceae
sgb_576	4360446	BIN_UNKNOWN_218_Gemmatimonadaceae
sgb_596	1720940	BIN_UNKNOWN_456_Sphingomicrobium
sgb_230	1812813	BIN_UNKNOWN_122_Methanobacteriaceae
sgb_647	2834538	BIN_UNKNOWN_295_Solirubrobacteraceae
sgb_239	2115722	BIN_UNKNOWN_483_Acidobacteriota
sgb_541	2367666	BIN_UNKNOWN_226
sgb_598	2798203	BIN_UNKNOWN_593_Verrucomicrobiae
sgb_399	5414704	BIN_UNKNOWN_461_Verrucomicrobiae
sgb_373	2003924	BIN_UNKNOWN_459_Bacteroidales
sgb_271	1217289	BIN_UNKNOWN_25
sgb_205	2957917	BIN_UNKNOWN_608_Acidimicrobiales
sgb_266	1263283	BIN_UNKNOWN_283_Methanomassiliicoccales
sgb_285	539542	BIN_UNKNOWN_91
sgb_400	3419793	BIN_UNKNOWN_245
sgb_564	5893904	BIN_UNKNOWN_291
sgb_479	3775153	BIN_UNKNOWN_200_Asticcacaulis
sgb_015	2027514	BIN_UNKNOWN_458_Methylacidiphilales
sgb_575	2041410	BIN_UNKNOWN_190_Gammaproteobacteria
sgb_142	5123108	BIN_UNKNOWN_115_Myxococcota
sgb_151	1966621	BIN_UNKNOWN_533_Caulobacteraceae
sgb_529	1825485	BIN_UNKNOWN_592_Mycobacteriales
sgb_519	2849326	BIN_UNKNOWN_249_Acidimicrobiales
sgb_277	1585333	BIN_UNKNOWN_586_Syntrophales
sgb_222	4726014	BIN_UNKNOWN_154_Mycobacteriales
sgb_568	5665035	BIN_UNKNOWN_248_Duganella
sgb_117	4199648	BIN_UNKNOWN_7_Opitutaceae
sgb_606	2435890	BIN_UNKNOWN_157_Nitrososphaeraceae
sgb_638	3320358	BIN_UNKNOWN_128_Rariglobus
sgb_661	5487459	
sgb_356	1368019	BIN_UNKNOWN_299_Acidobacteriota
sgb_217	2791901	BIN_UNKNOWN_328_Thermomicrobiales
sgb_130	2536502	BIN_UNKNOWN_481_Acidimicrobiales
sgb_017	5398169	BIN_UNKNOWN_41_Burkholderiaceae
sgb_047	2888711	BIN_UNKNOWN_516_Rariglobus
sgb_337	3149462	BIN_UNKNOWN_569_Bacteroidales
sgb_453	2907253	BIN_UNKNOWN_637_Actinobacteriota
sgb_096	4571904	BIN_UNKNOWN_632_Burkholderiaceae
sgb_370	2256857	BIN_UNKNOWN_549_Burkholderiaceae
sgb_366	3259605	BIN_UNKNOWN_133_Gemmatimonadales
sgb_359	5937023	BIN_UNKNOWN_651_Nakamurella
sgb_622	2631584	BIN_UNKNOWN_186
sgb_460	3027843	BIN_UNKNOWN_244_Acidimicrobiales
sgb_666	8925107	BIN_UNKNOWN_641_Actinomycetia
sgb_178	6740386	BIN_UNKNOWN_9_Nocardia
sgb_496	3738341	BIN_UNKNOWN_290_Acetobacteraceae
sgb_112	4265213	BIN_UNKNOWN_109_Burkholderiaceae
sgb_591	3005480	BIN_UNKNOWN_379_Burkholderiales
sgb_062	4317174	BIN_UNKNOWN_214_Caulobacter
sgb_587	1792569	BIN_UNKNOWN_565_Gemmatimonadales
sgb_350	4815181	BIN_UNKNOWN_15
sgb_128	2803951	BIN_UNKNOWN_406_Collimonas
sgb_287	2003072	BIN_UNKNOWN_518_Thermoleophilia
sgb_355	4244724	BIN_UNKNOWN_426_Acidobacteriota
sgb_345	5251546	BIN_UNKNOWN_599_Bryobacteraceae
sgb_327	3580648	BIN_UNKNOWN_188_Bacteroidales
sgb_037	3371040	BIN_UNKNOWN_378_Burkholderiaceae
sgb_544	1953409	BIN_UNKNOWN_652_Acidimicrobiales
sgb_523	2780219	BIN_UNKNOWN_607_Devosiaceae
sgb_427	858124	BIN_UNKNOWN_314
sgb_221	3112218	BIN_UNKNOWN_255_Chthoniobacterales
sgb_212	6836645	BIN_UNKNOWN_638_Streptosporangiaceae
sgb_477	2204540	BIN_UNKNOWN_636_Polaromonas
sgb_058	3935273	BIN_UNKNOWN_624_Planctomycetota
sgb_306	2881619	BIN_UNKNOWN_279_Geothrix
sgb_303	4025732	BIN_UNKNOWN_104_Ignavibacteria
sgb_169	7368343	BIN_UNKNOWN_140_Rhodoferax
sgb_003	4639830	BIN_UNKNOWN_207_Burkholderiaceae
sgb_388	3741422	BIN_UNKNOWN_591_Prolixibacteraceae
sgb_267	2684974	BIN_UNKNOWN_161_Clostridia
sgb_214	4048945	BIN_UNKNOWN_396_Armatimonadaceae
sgb_219	5545009	BIN_UNKNOWN_146_Thermomicrobiales
sgb_657	4421011	BIN_UNKNOWN_94
sgb_384	2913156	BIN_UNKNOWN_152_Flavobacterium
sgb_409	5172053	BIN_UNKNOWN_223_Chitinispirillaceae
sgb_131	2602276	BIN_UNKNOWN_604_Rhizomicrobium
sgb_563	3718839	BIN_UNKNOWN_164_Nevskia
sgb_559	2467648	BIN_UNKNOWN_439_Hylemonella
sgb_580	2793602	BIN_UNKNOWN_435_Rhodanobacteraceae
sgb_579	2884123	BIN_UNKNOWN_478_Micrococcaceae
sgb_001	1679413	BIN_UNKNOWN_449_Acidimicrobiales
sgb_515	4822495	BIN_UNKNOWN_219_Pirellulales
sgb_132	4760812	BIN_UNKNOWN_526_Flavipsychrobacter
sgb_008	1112546	BIN_UNKNOWN_410_Alphaproteobacteria
sgb_325	2425615	BIN_UNKNOWN_419_Draconibacterium
sgb_547	4583459	BIN_UNKNOWN_125_Thermoanaerobaculia
sgb_323	4739902	BIN_UNKNOWN_95_Caulobacteraceae
sgb_577	6426374	BIN_UNKNOWN_46_Pyrinomonadaceae
sgb_164	3862235	BIN_UNKNOWN_138_Rhizomicrobium
sgb_534	7159917	BIN_UNKNOWN_320_Streptacidiphilus
