ID	reERR1346801_taxonomic_profile	reERR1346802_taxonomic_profile	reERR1346803_taxonomic_profile	reERR1346804_taxonomic_profile	reERR1346805_taxonomic_profile	reERR1346806_taxonomic_profile	reERR1346807_taxonomic_profile	reERR1346808_taxonomic_profile	reERR1346809_taxonomic_profile	reERR1346810_taxonomic_profile	reERR1346811_taxonomic_profile	reERR1346812_taxonomic_profile	reERR1346813_taxonomic_profile	reERR1346814_taxonomic_profile	reERR1346815_taxonomic_profile	reERR1346816_taxonomic_profile	reERR1346817_taxonomic_profile	reERR1346818_taxonomic_profile	reERR1346819_taxonomic_profile	reERR1346820_taxonomic_profile	reERR1346821_taxonomic_profile	reERR1346822_taxonomic_profile	reERR1346823_taxonomic_profile	reERR1346824_taxonomic_profile	reERR1346825_taxonomic_profile	reERR1346826_taxonomic_profile	reERR1346827_taxonomic_profile	reERR1346828_taxonomic_profile	reERR1346829_taxonomic_profile	reERR1346830_taxonomic_profile	reERR1346831_taxonomic_profile	reERR1346832_taxonomic_profile	reERR1346833_taxonomic_profile	reERR1346834_taxonomic_profile	reERR1346835_taxonomic_profile	reERR1346836_taxonomic_profile	reERR1346837_taxonomic_profile	reERR1346838_taxonomic_profile	reERR1346839_taxonomic_profile	reERR1346840_taxonomic_profile	reERR1346841_taxonomic_profile	reERR1346842_taxonomic_profile	reERR1346843_taxonomic_profile	reERR1346844_taxonomic_profile	reERR1346845_taxonomic_profile	reERR1346846_taxonomic_profile	reERR1346847_taxonomic_profile	reERR1346848_taxonomic_profile	reERR1346849_taxonomic_profile	reERR1346850_taxonomic_profile	reERR1346851_taxonomic_profile	reERR1346852_taxonomic_profile	reERR1346853_taxonomic_profile	reERR1346854_taxonomic_profile	reERR1346855_taxonomic_profile	reERR1346856_taxonomic_profile	reERR1346857_taxonomic_profile	reERR1346858_taxonomic_profile	reERR1346859_taxonomic_profile	reERR1346860_taxonomic_profile	reERR1346861_taxonomic_profile	reERR1346862_taxonomic_profile	reERR1346863_taxonomic_profile	reERR1346864_taxonomic_profile	reERR1346865_taxonomic_profile	reERR1346866_taxonomic_profile	reERR1346867_taxonomic_profile	reERR1346868_taxonomic_profile	reERR1346869_taxonomic_profile	reERR1346870_taxonomic_profile	reERR1346871_taxonomic_profile	reERR1346872_taxonomic_profile	reERR1346873_taxonomic_profile	reERR1346874_taxonomic_profile	reERR1346875_taxonomic_profile	reERR1346876_taxonomic_profile	reERR1346877_taxonomic_profile	reERR1346878_taxonomic_profile	reERR1346879_taxonomic_profile	reERR1346880_taxonomic_profile	reERR1346881_taxonomic_profile	reERR1346882_taxonomic_profile	reERR1346883_taxonomic_profile	reERR1346884_taxonomic_profile	reERR1346887_taxonomic_profile	reERR1346888_taxonomic_profile	reERR1346889_taxonomic_profile	reERR1346890_taxonomic_profile	reERR1346891_taxonomic_profile	reERR1346892_taxonomic_profile
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	66.19209	4.59326	13.07067	18.22328	22.73017	4.30617	4.48638	1.74998	2.32517	1.31646	0.0	0.65564	0.87092	0.44237	0.41435	6.48163	2.15521	8.33598	15.06157	35.21153	8.23322	17.66729	19.56848	6.25899	14.74948	2.80235	4.98062	6.79573	0.98715	1.12818	0.3453	0.3126	2.6637	7.18437	1.01174	6.88754	1.45508	1.13577	3.55156	1.85255	9.03542	5.43069	12.59961	30.92678	5.79972	11.29234	2.14642	2.97213	16.88856	4.08961	12.95045	0.0	0.0	1.00858	1.04967	11.54596	27.84366	2.19851	12.93417	9.2551	4.95379	10.35781	28.44818	17.27115	5.31621	5.05943	3.46087	3.98648	10.88714	5.95276	29.62834	12.60911	12.5527	17.43701	0.0	10.1276	0.2521	9.10244	8.99886	0.76117	0.0	9.47341	37.58441	6.17153	4.04861	1.91532	4.8478	14.70962	4.26436	10.28591
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	66.19209	4.59326	13.07067	18.22328	22.73017	4.30617	4.48638	1.74998	2.32517	1.31646	0.0	0.65564	0.87092	0.44237	0.41435	6.48163	2.15521	8.33598	15.06157	35.21153	8.23322	17.66729	19.56848	6.25899	14.74948	2.80235	4.98062	6.79573	0.98715	1.12818	0.3453	0.3126	2.6637	7.18437	1.01174	6.88754	1.45508	1.13577	3.55156	1.85255	9.03542	5.43069	12.59961	30.92678	5.79972	11.29234	2.14642	2.97213	16.88856	4.08961	12.95045	0.0	0.0	1.00858	1.04967	11.54596	27.84366	2.19851	12.93417	9.2551	4.95379	10.35781	28.44818	17.27115	5.31621	5.05943	3.46087	3.98648	10.88714	5.95276	29.62834	12.60911	12.5527	17.43701	0.0	10.1276	0.2521	9.10244	8.99886	0.76117	0.0	9.47341	37.58441	6.17153	4.04861	1.91532	4.8478	14.70962	4.26436	10.28591
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	15.44198	1.14623	2.45438	3.25994	0.0	0.95899	0.75012	0.93305	0.0	0.30278	0.0	0.33732	0.11651	0.06111	0.09766	4.377	0.66524	0.0	1.28012	1.18015	2.59982	12.60569	0.0	1.85145	0.75805	0.0	0.0	0.0	0.46008	0.93179	0.19676	0.23616	0.69038	3.21966	0.0	2.68731	0.62736	0.84392	3.15367	1.5248	2.01717	5.30488	8.42908	18.13062	1.31809	3.32664	2.14642	2.48829	11.35626	1.56169	0.0	0.0	0.0	1.00858	1.04967	9.20104	27.15125	0.68834	12.17114	7.17831	2.46704	0.0	20.17844	11.62589	4.24915	4.26859	2.51683	1.28902	0.0	2.16686	25.93476	11.05367	11.10255	14.42476	0.0	0.66452	0.2521	3.79971	4.90131	0.0	0.0	8.59752	29.3737	4.38731	2.46411	1.81537	2.64996	10.31664	1.10827	4.29914
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	40.55347	3.25947	8.94896	12.9956	17.28304	2.85203	2.78421	0.75941	1.4938	0.8928	0.0	0.25273	0.41947	0.32503	0.27294	1.64897	1.10668	6.73254	10.93985	25.35975	5.07257	3.93637	16.86299	3.56942	10.63563	2.66637	2.17565	4.81463	0.38422	0.19639	0.06705	0.06025	1.28719	3.04292	0.68778	2.81434	0.66245	0.17096	0.39788	0.32775	7.01824	0.12582	3.9163	12.79616	3.82891	7.96569	0.0	0.27596	4.0322	2.38245	10.32228	0.0	0.0	0.0	0.0	1.48945	0.69241	1.28077	0.76303	1.93328	2.33709	10.35781	6.22236	3.22643	0.78833	0.79084	0.47439	1.98358	10.09869	2.40082	3.69358	0.90824	0.99935	3.01225	0.0	7.12627	0.0	5.30273	2.97541	0.76117	0.0	0.74695	8.2107	1.78421	1.05906	0.04851	2.19784	3.31211	1.8626	4.24608
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_mallensis	3.23312	0.0	0.0	0.53744	0.21381	0.0	0.27946	0.0	0.0673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23221	0.25532	0.0	0.0	0.67884	0.0	0.34384	0.0	0.00855	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_mallensis|t__GCF_000178955	3.23312	0.0	0.0	0.53744	0.21381	0.0	0.27946	0.0	0.0673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23221	0.25532	0.0	0.0	0.67884	0.0	0.34384	0.0	0.00855	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_tundricola	0.03054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00876	0.04456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_tundricola|t__GCF_000178975	0.03054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00876	0.04456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	37.28981	3.25947	8.94896	12.45816	17.06924	2.85203	2.50476	0.75941	1.4265	0.8928	0.0	0.25273	0.41947	0.32503	0.27294	1.64897	1.10668	6.73254	10.69888	25.05987	5.07257	3.93637	16.18415	3.56942	10.2918	2.66637	2.1671	4.66405	0.38422	0.19639	0.06705	0.06025	1.2867	3.04292	0.68778	2.81434	0.66245	0.17096	0.39788	0.32775	7.01824	0.12582	3.9163	12.79616	3.82891	7.96569	0.0	0.27596	4.0322	2.38245	10.32228	0.0	0.0	0.0	0.0	1.48945	0.69241	1.28077	0.76303	1.93328	2.33709	10.35781	6.22236	3.22643	0.78833	0.79084	0.47439	1.98358	10.09869	2.40082	3.69358	0.90824	0.99935	3.01225	0.0	7.1047	0.0	5.30273	2.97541	0.76117	0.0	0.74695	8.2107	1.78421	1.05906	0.04851	2.19784	3.31211	1.8626	4.24608
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus	10.19664	0.18756	1.66733	1.96774	5.44712	0.49515	0.95205	0.05751	0.83137	0.12088	0.0	0.06559	0.33494	0.05623	0.04374	0.45566	0.38329	1.60344	2.8416	8.67162	0.56084	1.12524	2.70549	0.83812	3.35579	0.13598	2.80496	1.9811	0.14286	0.0	0.08149	0.01619	0.68613	0.92179	0.32396	1.3859	0.16527	0.12089	0.0	0.0	0.0	0.0	0.25423	0.0	0.65272	0.0	0.0	0.20788	1.5001	0.14548	2.62817	0.0	0.0	0.0	0.0	0.85547	0.0	0.22941	0.0	0.14351	0.14966	0.0	2.04738	2.41884	0.27873	0.0	0.46964	0.71387	0.78845	1.38508	0.0	0.6472	0.4508	0.0	0.0	2.33681	0.0	0.0	1.12214	0.0	0.0	0.12894	0.0	0.0	0.52544	0.05144	0.0	1.08087	1.29349	1.74069
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_saanensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_saanensis|t__GCF_000179915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
