#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reERR1346892_taxonomic_profile	reERR1346891_taxonomic_profile	reERR1346890_taxonomic_profile	reERR1346889_taxonomic_profile	reERR1346888_taxonomic_profile	reERR1346887_taxonomic_profile	reERR1346884_taxonomic_profile	reERR1346883_taxonomic_profile	reERR1346882_taxonomic_profile	reERR1346881_taxonomic_profile	reERR1346880_taxonomic_profile	reERR1346879_taxonomic_profile	reERR1346878_taxonomic_profile	reERR1346877_taxonomic_profile	reERR1346876_taxonomic_profile	reERR1346875_taxonomic_profile	reERR1346874_taxonomic_profile	reERR1346873_taxonomic_profile	reERR1346872_taxonomic_profile	reERR1346871_taxonomic_profile	reERR1346870_taxonomic_profile	reERR1346869_taxonomic_profile	reERR1346868_taxonomic_profile	reERR1346867_taxonomic_profile	reERR1346866_taxonomic_profile	reERR1346865_taxonomic_profile	reERR1346864_taxonomic_profile	reERR1346863_taxonomic_profile	reERR1346862_taxonomic_profile	reERR1346861_taxonomic_profile	reERR1346860_taxonomic_profile	reERR1346859_taxonomic_profile	reERR1346858_taxonomic_profile	reERR1346857_taxonomic_profile	reERR1346856_taxonomic_profile	reERR1346855_taxonomic_profile	reERR1346854_taxonomic_profile	reERR1346853_taxonomic_profile	reERR1346852_taxonomic_profile	reERR1346851_taxonomic_profile	reERR1346850_taxonomic_profile	reERR1346849_taxonomic_profile	reERR1346848_taxonomic_profile	reERR1346847_taxonomic_profile	reERR1346846_taxonomic_profile	reERR1346845_taxonomic_profile	reERR1346844_taxonomic_profile	reERR1346843_taxonomic_profile	reERR1346842_taxonomic_profile	reERR1346841_taxonomic_profile	reERR1346840_taxonomic_profile	reERR1346839_taxonomic_profile	reERR1346838_taxonomic_profile	reERR1346837_taxonomic_profile	reERR1346836_taxonomic_profile	reERR1346835_taxonomic_profile	reERR1346834_taxonomic_profile	reERR1346833_taxonomic_profile	reERR1346832_taxonomic_profile	reERR1346831_taxonomic_profile	reERR1346830_taxonomic_profile	reERR1346829_taxonomic_profile	reERR1346828_taxonomic_profile	reERR1346827_taxonomic_profile	reERR1346826_taxonomic_profile	reERR1346825_taxonomic_profile	reERR1346824_taxonomic_profile	reERR1346823_taxonomic_profile	reERR1346822_taxonomic_profile	reERR1346821_taxonomic_profile	reERR1346820_taxonomic_profile	reERR1346819_taxonomic_profile	reERR1346818_taxonomic_profile	reERR1346817_taxonomic_profile	reERR1346816_taxonomic_profile	reERR1346815_taxonomic_profile	reERR1346814_taxonomic_profile	reERR1346813_taxonomic_profile	reERR1346812_taxonomic_profile	reERR1346811_taxonomic_profile	reERR1346810_taxonomic_profile	reERR1346809_taxonomic_profile	reERR1346808_taxonomic_profile	reERR1346807_taxonomic_profile	reERR1346806_taxonomic_profile	reERR1346805_taxonomic_profile	reERR1346804_taxonomic_profile	reERR1346803_taxonomic_profile	reERR1346802_taxonomic_profile	reERR1346801_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	0	0.07416086332135001	0	0	0	0	0	0	0.4324683201651456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6661802262741984	0.2697920010830553	0.048294319909288064	0.5150978824114929	0.9289746135752412	0.5758685109899756	0	0	0	0	0	0	0	0	0.13371408000880666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1962676076576632	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leifsonia	2|201174|1760|85006|85023|110932	0	0.07416086332135001	0	0	0	0	0	0	0.4324683201651456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6661802262741984	0.2697920010830553	0.048294319909288064	0.5150978824114929	0.902646447536912	0.5690221964720817	0	0	0	0	0	0	0	0	0.08315266191437112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1962676076576632	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leifsonia|s__Leifsonia_sp_Leaf336	2|201174|1760|85006|85023|110932|1736341	0	0.07306021873836513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4721150156760951	0.039350700278302134	0.029531151421315276	0.12904072735579716	0.902646447536912	0.5558719885682131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.06108360520968801	0.012892752435200041	0.13144725867322402	0.049569898140955464	0.03193415370267614	0.015456462172248563	0	0	0.537965800013415	0	0	0.24194793127611944	0	0.1100637634139214	0.05835712637993809	0	0	0.3947071853966635	1.325716295725511	0	0.31169697020779763	0	0.2671422382530577	1.2201888462035602	0.2128974196079469	0.10233677639949693	0.14472919812296242	0.6038969974607714	0	0.007773628453673397	0.3399630543696718	0.09234370873608112	0.34985339819824995	0.15574605994814605	0.2660100686598163	2.1129945538752843	0.1112649080898606	0	0	0.26543528021727336	0.4152927231959514	0.07632118244310837	0.30373899387594	0.3815602917493971	0.0772602000537885	0.1924436498534245	0	0.028831562913825912	1.591525441627417	0.04458146126429163	0.2517591457836737	0.15252905400388594	0.09920218501371766	0.07434842475458184	0.28587168594709284	0.07122827204082124	0.4680530640262737	0.13516230847067515	0.230750753262862	0.10633915345098524	0.5489994115783985	0.010082185354571976	0.3766838054124167	0.1363208614934851	0.015023068866913885	0.18571870718139447	0.036175089042645055	0.02307842467679284	0.15785540077093604	0.032096291330588576	0.2747296563287299	0.039996166204620036	0.2714318324152777	0.35427722007099105	0.3472128103306276	0.062391088035231274	0.02131302385749861	0.1407320550098298	0.5557677889950452	0.08105616181401405	0.062197733135210626	0.09973104297730097	0.03847855857234186	0.13550218755654175	0.040987323945036125	0.2094467113556858	0.08989352811714088	0.09870296663908897	0.036578295385616286	0.10506932498038436
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0.015494098705018312	0.005120606062148589	0.05013903469172211	0.014377553158010628	0.002178479052712568	0.004031140715164775	0	0	0.2733670131662791	0	0	0.07763640278753027	0	0.027296292291760574	0.018306619235794568	0	0	0.09365852766193082	0.0391549444115246	0	0.0891990729379456	0	0.14427297238853118	0.5588815358851189	0.05347908780163423	0.01441105936669632	0.02852548573542081	0.12282270994889972	0	0.00040629750656713103	0.07410639707573956	0.012079515662445316	0.08461994589838688	0.043032467010760314	0.05507582167066602	0.06190216543777	0.01608315697746109	0	0	0.11695600764950488	0.10833082544538587	0.019277939084514882	0.07349677931244113	0	0.0009020433948505244	0.049052812974324254	0	0.0039329267358283754	0.18502469776024516	0	0.037459549844995436	0.04622875732280517	0.03961463168786816	0.04250003427623755	0.14537851132550592	0.034749608036079814	0.17169825507733327	0.048992222072294624	0.08964642458668858	0.05776763833838629	0.2632112796239501	0.0052205570618198615	0.23074733217067506	0.08180108142676143	0.0033923427768304468	0.0547624067142476	0.015105287604075797	0.0046623393490711615	0.045742686221811366	0.01034011891120466	0.10246548937801443	0.01735627965335792	0.10938291880679628	0.1536518287304976	0.17242845131006332	0.032057194875943565	0.014294154451930703	0.0821214915433441	0.21202670742857155	0.034476673945816216	0.029322294443744876	0.0625998381188848	0.004338997154941267	0.0422352439548477	0.01158794863762567	0.08118009686674944	0.03424414486277775	0.03655936076524858	0.009354743581239344	0.03363797176542335
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae	2|201174|1497346|588673|361606	0.015494098705018312	0.005120606062148589	0.05013903469172211	0.014377553158010628	0.002178479052712568	0.004031140715164775	0	0	0.2733670131662791	0	0	0.07763640278753027	0	0.027296292291760574	0.018306619235794568	0	0	0.09365852766193082	0.0391549444115246	0	0.0891990729379456	0	0.14427297238853118	0.5588815358851189	0.05347908780163423	0.01441105936669632	0.02852548573542081	0.12282270994889972	0	0.00040629750656713103	0.07410639707573956	0.012079515662445316	0.08461994589838688	0.043032467010760314	0.05507582167066602	0.06190216543777	0.01608315697746109	0	0	0.11695600764950488	0.10833082544538587	0.019277939084514882	0.07349677931244113	0	0.0009020433948505244	0.049052812974324254	0	0.0039329267358283754	0.18502469776024516	0	0.037459549844995436	0.04622875732280517	0.03961463168786816	0.04250003427623755	0.14537851132550592	0.034749608036079814	0.17169825507733327	0.048992222072294624	0.08964642458668858	0.05776763833838629	0.2632112796239501	0.0052205570618198615	0.23074733217067506	0.08180108142676143	0.0033923427768304468	0.0547624067142476	0.015105287604075797	0.0046623393490711615	0.045742686221811366	0.01034011891120466	0.10246548937801443	0.01735627965335792	0.10938291880679628	0.1536518287304976	0.17242845131006332	0.032057194875943565	0.014294154451930703	0.0821214915433441	0.21202670742857155	0.034476673945816216	0.029322294443744876	0.0625998381188848	0.004338997154941267	0.0422352439548477	0.01158794863762567	0.08118009686674944	0.03424414486277775	0.03655936076524858	0.009354743581239344	0.03363797176542335
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter	2|201174|1497346|588673|361606|361607	0.015494098705018312	0.005120606062148589	0.05013903469172211	0.014377553158010628	0.002178479052712568	0.004031140715164775	0	0	0.2733670131662791	0	0	0.07763640278753027	0	0.027296292291760574	0.018306619235794568	0	0	0.09365852766193082	0.0391549444115246	0	0.0891990729379456	0	0.14427297238853118	0.5588815358851189	0.05347908780163423	0.01441105936669632	0.02852548573542081	0.12282270994889972	0	0.00040629750656713103	0.07410639707573956	0.012079515662445316	0.08461994589838688	0.043032467010760314	0.05507582167066602	0.06190216543777	0.01608315697746109	0	0	0.11695600764950488	0.10833082544538587	0.019277939084514882	0.07349677931244113	0	0.0009020433948505244	0.049052812974324254	0	0.0039329267358283754	0.18502469776024516	0	0.037459549844995436	0.04622875732280517	0.03961463168786816	0.04250003427623755	0.14537851132550592	0.034749608036079814	0.17169825507733327	0.048992222072294624	0.08964642458668858	0.05776763833838629	0.2632112796239501	0.0052205570618198615	0.23074733217067506	0.08180108142676143	0.0033923427768304468	0.0547624067142476	0.015105287604075797	0.0046623393490711615	0.045742686221811366	0.01034011891120466	0.10246548937801443	0.01735627965335792	0.10938291880679628	0.1536518287304976	0.17242845131006332	0.032057194875943565	0.014294154451930703	0.0821214915433441	0.21202670742857155	0.034476673945816216	0.029322294443744876	0.0625998381188848	0.004338997154941267	0.0422352439548477	0.01158794863762567	0.08118009686674944	0.03424414486277775	0.03655936076524858	0.009354743581239344	0.03363797176542335
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter|s__Patulibacter_medicamentivorans	2|201174|1497346|588673|361606|361607|1097667	0.015494098705018312	0.005120606062148589	0.05013903469172211	0.014377553158010628	0.002178479052712568	0.004031140715164775	0	0	0.2733670131662791	0	0	0.07763640278753027	0	0.027296292291760574	0.018306619235794568	0	0	0.09365852766193082	0.0391549444115246	0	0.0891990729379456	0	0.14427297238853118	0.5588815358851189	0.05347908780163423	0.01441105936669632	0.02852548573542081	0.12282270994889972	0	0.00040629750656713103	0.07410639707573956	0.012079515662445316	0.08461994589838688	0.043032467010760314	0.05507582167066602	0.06190216543777	0.01608315697746109	0	0	0.11695600764950488	0.10833082544538587	0.019277939084514882	0.07349677931244113	0	0.0009020433948505244	0.049052812974324254	0	0.0039329267358283754	0.18502469776024516	0	0.037459549844995436	0.04622875732280517	0.03961463168786816	0.04250003427623755	0.14537851132550592	0.034749608036079814	0.17169825507733327	0.048992222072294624	0.08964642458668858	0.05776763833838629	0.2632112796239501	0.0052205570618198615	0.23074733217067506	0.08180108142676143	0.0033923427768304468	0.0547624067142476	0.015105287604075797	0.0046623393490711615	0.045742686221811366	0.01034011891120466	0.10246548937801443	0.01735627965335792	0.10938291880679628	0.1536518287304976	0.17242845131006332	0.032057194875943565	0.014294154451930703	0.0821214915433441	0.21202670742857155	0.034476673945816216	0.029322294443744876	0.0625998381188848	0.004338997154941267	0.0422352439548477	0.01158794863762567	0.08118009686674944	0.03424414486277775	0.03655936076524858	0.009354743581239344	0.03363797176542335
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.0455895065046697	0.007772422431386788	0.08130822398150189	0.035192344982944816	0.02975577670079285	0.011425321457083786	0	0	0.26459915902873604	0	0	0.16431152848858915	0	0.08276747112216085	0.040050507144143516	0	0	0.30104865773473266	1.2865613513139864	0	0.22249772094772288	0	0.12286926586452655	0.661307310318441	0.15941833180631268	0.0879257170328006	0.1162037123875416	0.4810742875118717	0	0.007367330947106266	0.2658566572939322	0.08026419307363579	0.265233452299863	0.11271359293738575	0.2109342469891503	2.0510920022079846	0.09518150781894692	0	0	0.1484792725677685	0.30696189775056554	0.05704324335859349	0.2302422145634989	0.3815602917493971	0.07635815665893797	0.14339083687910026	0	0.02489863617799753	1.4065010390216968	0.04458146126429163	0.2142991751394214	0.1063002966810808	0.05958777457607535	0.031848261650151616	0.1404932701035903	0.03647866400474143	0.29635506324627586	0.08617008639838057	0.14110432867617334	0.04857151511259896	0.28578813195444835	0.004862453416359167	0.1459364732417416	0.05451978006672367	0.011630840491418102	0.13095603768789998	0.021069801438569256	0.018416085327721675	0.11211271454912466	0.021756172419383917	0.17226416695071547	0.02263988655126211	0.16204891360848142	0.20062552904441766	0.17478435902056425	0.03033389315928772	0.00701886940556791	0.05861056346648569	0.3437412599336834	0.04657948786819783	0.03287543869146574	0.03713101094760881	0.0341395614174006	0.09326694360169403	0.029399259178246376	0.12826661448893634	0.05564938325436312	0.06214360587384039	0.027223551804376942	0.07143135321496097
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae	2|201174|1497346|588674|320796	0.0455895065046697	0.007772422431386788	0.08130822398150189	0.035192344982944816	0.02975577670079285	0.011425321457083786	0	0	0.26459915902873604	0	0	0.16431152848858915	0	0.08276747112216085	0.040050507144143516	0	0	0.30104865773473266	1.2865613513139864	0	0.22249772094772288	0	0.12286926586452655	0.661307310318441	0.15941833180631268	0.0879257170328006	0.1162037123875416	0.4810742875118717	0	0.007367330947106266	0.2658566572939322	0.08026419307363579	0.265233452299863	0.11271359293738575	0.2109342469891503	2.0510920022079846	0.09518150781894692	0	0	0.1484792725677685	0.30696189775056554	0.05704324335859349	0.2302422145634989	0.3815602917493971	0.07635815665893797	0.14339083687910026	0	0.02489863617799753	1.4065010390216968	0.04458146126429163	0.2142991751394214	0.1063002966810808	0.05958777457607535	0.031848261650151616	0.1404932701035903	0.03647866400474143	0.29635506324627586	0.08617008639838057	0.14110432867617334	0.04857151511259896	0.28578813195444835	0.004862453416359167	0.1459364732417416	0.05451978006672367	0.011630840491418102	0.13095603768789998	0.021069801438569256	0.018416085327721675	0.11211271454912466	0.021756172419383917	0.17226416695071547	0.02263988655126211	0.16204891360848142	0.20062552904441766	0.17478435902056425	0.03033389315928772	0.00701886940556791	0.05861056346648569	0.3437412599336834	0.04657948786819783	0.03287543869146574	0.03713101094760881	0.0341395614174006	0.09326694360169403	0.029399259178246376	0.12826661448893634	0.05564938325436312	0.06214360587384039	0.027223551804376942	0.07143135321496097
