Taxonomy	reERR1346803	reERR1346806	reERR1346807	reERR1346808	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346818	reERR1346821	reERR1346823	reERR1346824	reERR1346829	reERR1346834	reERR1346837	reERR1346839	reERR1346841	reERR1346842	reERR1346846	reERR1346847	reERR1346850	reERR1346851	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346861	reERR1346862	reERR1346864	reERR1346867	reERR1346869	reERR1346871	reERR1346874	reERR1346877	reERR1346878	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346889	reERR1346891	reERR1346892	reERR1346862.1	reERR1346869.1	reERR1346871.1	reERR1346878.1	reERR1346880.1	reERR1346881.1	reERR1346884
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora	0	0	0	0	0	0	0	0	6.68154171990589	0	0	0	4.98755922881252	17.4099158195378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptacidiphilus	0	0	0	0	0	0	0	0	0	0	0	3.04785965425672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB12995	0	1.78276803021488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB12995|o__OFGB12995	0	1.78276803021488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB12995|o__OFGB12995|f__FGB12995	0	1.78276803021488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB13297	0	1.60946500205121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB13297|o__OFGB13297	0	1.60946500205121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB13297|o__OFGB13297|f__FGB13297	0	1.60946500205121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB23017	0	0	0	0	0	0	0	0	0	0	0	0	0.607126971387818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB23017|o__OFGB23017	0	0	0	0	0	0	0	0	0	0	0	0	0.607126971387818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB23017|o__OFGB23017|f__FGB23017	0	0	0	0	0	0	0	0	0	0	0	0	0.607126971387818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB23364	0	1.15714940746069	1.33138373364028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB23364|o__OFGB23364	0	1.15714940746069	1.33138373364028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB23364|o__OFGB23364|f__FGB23364	0	1.15714940746069	1.33138373364028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB24874	0	0	0	0	0	0	0	0	0	1.11164189422023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB24874|o__OFGB24874	0	0	0	0	0	0	0	0	0	1.11164189422023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB24874|o__OFGB24874|f__FGB24874	0	0	0	0	0	0	0	0	0	1.11164189422023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB33616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04229766710167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB33616|o__OFGB33616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04229766710167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB33616|o__OFGB33616|f__FGB33616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04229766710167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB35133	1.7782618611309	0	0	0	0	0	0	0	0	0	0.428591518133872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB35133|o__OFGB35133	1.7782618611309	0	0	0	0	0	0	0	0	0	0.428591518133872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB35133|o__OFGB35133|f__FGB35133	1.7782618611309	0	0	0	0	0	0	0	0	0	0.428591518133872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB6200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68188417823578	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB6200|o__OFGB6200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68188417823578	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB6200|o__OFGB6200|f__FGB6200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68188417823578	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB9905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06337623530128	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB9905|o__OFGB9905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06337623530128	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB9905|o__OFGB9905|f__FGB9905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06337623530128	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	1.45150129578574	8.09189602641879	31.0134132264389	19.5472633560603	6.19874009520153	1.87643655732181	1.97494342657378	0	13.3037352945992	0.877039687956816	32.2819567151955	6.76705456797323	20.9966075213091	4.06652961968166	2.61074567417271	10.7359321158714	21.9868173466781	0	0	0	0	0.927792723305172	0	25.9257616064252	0	1.66062643867153	3.94683540869026	1.08005212060453	0	0	4.12009749930672	0	0	0	0	0	0	0	7.77354377185962	0	0	7.34695919873792	26.3543656320465	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0	0	0	4.13128553443239	0	0	0	0	2.6933696295532	0	0	0	0	1.79480321371637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.66239273058895	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0	0	0	0	0	0	0	0	2.6933696295532	0	0	0	0	1.79480321371637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0	0	0	0	0	0	0	0	2.6933696295532	0	0	0	0	1.79480321371637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter	0	0	0	0	0	0	0	0	2.6933696295532	0	0	0	0	1.79480321371637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97636082937293	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97636082937293	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0	0	0	4.13128553443239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68603190121602	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0	0	0	4.13128553443239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68603190121602	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	0	0	0	4.13128553443239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0	0	2.13071105590309	0	2.56131011701772	0	0	0	3.22106036678748	0	0	0	1.43212587322077	1.5726110600916	0	0	0	0	0	0	0	0	0	2.32058512399021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0	0	2.13071105590309	0	2.56131011701772	0	0	0	3.22106036678748	0	0	0	1.43212587322077	1.5726110600916	0	0	0	0	0	0	0	0	0	2.32058512399021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0	0	2.13071105590309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32058512399021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32058512399021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia	0	0	2.13071105590309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.786814384367903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0.786814384367903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0	0	0	0	2.56131011701772	0	0	0	3.22106036678748	0	0	0	1.43212587322077	0.785796675723692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella	0	0	0	0	2.56131011701772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium	0	0	0	0	0	0	0	0	3.22106036678748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10504	0	0	0	7.09302155243106	0	0	0	0	0	0	1.64412429675081	3.24411097228639	0	0	0	0	17.7512777086621	0	0	0	0	0	0	16.2742632240757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.34695919873792	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10504|o__OFGB10504	0	0	0	7.09302155243106	0	0	0	0	0	0	1.64412429675081	3.24411097228639	0	0	0	0	17.7512777086621	0	0	0	0	0	0	16.2742632240757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.34695919873792	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10504|o__OFGB10504|f__FGB10504	0	0	0	7.09302155243106	0	0	0	0	0	0	1.64412429675081	3.24411097228639	0	0	0	0	17.7512777086621	0	0	0	0	0	0	16.2742632240757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.34695919873792	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10506	0	0	0	1.58102475178576	0	0	0	0	2.36464775250422	0	8.26109444942266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10506|o__OFGB10506	0	0	0	1.58102475178576	0	0	0	0	2.36464775250422	0	8.26109444942266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10506|o__OFGB10506|f__FGB10506	0	0	0	1.58102475178576	0	0	0	0	2.36464775250422	0	8.26109444942266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10557	1.45150129578574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23553963801603	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12009749930672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10557|o__OFGB10557	1.45150129578574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23553963801603	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12009749930672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10557|o__OFGB10557|f__FGB10557	1.45150129578574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23553963801603	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12009749930672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10557|o__OFGB10557|f__FGB10557|g__GGB32172	1.45150129578574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB11279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927792723305172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB11279|o__OFGB11279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927792723305172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB11279|o__OFGB11279|f__FGB11279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927792723305172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12897	0	0	0	0	0	0	0	0	0	0	0	3.52294359568683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12897|o__OFGB12897	0	0	0	0	0	0	0	0	0	0	0	3.52294359568683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12897|o__OFGB12897|f__FGB12897	0	0	0	0	0	0	0	0	0	0	0	3.52294359568683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08005212060453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12978|o__OFGB12978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08005212060453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12978|o__OFGB12978|f__FGB12978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08005212060453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB13333	0	5.51573298733494	12.4607905384015	0	0	0	0	0	0	0	0	0	1.31704855186957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB13333|o__OFGB13333	0	5.51573298733494	12.4607905384015	0	0	0	0	0	0	0	0	0	1.31704855186957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB13333|o__OFGB13333|f__FGB13333	0	5.51573298733494	12.4607905384015	0	0	0	0	0	0	0	0	0	1.31704855186957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB13333|o__OFGB13333|f__FGB13333|g__GGB37073	0	0	0	0	0	0	0	0	0	0	0	0	1.31704855186957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB13757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37293052337328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
