ID	reERR4183438_taxonomic_profile	reERR4183439_taxonomic_profile	reERR4183440_taxonomic_profile	reERR4183441_taxonomic_profile	reERR4183442_taxonomic_profile	reERR4183443_taxonomic_profile	reERR4183444_taxonomic_profile	reERR4183445_taxonomic_profile	reERR4183446_taxonomic_profile	reERR4183447_taxonomic_profile	reERR4183448_taxonomic_profile	reERR4183449_taxonomic_profile	reERR4183450_taxonomic_profile	reERR4183451_taxonomic_profile	reERR4183452_taxonomic_profile	reERR4183453_taxonomic_profile	reERR4183454_taxonomic_profile	reERR4183455_taxonomic_profile	reERR4183456_taxonomic_profile	reERR4183457_taxonomic_profile	reERR4183458_taxonomic_profile	reERR4183459_taxonomic_profile	reERR4183460_taxonomic_profile	reERR4183461_taxonomic_profile	reERR4183462_taxonomic_profile	reERR4183463_taxonomic_profile	reERR4183464_taxonomic_profile	reERR4183465_taxonomic_profile	reERR4183466_taxonomic_profile	reERR4183467_taxonomic_profile	reERR4183468_taxonomic_profile	reERR4183469_taxonomic_profile	reERR4183470_taxonomic_profile	reERR4183471_taxonomic_profile	reERR4183472_taxonomic_profile	reERR4183473_taxonomic_profile	reERR4183474_taxonomic_profile	reERR4183475_taxonomic_profile	reERR4183476_taxonomic_profile	reERR4183477_taxonomic_profile	reERR4183478_taxonomic_profile	reERR4183479_taxonomic_profile	reERR4183480_taxonomic_profile	reERR4183481_taxonomic_profile	reERR4183482_taxonomic_profile	reERR4183483_taxonomic_profile	reERR4183484_taxonomic_profile	reERR4183485_taxonomic_profile	reERR4183486_taxonomic_profile	reERR4183487_taxonomic_profile	reERR4183488_taxonomic_profile	reERR4183489_taxonomic_profile	reERR4183490_taxonomic_profile	reERR4183491_taxonomic_profile	reERR4183492_taxonomic_profile	reERR4183493_taxonomic_profile	reERR4183494_taxonomic_profile	reERR4183495_taxonomic_profile	reERR4183496_taxonomic_profile	reERR4183497_taxonomic_profile	reERR4183498_taxonomic_profile	reERR4183499_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.12197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00186	0.02282	0.0	0.03115	0.0	0.0	0.01474	0.07571	0.04514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06155	0.0	0.04949	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04566	0.17143	0.09344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15191	0.11754	0.0	0.0	0.0	0.0	0.03112	0.00706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68446	0.40664	0.34238	0.40947	0.03363	0.0356	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04566	0.17143	0.09344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14175	0.11754	0.0	0.0	0.0	0.0	0.03112	0.00706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68446	0.40664	0.34238	0.40947	0.03363	0.0356	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__Propionibacterium_acnes_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04566	0.17143	0.09344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14175	0.11754	0.0	0.0	0.0	0.0	0.03112	0.00706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68446	0.40664	0.34238	0.40947	0.03363	0.0356	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii|t__GCF_000091725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.31288	0.0	0.0	31.50586	1.00299	0.0	0.0	0.52086	2.91822	0.0	0.03857	16.58092	6.86866	0.01067	0.0	0.0	26.62796	3.58775	0.0	0.0	0.0	18.4203	2.78183	0.0	0.0	1.68661	2.92784	0.0	0.00034	0.09652	8.58576	7.47383	0.0	0.0	0.0	10.04173	0.0	0.00718	0.0	0.0	0.04787	0.02654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.31288	0.0	0.0	31.50586	1.00299	0.0	0.0	0.52086	2.91822	0.0	0.03857	16.58092	6.86866	0.01067	0.0	0.0	26.62796	3.58775	0.0	0.0	0.0	18.4203	2.78183	0.0	0.0	1.68661	2.92784	0.0	0.00034	0.09652	8.58576	7.47383	0.0	0.0	0.0	10.04173	0.0	0.00718	0.0	0.0	0.04787	0.02654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	1.31288	0.0	0.0	31.50586	1.00299	0.0	0.0	0.52086	2.91822	0.0	0.03857	16.58092	6.86866	0.01067	0.0	0.0	26.62796	3.58775	0.0	0.0	0.0	18.4203	2.78183	0.0	0.0	1.68661	2.92784	0.0	0.00034	0.09652	8.58576	7.47383	0.0	0.0	0.0	10.04173	0.0	0.00718	0.0	0.0	0.04787	0.02654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.80308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.80308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0.35688	0.0	0.0	12.08431	0.12607	0.0	0.0	0.0	0.37185	0.0	0.0	4.90248	2.15661	0.0	0.0	0.0	24.23138	0.92661	0.0	0.0	0.0	6.38047	0.4612	0.0	0.0	0.09885	0.06035	0.0	0.0	0.0	2.05268	1.63614	0.0	0.0	0.0	5.36621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified	0.35688	0.0	0.0	12.08431	0.12607	0.0	0.0	0.0	0.37185	0.0	0.0	4.90248	2.15661	0.0	0.0	0.0	24.23138	0.92661	0.0	0.0	0.0	6.38047	0.4612	0.0	0.0	0.09885	0.06035	0.0	0.0	0.0	2.05268	1.63614	0.0	0.0	0.0	5.36621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_minimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00718	0.0	0.0	0.04787	0.02654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_minimum|t__GCF_000421685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00718	0.0	0.0	0.04787	0.02654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2411	0.0	0.0	0.0	0.0962	0.0	0.0	0.0	0.0	0.0	0.01856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2411	0.0	0.0	0.0	0.0962	0.0	0.0	0.0	0.0	0.0	0.01856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	0.956	0.0	0.0	19.42156	0.87691	0.0	0.0	0.0	2.54637	0.0	0.03857	11.67844	4.71205	0.01067	0.0	0.0	2.39658	2.66115	0.0	0.0	0.0	12.03984	2.32063	0.0	0.0	1.34665	2.06441	0.0	0.0	0.00031	6.53308	5.83768	0.0	0.0	0.0	4.65695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum|t__GCF_000421365	0.956	0.0	0.0	19.42156	0.87691	0.0	0.0	0.0	2.54637	0.0	0.03857	11.67844	4.71205	0.01067	0.0	0.0	2.39658	2.66115	0.0	0.0	0.0	12.03984	2.32063	0.0	0.0	1.34665	2.06441	0.0	0.0	0.00031	6.53308	5.83768	0.0	0.0	0.0	4.65695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.25914	53.93082	13.02967	3.56102	0.24738	55.99558	29.53514	3.2493	0.78091	40.39828	37.76396	2.92125	0.93377	9.96389	39.41005	36.43388	0.90534	0.53717	12.31869	17.18678	16.64524	1.58873	0.30085	34.88158	18.46359	0.76585	0.38783	51.76043	24.88824	0.96311	1.39789	1.29831	40.3936	11.97222	10.91403	0.36504	72.53956	37.03864	39.82824	26.33076	35.78968	34.05323	41.4315	41.16109	33.87121	32.66292	61.50643	60.02788	30.51566	28.89069	49.89039	45.39412	3.54768	37.33698	36.93547	29.82281	30.60805	8.09101	7.36211	6.25711	32.05721	33.57196
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.25914	53.93082	13.02967	3.56102	0.24738	55.99558	29.53514	3.2493	0.78091	40.39828	37.76396	2.92125	0.93377	9.96389	39.41005	36.43388	0.90534	0.53717	12.31869	17.18678	16.64524	1.58873	0.30085	34.88158	18.46359	0.76585	0.38783	51.76043	24.88824	0.96311	1.39789	1.29831	40.3936	11.97222	10.91403	0.36504	72.53956	37.03864	39.82824	26.33076	35.78968	34.05323	41.4315	41.16109	33.87121	32.66292	61.50643	60.02788	30.51566	28.89069	49.89039	45.39412	3.54768	37.33698	36.93547	29.82281	30.60805	8.09101	7.36211	6.25711	32.05721	33.57196
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0.07673	0.0	0.0	2.74244	0.05225	0.0	0.0	0.0	0.70446	0.0	0.01191	2.47938	0.65122	0.01259	0.0	0.0	0.68193	0.42142	0.0	0.0	0.0	1.13342	0.15646	0.0	0.0	0.08914	0.00111	0.0	0.0	0.0	0.89359	0.7499	0.0	0.00206	0.0	0.25698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.07673	0.0	0.0	2.74244	0.05225	0.0	0.0	0.0	0.70446	0.0	0.01191	2.47938	0.65122	0.01259	0.0	0.0	0.68193	0.42142	0.0	0.0	0.0	1.13342	0.15646	0.0	0.0	0.08914	0.00111	0.0	0.0	0.0	0.89359	0.7499	0.0	0.00206	0.0	0.25698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__GCF_000478885	0.07673	0.0	0.0	2.74244	0.05225	0.0	0.0	0.0	0.70446	0.0	0.01191	2.47938	0.65122	0.01259	0.0	0.0	0.68193	0.42142	0.0	0.0	0.0	1.13342	0.15646	0.0	0.0	0.08914	0.00111	0.0	0.0	0.0	0.89359	0.7499	0.0	0.00206	0.0	0.25698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
