study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp
PRJEB31111	SAMEA5329291	ERX4203921	ERR4245127	410658	soil metagenome	1140261861;1235726625	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/007/ERR4245127/ERR4245127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/007/ERR4245127/ERR4245127_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245127/BS-3-4_CGTACG_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245127/BS-3-4_CGTACG_L001_R2_001.fastq.gz	1830524386	ftp.sra.ebi.ac.uk/vol1/err/ERR424/007/ERR4245127
PRJEB31111	SAMEA5329291	ERX4203922	ERR4245128	410658	soil metagenome	1149188794;1250444836	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/008/ERR4245128/ERR4245128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/008/ERR4245128/ERR4245128_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245128/BS-3-4_CGTACG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245128/BS-3-4_CGTACG_L002_R2_001.fastq.gz	1849900096	ftp.sra.ebi.ac.uk/vol1/err/ERR424/008/ERR4245128
PRJEB31111	SAMEA5329292	ERX4203923	ERR4245129	410658	soil metagenome	1163183526;1245953250	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/009/ERR4245129/ERR4245129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/009/ERR4245129/ERR4245129_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245129/BS-4-1_ATTCCT_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245129/BS-4-1_ATTCCT_L001_R2_001.fastq.gz	1881834118	ftp.sra.ebi.ac.uk/vol1/err/ERR424/009/ERR4245129
PRJEB31111	SAMEA5329292	ERX4203924	ERR4245130	410658	soil metagenome	1172480926;1261067615	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/000/ERR4245130/ERR4245130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/000/ERR4245130/ERR4245130_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245130/BS-4-1_ATTCCT_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245130/BS-4-1_ATTCCT_L002_R2_001.fastq.gz	1902470402	ftp.sra.ebi.ac.uk/vol1/err/ERR424/000/ERR4245130
PRJEB31111	SAMEA5329293	ERX4203925	ERR4245131	410658	soil metagenome	1173228489;1263391559	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/001/ERR4245131/ERR4245131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/001/ERR4245131/ERR4245131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245131/BS-4-4_GAGTGG_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245131/BS-4-4_GAGTGG_L001_R2_001.fastq.gz	1881612191	ftp.sra.ebi.ac.uk/vol1/err/ERR424/001/ERR4245131
PRJEB31111	SAMEA5329293	ERX4203926	ERR4245132	410658	soil metagenome	1181568461;1278258373	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/002/ERR4245132/ERR4245132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/002/ERR4245132/ERR4245132_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245132/BS-4-4_GAGTGG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245132/BS-4-4_GAGTGG_L002_R2_001.fastq.gz	1900900327	ftp.sra.ebi.ac.uk/vol1/err/ERR424/002/ERR4245132
PRJEB31111	SAMEA5329294	ERX4203927	ERR4245133	410658	soil metagenome	367333039;395977897	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/003/ERR4245133/ERR4245133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/003/ERR4245133/ERR4245133_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245133/WN-1-1_CGATGT_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245133/WN-1-1_CGATGT_L001_R2_001.fastq.gz	596197855	ftp.sra.ebi.ac.uk/vol1/err/ERR424/003/ERR4245133
PRJEB31111	SAMEA5329294	ERX4203928	ERR4245134	410658	soil metagenome	369350104;399688014	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/004/ERR4245134/ERR4245134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/004/ERR4245134/ERR4245134_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245134/WN-1-1_CGATGT_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245134/WN-1-1_CGATGT_L002_R2_001.fastq.gz	600972560	ftp.sra.ebi.ac.uk/vol1/err/ERR424/004/ERR4245134
PRJEB31111	SAMEA5329295	ERX4203929	ERR4245135	410658	soil metagenome	1153259229;1234991380	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/005/ERR4245135/ERR4245135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/005/ERR4245135/ERR4245135_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245135/WN-1-4_TGACCA_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245135/WN-1-4_TGACCA_L001_R2_001.fastq.gz	1865695353	ftp.sra.ebi.ac.uk/vol1/err/ERR424/005/ERR4245135
PRJEB31111	SAMEA5329295	ERX4203930	ERR4245136	410658	soil metagenome	1160957953;1248696418	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/006/ERR4245136/ERR4245136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/006/ERR4245136/ERR4245136_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245136/WN-1-4_TGACCA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245136/WN-1-4_TGACCA_L002_R2_001.fastq.gz	1883553487	ftp.sra.ebi.ac.uk/vol1/err/ERR424/006/ERR4245136
PRJEB31111	SAMEA5329296	ERX4203931	ERR4245137	410658	soil metagenome	1098527871;1173651828	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/007/ERR4245137/ERR4245137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/007/ERR4245137/ERR4245137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245137/WN-2-2_ACAGTG_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245137/WN-2-2_ACAGTG_L001_R2_001.fastq.gz	1832353141	ftp.sra.ebi.ac.uk/vol1/err/ERR424/007/ERR4245137
PRJEB31111	SAMEA5329296	ERX4203932	ERR4245138	410658	soil metagenome	1107003093;1186918493	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/008/ERR4245138/ERR4245138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/008/ERR4245138/ERR4245138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245138/WN-2-2_ACAGTG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245138/WN-2-2_ACAGTG_L002_R2_001.fastq.gz	1852116339	ftp.sra.ebi.ac.uk/vol1/err/ERR424/008/ERR4245138
PRJEB31111	SAMEA5329297	ERX4203933	ERR4245139	410658	soil metagenome	1065480378;1146853290	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/009/ERR4245139/ERR4245139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/009/ERR4245139/ERR4245139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245139/WN-2-3_GCCAAT_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245139/WN-2-3_GCCAAT_L001_R2_001.fastq.gz	1711009721	ftp.sra.ebi.ac.uk/vol1/err/ERR424/009/ERR4245139
PRJEB31111	SAMEA5329297	ERX4203934	ERR4245140	410658	soil metagenome	1072770770;1159310307	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/000/ERR4245140/ERR4245140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/000/ERR4245140/ERR4245140_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245140/WN-2-3_GCCAAT_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245140/WN-2-3_GCCAAT_L002_R2_001.fastq.gz	1727308627	ftp.sra.ebi.ac.uk/vol1/err/ERR424/000/ERR4245140
PRJEB31111	SAMEA5329298	ERX4203935	ERR4245141	410658	soil metagenome	1175412383;1264055271	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/001/ERR4245141/ERR4245141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/001/ERR4245141/ERR4245141_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245141/WN-3-2_CAGATC_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245141/WN-3-2_CAGATC_L001_R2_001.fastq.gz	1877863250	ftp.sra.ebi.ac.uk/vol1/err/ERR424/001/ERR4245141
PRJEB31111	SAMEA5329298	ERX4203936	ERR4245142	410658	soil metagenome	1182825348;1277550356	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/002/ERR4245142/ERR4245142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/002/ERR4245142/ERR4245142_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245142/WN-3-2_CAGATC_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245142/WN-3-2_CAGATC_L002_R2_001.fastq.gz	1894982643	ftp.sra.ebi.ac.uk/vol1/err/ERR424/002/ERR4245142
PRJEB31111	SAMEA5329299	ERX4203937	ERR4245143	410658	soil metagenome	1142761203;1231347441	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/003/ERR4245143/ERR4245143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/003/ERR4245143/ERR4245143_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245143/WN-3-3_CTTGTA_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245143/WN-3-3_CTTGTA_L001_R2_001.fastq.gz	1820749461	ftp.sra.ebi.ac.uk/vol1/err/ERR424/003/ERR4245143
PRJEB31111	SAMEA5329299	ERX4203938	ERR4245144	410658	soil metagenome	1149787992;1244224222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/004/ERR4245144/ERR4245144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/004/ERR4245144/ERR4245144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245144/WN-3-3_CTTGTA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245144/WN-3-3_CTTGTA_L002_R2_001.fastq.gz	1837158551	ftp.sra.ebi.ac.uk/vol1/err/ERR424/004/ERR4245144
PRJEB31111	SAMEA5329300	ERX4203939	ERR4245145	410658	soil metagenome	623630699;669850268	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/005/ERR4245145/ERR4245145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/005/ERR4245145/ERR4245145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245145/WN-4-3_AGTCAA_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245145/WN-4-3_AGTCAA_L001_R2_001.fastq.gz	1002052512	ftp.sra.ebi.ac.uk/vol1/err/ERR424/005/ERR4245145
PRJEB31111	SAMEA5329300	ERX4203940	ERR4245146	410658	soil metagenome	628528952;678118361	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/006/ERR4245146/ERR4245146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/006/ERR4245146/ERR4245146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245146/WN-4-3_AGTCAA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245146/WN-4-3_AGTCAA_L002_R2_001.fastq.gz	1012836874	ftp.sra.ebi.ac.uk/vol1/err/ERR424/006/ERR4245146
PRJEB31111	SAMEA5329301	ERX4203941	ERR4245147	410658	soil metagenome	1161924679;1245557553	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/007/ERR4245147/ERR4245147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/007/ERR4245147/ERR4245147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245147/WN-4-4_AGTTCC_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245147/WN-4-4_AGTTCC_L001_R2_001.fastq.gz	1853460813	ftp.sra.ebi.ac.uk/vol1/err/ERR424/007/ERR4245147
PRJEB31111	SAMEA5329301	ERX4203942	ERR4245148	410658	soil metagenome	1170439717;1260253618	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/008/ERR4245148/ERR4245148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/008/ERR4245148/ERR4245148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245148/WN-4-4_AGTTCC_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245148/WN-4-4_AGTTCC_L002_R2_001.fastq.gz	1872927855	ftp.sra.ebi.ac.uk/vol1/err/ERR424/008/ERR4245148
