ID	reERR3589553_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589593_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_III_euryarchaeote_SCGC_AAA288_E19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.00146	0.0	0.0	0.00164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_III_euryarchaeote_SCGC_AAA288_E19|t__GCF_000382725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.00146	0.0	0.0	0.00164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_II_euryarchaeote_SCGC_AB_629_J06	0.10155	0.02288	0.00092	0.00106	0.01391	0.01279	0.01189	0.19644	0.01184	0.10644	0.12143	0.00269	0.0054	0.01215	0.06645	0.0	0.00264	0.14184	0.10518	0.01026	0.10554	0.0351	0.0439	0.0271	0.00237	0.01005	0.08007	0.03917	0.00891	0.01129	0.03629	0.06144	0.15238	0.07919	0.15536	0.0	0.03	0.02332	0.01848	0.00756	0.16902
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_II_euryarchaeote_SCGC_AB_629_J06|t__GCF_000376045	0.10155	0.02288	0.00092	0.00106	0.01391	0.01279	0.01189	0.19644	0.01184	0.10644	0.12143	0.00269	0.0054	0.01215	0.06645	0.0	0.00264	0.14184	0.10518	0.01026	0.10554	0.0351	0.0439	0.0271	0.00237	0.01005	0.08007	0.03917	0.00891	0.01129	0.03629	0.06144	0.15238	0.07919	0.15536	0.0	0.03	0.02332	0.01848	0.00756	0.16902
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_group_II_euryarchaeote_SCGC_AAA288_C18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00574	0.0	0.0	0.0	0.0168	0.0	0.0	0.0452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02647	0.03099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_group_II_euryarchaeote_SCGC_AAA288_C18|t__GCF_000382765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00574	0.0	0.0	0.0	0.0168	0.0	0.0	0.0452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02647	0.03099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007
k__Archaea|p__Euryarchaeota|c__Halobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halococcus|s__Halococcus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloquadratum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloquadratum|s__Haloquadratum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloquadratum|s__Haloquadratum_walsbyi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloquadratum|s__Haloquadratum_walsbyi|t__Haloquadratum_walsbyi_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halorubrum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halorubrum|s__Halorubrum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota	1.99805	0.37164	0.0108	0.00394	0.10316	0.09937	0.10107	17.44436	0.36516	22.43145	17.76751	0.00134	0.0	0.57058	11.40358	0.00361	0.02103	17.96441	0.08582	0.18069	6.53903	7.6554	0.06933	1.01502	0.0204	0.34728	4.57166	0.26296	0.00587	1.38247	0.86904	26.86194	24.19052	3.86939	1.16044	0.0	1.53904	0.06599	1.0396	0.00999	15.55324
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname	1.99805	0.37164	0.0108	0.00394	0.10316	0.09937	0.10107	17.44436	0.36516	22.43145	17.76751	0.00134	0.0	0.57058	11.40358	0.00361	0.02103	17.96441	0.08582	0.18069	6.53903	7.6554	0.06933	1.01502	0.0204	0.34728	4.57166	0.26296	0.00587	1.38247	0.86904	26.86194	24.19052	3.86939	1.16044	0.0	1.53904	0.06599	1.0396	0.00999	15.55324
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales	1.99506	0.37164	0.0108	0.00394	0.09472	0.09937	0.10107	16.92285	0.35961	22.40422	16.99748	0.00134	0.0	0.57058	9.5718	0.00361	0.02103	10.2863	0.08582	0.17902	6.17362	7.52203	0.06933	1.01446	0.0204	0.34728	4.5706	0.26296	0.00587	1.38061	0.74928	3.48396	11.18003	1.58037	1.1601	0.0	1.44799	0.06599	0.92089	0.00999	10.80008
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae	1.99506	0.37164	0.0108	0.00394	0.09472	0.09937	0.10107	16.92285	0.35961	22.40422	16.99748	0.00134	0.0	0.57058	9.5718	0.00361	0.02103	10.2863	0.08582	0.17902	6.17362	7.52203	0.06933	1.01446	0.0204	0.34728	4.5706	0.26296	0.00587	1.38061	0.74928	3.48396	11.18003	1.58037	1.1601	0.0	1.44799	0.06599	0.92089	0.00999	10.80008
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Candidatus_Nitrosoarchaeum	0.00437	0.00103	0.0	0.0	0.0001	0.0	0.0	0.07879	0.00033	0.06216	0.05911	0.0	0.0	0.00081	0.07163	0.0	0.0	0.05839	0.0	0.0	0.02881	0.03923	0.0	0.00185	0.0	0.00055	0.0137	0.00209	0.0	0.00696	0.00496	0.02647	0.05311	0.00908	0.00491	0.0	0.00523	0.0	0.00317	0.0	0.06313
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Candidatus_Nitrosoarchaeum|s__Candidatus_Nitrosoarchaeum_unclassified	0.00437	0.00103	0.0	0.0	0.0001	0.0	0.0	0.07879	0.00033	0.06216	0.05911	0.0	0.0	0.00081	0.07163	0.0	0.0	0.05839	0.0	0.0	0.02881	0.03923	0.0	0.00185	0.0	0.00055	0.0137	0.00209	0.0	0.00696	0.00496	0.02647	0.05311	0.00908	0.00491	0.0	0.00523	0.0	0.00317	0.0	0.06313
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilaceae_unclassified	1.92469	0.35763	0.0108	0.00394	0.08395	0.09622	0.09814	15.98576	0.34738	21.2753	16.08154	0.00134	0.0	0.54633	9.01035	0.00361	0.02103	9.69625	0.08297	0.17474	5.83689	7.13365	0.06724	0.97604	0.0204	0.33241	4.40148	0.22224	0.00587	1.31227	0.70545	3.25099	10.6763	1.48909	1.1136	0.0	1.36874	0.06483	0.87021	0.00999	10.14498
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus	0.06599	0.01297	0.0	0.0	0.01067	0.00316	0.00293	0.8583	0.01191	1.06676	0.85683	0.0	0.0	0.02344	0.48982	0.0	0.0	0.53166	0.00284	0.00428	0.30792	0.34915	0.00209	0.03657	0.0	0.01432	0.15542	0.03864	0.0	0.06138	0.03887	0.2065	0.45062	0.0822	0.04159	0.0	0.07402	0.00116	0.04751	0.0	0.59197
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__Nitrosopumilus_maritimus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__Nitrosopumilus_maritimus|t__GCF_000018465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__Nitrosopumilus_unclassified	0.06599	0.01297	0.0	0.0	0.01067	0.00316	0.00293	0.85815	0.01191	1.06676	0.85683	0.0	0.0	0.02344	0.48982	0.0	0.0	0.53166	0.00284	0.00428	0.30792	0.34915	0.00209	0.03657	0.0	0.01432	0.15542	0.03864	0.0	0.06138	0.03887	0.2065	0.45062	0.0822	0.04159	0.0	0.07402	0.00116	0.04751	0.0	0.59197
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Thaumarchaeota_noname	0.00299	0.0	0.0	0.0	0.00844	0.0	0.0	0.52151	0.00555	0.02722	0.77003	0.0	0.0	0.0	1.83178	0.0	0.0	7.67811	0.0	0.00167	0.36541	0.13337	0.0	0.00056	0.0	0.0	0.00107	0.0	0.0	0.00185	0.11976	23.37798	13.01049	2.28902	0.00034	0.0	0.09105	0.0	0.11872	0.0	4.75316
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Thaumarchaeota_noname|f__Thaumarchaeota_noname	0.00299	0.0	0.0	0.0	0.00844	0.0	0.0	0.52151	0.00555	0.02722	0.77003	0.0	0.0	0.0	1.83178	0.0	0.0	7.67811	0.0	0.00167	0.36541	0.13337	0.0	0.00056	0.0	0.0	0.00107	0.0	0.0	0.00185	0.11976	23.37798	13.01049	2.28902	0.00034	0.0	0.09105	0.0	0.11872	0.0	4.75316
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Thaumarchaeota_noname|f__Thaumarchaeota_noname|g__Thaumarchaeota_noname	0.00299	0.0	0.0	0.0	0.00844	0.0	0.0	0.52151	0.00555	0.02722	0.77003	0.0	0.0	0.0	1.83178	0.0	0.0	7.67811	0.0	0.00167	0.36541	0.13337	0.0	0.00056	0.0	0.0	0.00107	0.0	0.0	0.00185	0.11976	23.37798	13.01049	2.28902	0.00034	0.0	0.09105	0.0	0.11872	0.0	4.75316
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Thaumarchaeota_noname|f__Thaumarchaeota_noname|g__Thaumarchaeota_noname|s__Marine_Group_I_thaumarchaeote_SCGC_AB_629_A13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00494	0.0	0.0	0.01279	0.0	0.0	0.0	0.00335	0.0	0.0	0.01226	0.0	0.0	0.00088	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00344	1.27125	0.0141	0.01614	0.0	0.0	0.0	0.0	0.00825	0.0	0.01301
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Thaumarchaeota_noname|f__Thaumarchaeota_noname|g__Thaumarchaeota_noname|s__Marine_Group_I_thaumarchaeote_SCGC_AB_629_A13|t__GCF_000399745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00494	0.0	0.0	0.01279	0.0	0.0	0.0	0.00335	0.0	0.0	0.01226	0.0	0.0	0.00088	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00344	1.27125	0.0141	0.01614	0.0	0.0	0.0	0.0	0.00825	0.0	0.01301
