X.mOTUs2_clade	CSM67UH7	CSM7KOON	CSM7KOOP	CSMAHYLR	HSM5MD5D	HSM5MD6Q	HSM5MD6W	HSM67VF3	HSM67VFX	HSM67VFZ	HSM67VGK	HSM67VI7	HSM67VI9	HSM67VIB	HSM6XRRJ	HSM6XRTG	HSM6XRUL	HSM6XRUN	HSM6XRVC	HSM6XRVK	HSM7CYXI	HSM7CYXO	HSM7CYZJ	HSM7CZ1A	HSM7CZ1C	HSM7CZ1E	HSM7CZ24	HSM7CZ28	HSM7CZ2A	HSM7J4HC	HSM7J4HW	HSM7J4HY	HSM7J4KO	HSM7J4LD	HSM7J4LN	HSM7J4NY	HSM7J4O5	HSM7J4R2	HSMA33NY	HSMA33SE	HSMA33SG	MSM6J2JR	MSM6J2JZ	MSM6J2K6	MSM6J2KA	MSM6J2QF	MSM6J2QH	MSM6J2RM	MSM6J2RU	MSM79H58	MSM79H5E	MSM79H5M	MSM79H5S	MSM79H5U	MSM79H6D	MSM79H6L	MSM79H83	MSM79H8H	MSM79H9A	MSM79HA7	MSM79HBL	MSM79HC8	MSM79HCP	MSM9VZGO	MSM9VZHB	MSM9VZHN	MSM9VZHP	MSM9VZHR	MSM9VZJZ	MSM9VZKE	MSM9VZL7	MSM9VZLJ	MSM9VZMI	MSM9VZMS	MSM9VZMW	MSM9VZNL	MSM9VZOI	MSM9VZOO	MSM9VZPT	MSMA26BB	MSMA26BF	MSMA26BH	MSMA26BJ	MSMA26BN	MSMA26BR	MSMA26BV	MSMA26DI	MSMAPC5H	MSMAPC6M	MSMAPC7T	MSMB4LZX	MSMB4LZZ	PSM6XBTR	PSM7J154	PSM7J15M	PSM7J17V	PSM7J19P	PSM7J19R	PSM7J1DL	PSMA265L
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	8.33211e-05	0.0001575462	0.0005438157	0	0	0	0	0	0	0	0	0	0	0.0002087363	0	0	0	0	0	0.0002642626	0	0	0	0	0.0001924619	0.0001559785	0	0	0	0	0	0	0	0	0	0	0	0	0.0007137282	0.000200891	0.0002276649	0	0	0	0	0	0	0.0004731013	0	0	0	0	0.0007741002	0	0	0	0	0	0	0	0.012710233	0	0	0	0	0	0	0.0017576955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter smithii	0	0	0	0	0	0	0	0	0	0	0	8.33211e-05	0.0001575462	0.0005438157	0	0	0	0	0	0	0	0	0	0	0.0002087363	0	0	0	0	0	0.0002642626	0	0	0	0	0.0001924619	0.0001559785	0	0	0	0	0	0	0	0	0	0	0	0	0.0007137282	0.000200891	0.0002276649	0	0	0	0	0	0	0.0004731013	0	0	0	0	0.0007741002	0	0	0	0	0	0	0	0.012710233	0	0	0	0	0	0	0.0017576955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011980926	0	0	0	0	0	0	0	0	0	0	0	0	0.0019055575	0.000746455	0.0025085311	0	0.0013093786	0.0003936645	0	0	0	0.002910468	0.002235375	0	0	0	0	0	0	0.0001794201	0	0	0	0	0	0	0	0	0	0	0.0001595266	0.0012650915	0	0	0.000792608	0.0004052325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011980926	0	0	0	0	0	0	0	0	0	0	0	0	0.0019055575	0.000746455	0.0025085311	0	0.0013093786	0.0003936645	0	0	0	0.002910468	0.002235375	0	0	0	0	0	0	0.0001794201	0	0	0	0	0	0	0	0	0	0	0.0001595266	0.0012650915	0	0	0.000792608	0.0004052325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011980926	0	0	0	0	0	0	0	0	0	0	0	0	0.0019055575	0.000746455	0.0025085311	0	0.0013093786	0.0003936645	0	0	0	0.002910468	0.002235375	0	0	0	0	0	0	0.0001794201	0	0	0	0	0	0	0	0	0	0	0.0001595266	0.0012650915	0	0	0.000792608	0.0004052325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011980926	0	0	0	0	0	0	0	0	0	0	0	0	0.0019055575	0.000746455	0.0025085311	0	0.0013093786	0.0003936645	0	0	0	0.002910468	0.002235375	0	0	0	0	0	0	0.0001794201	0	0	0	0	0	0	0	0	0	0	0.0001595266	0.0012650915	0	0	0.000792608	0.0004052325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus Methanomassiliicoccus intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011980926	0	0	0	0	0	0	0	0	0	0	0	0	0.0019055575	0.000746455	0.0025085311	0	0.0013093786	0.0003936645	0	0	0	0.002910468	0.002235375	0	0	0	0	0	0	0.0001794201	0	0	0	0	0	0	0	0	0	0	0.0001595266	0.0012650915	0	0	0.000792608	0.0004052325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	0.961159201	0.9619043813	0.9576829033	0.9743416074	0.9592465459	0.9028684272	0.9763403396	0.9873897599	0.965539018	0.9715716684	0.9787653013	0.9764302912	0.9665559008	0.9695941091	0.9947126943	0.9794592785	0.9711492502	0.965654301	0.9743177194	0.9597395536	0.9800443559	0.9781244445	0.9379932091	0.9681928993	0.946841172	0.9855815408	0.9735016024	0.9641036442	0.9603028687	0.9715965407	0.9565919175	0.9738583979	0.9661547384	0.9888139335	0.976011035	0.9607953276	0.9694354445	0.9814616018	0.9828582193	0.9763289025	0.9590042439	0.9709329023	0.9739350285	0.9759960892	0.9464890904	0.9727674909	0.968846264	0.9806733353	0.9365317428	0.9351185731	0.9582136559	0.9423063954	0.9619981381	0.9579543981	0.9510615093	0.9619550863	0.9231337015	0.9590604816	0.9617013937	0.9644752092	0.9691132689	0.9643561227	0.9528937724	0.9457985823	0.979581774	0.9491962639	0.9650657198	0.9326758653	0.9673981557	0.9596627574	0.9319812141	0.9313977513	0.990151556	0.9292963474	0.9483548991	0.9605363834	0.9668641152	0.9780162739	0.9456898988	0.9478675241	0.9333929704	0.9504722811	0.9365002441	0.9525980294	0.9557004317	0.9647665751	0.9536055865	0.9262282819	0.9399742955	0.9567982523	0.9255590216	0.929564045	0.9622836726	0.9606240452	0.9635224863	0.9324871202	0.9811532274	0.9631512566	0.9656001025	0.953140355
k__Bacteria|p__Actinobacteria	0.0025460758	0.0002091029	0	0	0.0075357915	0.0010398313	0.0013592252	0.0013800436	0.0075500294	0.0027769924	0.0079749831	0.0042617402	0.004387445	0.0042937616	0.0009647329	0.0005622546	0.0002204776	0.0010183408	0.0002643886	0.0013591512	0.0017998767	0.0001251601	0.0005360577	0.0029190313	0.0115127015	0.001178783	0.0031181457	0.0085969492	0.0068197644	0.0021779052	0.0072357456	0.0015575482	0.0025128581	0.0026638258	0.0030281792	0.0049087023	0.0029322265	0.0004554455	0.0013500962	0.0548846402	0.0050002712	0.0090866045	0.0001343165	0.0001048532	0.0020166209	0.0002858818	0	0.0018889712	0.002088514	0.0060510097	0.0008272964	0.0010797777	0.0011224253	0.0008449423	0.0007564094	0.0003981688	0.000381072	0.0035942482	0.0023980003	0.0003346675	0	0.004437102	0.000122978	0.00205599	0.002434852	0.0002062008	0.0002799485	0.0021593525	0.0043453052	0.0005590659	0.0002510888	0.0021749352	0	0.0007864285	0.00059063	0.0154464141	0.0017355158	0.0014510945	0.0045844093	0.0001915802	0.0013161675	0	0.0014525622	0.0041425467	0.0024284545	0.0037658968	0.0026705567	0.0003556326	0.0004349391	0.0004008832	0.0020331857	0	0.0024300837	0.0003677115	0.0013515802	0.0007809489	0.0001618523	0.0055849246	0.0009239693	0.0013474722
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	0	0.0030346259	0.0010398313	0.0011758756	0.0013800436	0.0058342374	0.0021280555	0.0012227029	0.0011275622	0.0008144904	0.0037872509	0.0009647329	0.0005622546	0.0002204776	0.0005760838	0.0002643886	0.001226072	0.0017998767	0.0001251601	0.0005360577	0.0019860823	0.0070888885	0.0003289825	0.0009674605	0.0026458959	0.0026042091	0.0008751082	0.001981591	0.000483021	0.0014908073	0.0011289688	0.0006005223	0.0017183171	0.0023932208	0.0004554455	0.0013500962	0.043558701	0.0016363483	0.0058857325	0	0	9.18578e-05	0.0002858818	0	0.0009695613	0.0001706318	0.0021838903	0	0	0.0004035282	0.0005176858	0.000296435	0.0002171634	0.000381072	0.0013468271	0.0007350314	0.0001115512	0	0.0023117858	0.000122978	0.000201405	0	0.0002062008	0.0002799485	0.0008649165	0.0017912793	0.0003021624	0.0002510888	0.0002100496	0	0.0005183529	0.0001046138	0.0047196397	0.0017355158	0.0009846887	0.0020216615	9.45178e-05	0.0001600174	0	0.0001858973	0.0025763559	0.0004558984	0.0028405219	0.0016636613	0	0	0	0.0003141214	0	0.0024300837	0.0003677115	0.0013515802	0.0007809489	4.97264e-05	0.0032286553	0.0009239693	0.0013474722
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Micrococcales]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003125586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Micrococcales]|f__Actinobacteria fam. [Sanguibacteraceae/Actinomycetaceae/Promicromonosporaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003125586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Micrococcales]|f__Actinobacteria fam. [Sanguibacteraceae/Actinomycetaceae/Promicromonosporaceae]|g__Actinobacteria gen. [Xylanimonas/Schaalia/Sanguibacter]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003125586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Micrococcales]|f__Actinobacteria fam. [Sanguibacteraceae/Actinomycetaceae/Promicromonosporaceae]|g__Actinobacteria gen. [Xylanimonas/Schaalia/Sanguibacter]|s__Actinobacteria sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003125586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Streptomycetales]	0	0	0	0	0	0.0004436685	0	0	0	0.0001476307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60808e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Streptomycetales]|f__Actinobacteria fam. [Actinomycetaceae/Streptomycetaceae]	0	0	0	0	0	0.0004436685	0	0	0	0.0001476307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60808e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Streptomycetales]|f__Actinobacteria fam. [Actinomycetaceae/Streptomycetaceae]|g__Actinobacteria gen. [Trueperella/Streptomyces]	0	0	0	0	0	0.0004436685	0	0	0	0.0001476307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60808e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Streptomycetales]|f__Actinobacteria fam. [Actinomycetaceae/Streptomycetaceae]|g__Actinobacteria gen. [Trueperella/Streptomyces]|s__Actinobacteria sp.	0	0	0	0	0	0.0004436685	0	0	0	0.0001476307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60808e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	0	0	0	0	0	0	0.0002783902	0	0	0	0	0	0	0	0	0	0	8.8037e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001149767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0	0	0	0	0	0	0.0002783902	0	0	0	0	0	0	0	0	0	0	8.8037e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001149767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.8037e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum sp. oral taxon 183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.8037e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	0	0	0	0	0	0	0.0002783902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001149767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces sp. ICM47	0	0	0	0	0	0	0	0	0.0002783902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001149767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0	0	0.0028829833	0.0005961628	0.0004074641	0.0002972427	0.0052220798	0.0013725103	0.0005787643	0.000997158	0.0003497651	0.0036657771	0.0002503771	0.0005622546	0.0002204776	0.0005760838	0	0.0002466555	0.0007705396	0.0001251601	0.0005360577	0.0019860823	0.0070888885	0.0003289825	0.0009674605	0.0024046383	0.0026042091	0.0008751082	0.0015665859	0.000483021	0.0011782487	0.0004489412	0.0003180476	0.0017183171	0.0023932208	0	0.0013500962	0.0434437243	0.0016363483	0.0058857325	0	0	9.18578e-05	0.0002858818	0	0.0009695613	7.9016e-05	0.0020991336	0	0	0.0004035282	0.0005176858	5.57848e-05	0	0.000381072	0.0013468271	0.0007350314	0.0001115512	0	0.0023117858	0.000122978	0.000201405	0	0.0002062008	0	0.0008649165	0.0017912793	0.0003021624	0	0.0002100496	0	0.0005183529	0.0001046138	0.0047196397	0.0014635908	0.0008751268	0.0018844973	9.45178e-05	0	0	0.0001858973	0.0025763559	0.0004558984	0.0026136824	0.001465772	0	0	0	0.0003141214	0	0.0024300837	0.0003677115	0.0009025096	0.0007809489	4.97264e-05	0.0029319238	0.0009239693	0.0011679529
