X.mOTUs2_clade	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.1410790588	0.0820400484	0.0142003756	0.0026112667	0.0164394636	0.003497191	0.0001480561	0.0797899112	0.0156653461	0.0046952953	0.0117555566	0.0747179494	0.1644776518	0.0976505799	0.0018236953	0.0001343964
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	0.0924664164	0.0483061042	0	0	0	0	0	0	0.0011979056	0.0005413516	0.0053847172	0.0316313015	1.08979e-05	0.0665470201	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium animalis	0	0	0	6.4343e-06	0	0	0	0	0	0	0	0	0	0	5.461e-06	1.16232e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium catenulatum/kashiwanohense	0.0011136019	0	0	0	0	0	0	0.0052164305	0	0	0	0.0037684315	0	0.0004997819	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium longum	0.0165798495	0.0132450304	0	0	0	0	0	0	0	0.0001884294	0.001819089	0.0059750851	6.38215e-05	0.008251248	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudocatenulatum	0	0	0	8.8981e-06	0.0118215314	0.0026029585	0	0.0229395085	0	0	0	0.0138489382	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudolongum	0	0	0	1.11386e-05	1.53613e-05	0	0	0	0	0	0	0	0.0138171447	0	1.07317e-05	2.14121e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum	0	0	0	0	0	0	0	0	0.0001362732	0	0	0.0001093561	0.000196483	7.78152e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium ruminantium	0.0108389463	0.0033295786	0	0	0	0	0	0	0	0	0	0.0050073855	0	0.0098862338	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium sp.	0.0200802447	0.0171593352	0.0129891166	0.0025847958	0.004602571	0.0008942325	0.0001480561	0.0516339722	0.014220153	0.0039655143	0.0045517504	0.0143774514	0.1503893045	0.0123884811	0.0018075026	0.000101361
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium species incertae sedis [ext_mOTU_v3_15386]	0	0	0.001211259	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium thermacidophilum/thermophilum	0	0	0	0	0	0	0	0	0.0001110143	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.0001374292	0.0003220668	0	2.86595e-05	0.000199195	0	0	0	0	0.0002532492	0	0	9.83797e-05	0.00043749	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0	6.42288e-05	0	2.86595e-05	0.000199195	0	0	0	0	0.0002532492	0	0	9.83797e-05	0.0003347093	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0	6.42288e-05	0	2.86595e-05	0.000199195	0	0	0	0	0.0002532492	0	0	9.83797e-05	0.0003347093	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium frankenforstense	0	6.42288e-05	0	0	0	0	0	0	0	0.0002532492	0	0	0	0.0001162748	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium massiliense	0	0	0	0	1.65354e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium mustelae	0	0	0	2.86595e-05	0.0001290613	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium oculi	0	0	0	0	3.14171e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium pyruviciproducens	0	0	0	0	0	0	0	0	0	0	0	0	9.83797e-05	0.0002184345	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium sp.	0	0	0	0	2.21811e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales fam. incertae sedis	0.0001374292	0.000257838	0	0	0	0	0	0	0	0	0	0	0	0.0001027807	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales fam. incertae sedis|g__Corynebacteriales gen. incertae sedis	0.0001374292	0.000257838	0	0	0	0	0	0	0	0	0	0	0	0.0001027807	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales fam. incertae sedis|g__Corynebacteriales gen. incertae sedis|s__Corynebacteriales species incertae sedis [ext_mOTU_v3_28772]	0.0001374292	0.000257838	0	0	0	0	0	0	0	0	0	0	0	0.0001027807	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0	0	0	0	0.0001805352	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0	0	0	0	0.0001805352	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria	0	0	0	0	0.0001805352	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria rhizophila	0	0	0	0	6.1098e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria rhizophila	0	0	0	0	0.0001194372	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0	0	0	0	8.9106e-06	0	0	0	0	0	0	0	0	7.48708e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	0	0	0	0	8.9106e-06	0	0	0	0	0	0	0	0	7.48708e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	0	0	0	0	8.9106e-06	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium acnes	0	0	0	0	8.9106e-06	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	7.48708e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium|s__Pseudopropionibacterium propionicum	0	0	0	0	0	0	0	0	0	0	0	0	0	7.48708e-05	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.108038814	0.18388207	0.1540728421	0.0853836744	0.2219670114	0.1005646426	0.0380226144	0.3554257388	0.2786357157	0.062298403	0.0599476241	0.0756618721	0.3589631796	0.1368956701	0.0470610998	0.0832522445
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.1011677645	0.1711746402	0.1509688184	0.0731537064	0.2096772416	0.0936056622	0.0325161404	0.3499151974	0.2606423765	0.0565449298	0.0571973152	0.071869323	0.3520828284	0.1239924203	0.042736442	0.0760133374
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.0042360574	0.0065126185	0.0046212197	0.0048749847	0.0101962306	0.0045123451	0.0013171872	0.0169043454	0.0107036061	0.0084087514	0	0.0326942087	0.2606881524	0.0125000007	0.0033555594	0.0014836999
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobiaceae gen. incertae sedis	0	0	0	0	0.0002243152	0	0	0.000836222	0	0.000243774	0	0.0001471884	0	0	0	4.71675e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobiaceae gen. incertae sedis|s__Atopobiaceae species incertae sedis [meta_mOTU_v3_13944]	0	0	0	0	0.0002243152	0	0	0.000836222	0	0.000243774	0	0.0001471884	0	0	0	4.71675e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Libanicoccus	0	0.0026881859	0	0	0	0	0	0	0	0.0015107485	0	0.0011457149	0	0.0027894572	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Libanicoccus|s__Libanicoccus massiliensis [meta_mOTU_v3_12502]	0	0.0025938182	0	0	0	0	0	0	0	0.0015107485	0	0.0011457149	0	0.0027894572	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Libanicoccus|s__Libanicoccus massiliensis	0	9.43677e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella	0.0042360574	0.0038244326	0.0046212197	0.0048749847	0.0099719154	0.0045123451	0.0013171872	0.0160681234	0.0107036061	0.0066542288	0	0.0314013053	0.2606881524	0.0097105435	0.0033555594	0.0014365324
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella mediterranea	8.39311e-05	0	0	0	0.0008393641	0.0006666904	0	0.0028260462	0	0	0	5.46781e-05	0	0.0002832136	0	7.82693e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella provencensis	0.0003090683	0.0015053719	0	2.25373e-05	0.0004383499	0.0002014123	0	0.0009566904	0.0036955127	0.0024589341	0	0.0107132106	0.0923960388	0.0027056859	0	8.6509e-06
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella sp. KH3B4	0	0	0	0	7.5054e-05	0	0	0.0003286491	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella sp. Marseille-P2300	0	0	0	0	0	0	0	0	0	0	0	0.0001933467	0	0.0001308128	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_15371]	0	0	0	7.93513e-05	2.23861e-05	0	0	0	0	0	0	0	0	0	2.09917e-05	4.41661e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_15372]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77278e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_15401]	0	0	4.70075e-05	0	0.0002192261	0	0	0	0	0	0	0	0	0	0	2.19581e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_16141]	0.0037427614	0	0.0045742122	0.0034861581	0.0054656716	0.0027634189	0.0009335327	0.0049250892	0	0	0	0	0	0	0.0006814364	0.0011990618
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_17574]	0	0.0001130512	0	0	0.0005130087	0.000174803	0	0.0013197835	0	0	0	8.89425e-05	0	0.0002159702	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_17780]	0	0	0	0	0	0	0	7.81143e-05	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_19859]	0	0	0	0	0	0	0	0.000162937	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_20117]	0	0	0	0	0	0	0	0	0	0	0	0	0	6.21125e-05	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_20166]	0	0	0	0	0.0002646986	0.0001884389	0	0.0006747357	0	0	0	0.0001399894	0	0	0	3.61361e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_20214]	0	0	0	0	0.0002810406	0	0	0.0017127233	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_26518]	0	0	0	0.0012783126	0.0016446805	0.0005175816	0.0003836545	0.000195013	0	0.0006747998	0	0.0014334496	0	0	0.0026531313	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v3_33784]	0	0	0	0	0	0	0	0	0	0	0	9.62442e-05	0	7.27178e-05	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [meta_mOTU_v3_13110]	0	4.50958e-05	0	0	3.07187e-05	0	0	0	0	0	0	8.10874e-05	0	0.0001294495	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [meta_mOTU_v3_13248]	0.0001002965	0.0020789964	0	8.6254e-06	0	0	0	0.0025636275	0.0070080934	0.0035204949	0	0.0181073622	0.1682921135	0.0059099322	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [meta_mOTU_v3_13910]	0	0	0	0	0	0	0	0	0	0	0	0.0003795481	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [meta_mOTU_v3_14117]	0	8.19174e-05	0	0	0.0001777164	0	0	0.0003247143	0	0	0	0.0001134465	0	0.0002006489	0	3.05624e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.0969317071	0.1646620217	0.1463475987	0.0682787217	0.199481011	0.089093317	0.0311989533	0.333010852	0.2499387705	0.0481361785	0.0571973152	0.0391751144	0.091394676	0.1114924196	0.0393808825	0.0745296375
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.0963194982	0.1640564504	0.1456253946	0.0664888373	0.1976048499	0.0886376878	0.0310848249	0.3329785637	0.2484499395	0.0474893537	0.0570750665	0.0381657119	0.091394676	0.1090833672	0.03901115	0.0745296375
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella aerofaciens	0.0044978808	0.0013069828	0.030748216	0.0041978122	0.0184318408	0.0084849973	0.0020224143	0.0148500162	0.0044768535	0.0018717265	0.0200313881	0.0020491597	0	0.001373981	0.0006616709	0.0034714567
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella bouchesdurhonensis	0	0	0	0.000440609	0.0001774151	0.0009243434	0.0001675981	0.0007623808	0	0.0001756665	0	0.000201595	0	0	0.0002021635	0.0005766198
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella ihuae	0.0009209432	0.0029052319	0	0	0	0	0	0	0.0010852859	0.0023023749	0.0004102948	0.0022660369	0	0.0018582155	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis	0	4.4913e-05	8.3569e-05	0.0001056633	5.45849e-05	9.13513e-05	6.89423e-05	0.0008390003	9.92091e-05	7.60388e-05	0	0	0	5.25152e-05	4.56008e-05	0.0001596099
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella phocaeensis	0.0012276197	0.0029760064	0.0005849827	0.0060020055	0.0011675399	0.0027381337	0.0017018256	0.0026269806	0.0032826263	0.0014151431	0.0012193095	0.0001663678	0	0.0030885123	0.0040143231	0.0114351315
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_15423]	0	0.0002772169	0	9.9775e-05	3.58308e-05	0.0001167974	9.3929e-05	0.0008754303	0	8.30163e-05	0	5.07938e-05	0.000129894	0	1.75984e-05	2.51802e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_16127]	0.0035531849	0.0228409683	0.0003725552	0.0016354559	0.0065771641	0.0059589773	0.0004517296	0.0084658803	0.0564910302	0.0003406775	0.0001039504	0.0005924732	0	0.0136255306	0.0045139627	0.0010953314
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_16134]	0.0189915763	0.0516770463	0	0.0016729672	0.0713742652	0.0104846727	0	0.1210638898	0.0021593961	0.0002548835	0	0.0001681736	0.0015967818	0.0009877667	8.02929e-05	7.92556e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_16140]	0.0004000718	0.0008563693	0.0005134209	0.0199539212	0.0021171947	0.0142746155	0.0117629004	0.0847266532	0.0029155827	0.0020501836	9.99061e-05	0.0005701819	0.0011631422	0.0012370081	0.0051636478	0.008509744
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_16142]	0.0012412015	0.0019070585	0.0018531204	0.0001708456	0.0014721037	0.000392302	0.0003692762	0.0001023649	0.010924294	0.0005110609	0.0002382751	0.0003187702	0.0027516244	0.0016682832	0.0001779155	0.0001728117
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_17326]	0	0	0	0	0	0.0001911179	0	0	0	0	0	6.102e-05	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_17327]	0	0	0.0002095044	0	0	0	0	0	0	3.81037e-05	0.0009546809	0	0	0	1.96469e-05	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_17329]	0	0	0.0115918094	0.0006754301	0.0043163602	0.0020787989	0	0.0009122174	0	0	0	0	0	5.01851e-05	0.0001235773	0.0010351875
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_17330]	0.0003576583	4.95699e-05	0.0018097162	8.48364e-05	0.0001509268	0.0004153003	0.0001439625	0.0003471568	0.0007085238	0	0.0009849959	0.0001321639	0	0.0001015037	0.0001379253	0.0001940489
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_17332]	0	0	0	0	0	0	0	0	0	0	5.19752e-05	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella species incertae sedis [ext_mOTU_v3_17334]	0	3.01712e-05	0.0002855006	8.31661e-05	0.0001296662	0.0001204378	6.31314e-05	0.0003392597	0	0	5.84273e-05	5.67515e-05	0	6.91378e-05	7.69591e-05	3.16719e-05
