X.mOTUs2_clade	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis	0.0034273641	0.0007070979	0.0003518086	0.0005408353	0.0074863529	0.0200849022	0.0058116478	0.0413248023	0.0141674803	0.0332383766	0.0608019557	0.1048608672	0.0031540055	4.99222e-05	0.0447213909	1.33568e-05	0.0001575327	0.0584124037	0.0125149046	0.009489402	0.0562490846	0.0569004464	0.0028524957	0.0368434125	4.02806e-05	0.0216061841	0.0116457971	0.00064229	9.73764e-05	0.0549326915	0.0430627234	0.0282323157	0.0481635538	0.0009864912	0.0028406399	6.82591e-05	0.0053179449	7.31113e-05	0.0339043649	0.0081040917	0.0384679878
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis	0.0034273641	0.0007070979	0.0003518086	0.0005408353	0.0074863529	0.0200849022	0.0058116478	0.0413248023	0.0141674803	0.0332383766	0.0608019557	0.1048608672	0.0031540055	4.99222e-05	0.0447213909	1.33568e-05	0.0001575327	0.0584124037	0.0125149046	0.009489402	0.0562490846	0.0569004464	0.0028524957	0.0368434125	4.02806e-05	0.0216061841	0.0116457971	0.00064229	9.73764e-05	0.0549326915	0.0430627234	0.0282323157	0.0481635538	0.0009864912	0.0028406399	6.82591e-05	0.0053179449	7.31113e-05	0.0339043649	0.0081040917	0.0384679878
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis	0.0034273641	0.0007070979	0.0003518086	0.0005408353	0.0074863529	0.0200849022	0.0058116478	0.0413248023	0.0141674803	0.0332383766	0.0608019557	0.1048608672	0.0031540055	4.99222e-05	0.0447213909	1.33568e-05	0.0001575327	0.0584124037	0.0125149046	0.009489402	0.0562490846	0.0569004464	0.0028524957	0.0368434125	4.02806e-05	0.0216061841	0.0116457971	0.00064229	9.73764e-05	0.0549326915	0.0430627234	0.0282323157	0.0481635538	0.0009864912	0.0028406399	6.82591e-05	0.0053179449	7.31113e-05	0.0339043649	0.0081040917	0.0384679878
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis	0.0034273641	0.0007070979	0.0003518086	0.0005408353	0.0074863529	0.0200849022	0.0058116478	0.0413248023	0.0141674803	0.0332383766	0.0608019557	0.1048608672	0.0031540055	4.99222e-05	0.0447213909	1.33568e-05	0.0001575327	0.0584124037	0.0125149046	0.009489402	0.0562490846	0.0569004464	0.0028524957	0.0368434125	4.02806e-05	0.0216061841	0.0116457971	0.00064229	9.73764e-05	0.0549326915	0.0430627234	0.0282323157	0.0481635538	0.0009864912	0.0028406399	6.82591e-05	0.0053179449	7.31113e-05	0.0339043649	0.0081040917	0.0384679878
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15071]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3009e-05	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15101]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002265636	0.0019170301	0	0	0	0	0	0	0.0003301365	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15124]	0	0	0	0	0	0	0	1.44402e-05	0	0.0037492195	0.0071171555	2.45804e-05	0	0	0.0001009765	0	0	0	0	0	0	0	0	0.0014586345	0	0	0	0	0	0.012017313	0.0146454602	0.0015716998	0	1.55198e-05	1.73153e-05	0	1.52384e-05	0	0.0127239376	5.84014e-05	0.0002403279
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15130]	0	0	0	0	0	0	0	0	0	0	0	3.15466e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.16642e-05	0.0007093664	9.25105e-05	0	0	0	0	0	0	0.0006888799	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15140]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006910941	1.77358e-05	0	0	0	0	0	0	0.0006400892	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15141]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001657232	1.04984e-05	0	0	0	0	0	0	0.0003506391	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15240]	4.03616e-05	0	0	0	0	0	0	0.000222715	2.12058e-05	0.0023486691	0.0119849338	3.44018e-05	0	0	0.0008772385	0	0	3.38673e-05	0	0	0	0	2.7688e-05	0.000801766	0	0	0.0001207368	0	0	0.0075903892	8.98702e-05	9.9105e-06	4.74882e-05	4.0644e-05	4.49915e-05	0	0.0001431963	0	8.06455e-05	2.46675e-05	0.0014248515
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15255]	0	0	0	0	0	0	0	0	0	0	2.83854e-05	0	0	0	0	0	0	0.0004086966	0	0	0	0	0	0	0	0	0	0	0	0	1.01382e-05	0.0092884414	0	0	0	0	0	0	1.80052e-05	0	4.33781e-05
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15256]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002607207	7.0404e-05	0	0	0	0	0	0	0.0001620411	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15258]	0	0	0	0	0	0	0	5.21587e-05	0	0.00041453	0.0179111085	0	0	0	0.0052468207	0	0	0.0027323272	0	0	0	0	0	0	0	0	0	0	0	7.61567e-05	1.76136e-05	0.0011442803	0.0010171644	6.91571e-05	1.24102e-05	0	0.0001956313	0	1.73223e-05	0	0.0007350636
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15271]	0	0	0	0	0	0	0	2.19038e-05	0	0	1.4144e-05	0	0	0	0.0004918579	0	0	0.0010523029	0	0	5.45713e-05	2.22016e-05	0	0	0	0	0	0	0	0	0	0	0.0054927492	2.30852e-05	0	0	1.48178e-05	0	0	0	0.0032146379
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15302]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.959e-06	0	0	0	0	0	0	0	7.1109e-06	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15304]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3395e-05	0	0	0	0	0	0	0	8.47005e-05	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_17233]	0	0	0	0	0	0	0	0	0	6.212e-06	3.60731e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22468e-05	0.0010982636	0.0001247572	0	0	0	0	0	0	0.0007436504	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_17236]	0	0	0	0	0	0	0	0	0	8.34792e-05	0.0003356793	0	0	0	0	0	0	0	0	0	0	0	0	1.38954e-05	0	0	0	0	0	0.000108725	0.0051168213	0.0006368413	0	0	0	0	0	0	0.0028264851	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_21505]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07377e-05	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_21506]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.46e-06	0	0	0	0	0	0	0	2.40837e-05	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_21789]	0	0	0	0	0	0	0	9.6224e-06	0	0	0.0008294429	0	0	0	0.0010522657	0	0	0.0017558008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023373693	0.000170881	1.1399e-05	0	0	2.49858e-05	0	0	0	6.79399e-05
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_21790]	0	0	0	0	0	0	0	4.32468e-05	0	0	0.0002826897	0	0	0	0.0052701978	0	0	0.0159997125	0	0	1.58625e-05	6.4304e-06	0	0	0	0	0	0	0	0	0	6.38566e-05	0.0195222643	3.00782e-05	0	0	0.0001528385	0	0	0	0.0022533712
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_21807]	0	0	0	0	0	0	0	0	0	0.001289659	0.0002540902	0.0018973987	3.1382e-05	0	0	0	0	0	0	0	0	0	5.47548e-05	0.0018545542	0	0	0	0	0	0.0016222363	0	0	1.51585e-05	0	1.27354e-05	0	0	0	0	0.0001429149	1.12242e-05
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_21995]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.15257e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008205146	0	0	0	0	0	0	0	0	1.57024e-05
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22018]	0	0	0	0	0	0	0	0.0003204829	0	1.26446e-05	0.0001784823	0	0	0	0.0011106334	0	0	0.0021874018	0	0	0.0003666704	0.000431315	0	0	0	0	7.7683e-06	0	0	0	0	3.45941e-05	0.0015655715	0	0	0	3.38593e-05	0	0	0	0.0001648021
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22028]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004271283	1.04898e-05	0	0	0	0	0	0	0.0008063876	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22033]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019838143	9.9706e-06	0	0	0	0	0	0	0.0011246647	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22066]	1.92057e-05	0	0	0	0.0003760223	0.0012199682	0	0.0001464035	2.49657e-05	0.0013021098	0.000789486	0.0138188553	0	0	3.65121e-05	0	0	7.03402e-05	3.34835e-05	0	3.60073e-05	4.30102e-05	6.16805e-05	0.0005093841	0	0	2.23022e-05	0	0	0.0158095705	9.5649e-06	0	7.65835e-05	1.56298e-05	1.50383e-05	0	5.08285e-05	0	0	0.0014681194	0.0001992243
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22070]	0	0	0	0	0	0	0	1.22122e-05	5.11245e-05	0.0031004977	0.0002701041	0.035604685	0.0010038539	0	0	0	0	0	0	0	0	0	0.0002398687	0.0091204564	0	0	0	0	0	0.0014506489	9.1155e-06	0	0.0001727496	0	0.0002722865	2.67752e-05	0	0	1.59204e-05	0.0033389089	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22083]	0	0	0	4.24372e-05	0.0002587666	0.0002991929	0.0001533895	0.0004753916	0.0042150724	0.0024297374	0.0002054124	0.0387499245	0.0019038986	0	1.39289e-05	0	0	0	5.34612e-05	7.69315e-05	0.0003117372	0.0001325735	0.0006077862	0.0072379799	1.63847e-05	4.41399e-05	1.35257e-05	0	0	0.0023289185	0	0	0.0001915275	2.32864e-05	0.0003613234	4.1484e-05	1.6073e-05	0	0	0.002149657	1.63532e-05
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22117]	0	0	0	0	0	0	0	0	0	0.0010582311	0.0004235729	0.0014208356	0	0	0	0	0	0	0	0	0	0	0	0.0004446468	0	0	0	0	0	0.002559485	0	0	2.17062e-05	0	0	0	0	0	0	0.0001328847	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22118]	0	0	0	0	0	0	0	0	0	0.0005140747	0.0001728019	0.0049629267	2.47595e-05	0	0	0	0	0	0	0	0	0	1.68715e-05	0.0004287258	0	0	0	0	0	0.0023182647	0	0	2.66617e-05	0	2.90716e-05	0	0	0	0	0.0002050903	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22119]	0	0	0	0	0	0	0	0	0	0.0018741782	0.0001564566	0.0043972079	0	0	0	0	0	0	0	0	0	0	0	0.0019508021	0	0	0	0	0	0.002382419	0.0012624112	0	0	0	0	0	0	0	0.0010985004	0.0004134375	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22136]	0	0	0	0	0	0	0	0.0021094764	0	1.40561e-05	1.80366e-05	0	0	0	0.0007084939	0	0	0.0014156809	0	0	0.0012752236	0.0005604448	0	0	0	0	0	0	0	0	0	0	0.0023838481	1.39353e-05	0	0	4.33901e-05	0	0	0	0.000736016
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22176]	0	0	0	0	0	0	0	1.77174e-05	0	0	6.413e-05	0	0	0	0.0023191531	0	0	0.0010257224	0	0	9.18995e-05	4.8014e-05	0	0	0	0	3.84499e-05	0	0	0	0	1.09191e-05	0.0013199199	1.54472e-05	0	0	9.62825e-05	0	0	0	0.0012568212
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22180]	0.0001305985	2.23999e-05	0	0	0	1.88731e-05	0	0.0011133407	0	0.0003022058	0.0033478811	0	0	0	0.0025828265	0	0	0.0043557065	0	1.25946e-05	0.0010715662	0.0017378972	1.78173e-05	1.24824e-05	0	0	0.0010604688	0	0	7.49668e-05	0	2.08686e-05	0.0012879469	2.02606e-05	1.29763e-05	0	0.0002271436	0	0	0	0.0033524721
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22188]	0	0	0	0	0	0	0	0.0014533794	0	2.8451e-05	0.000134131	0	0	0	0.0047083396	0	0	0.0103592597	0	0	0.0007405405	0.0003967822	0	0	0	0	9.82722e-05	0	0	0	0	5.7523e-06	0.0091059455	3.06084e-05	0	0	0.0002438151	0	0	0	0.0056436444
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22310]	0.0012019581	5.01349e-05	0	0	7.6085e-05	2.00033e-05	2.00172e-05	0.0181773987	0.0005195423	0.0044056504	0.0023098626	0	0	1.19352e-05	0.0090512971	0	0	0.0036911831	1.4184e-05	4.05776e-05	0.0032866543	0.0025716503	0.0001803952	0.0012752286	0	0.0004257376	0.0036869996	5.3635e-05	0	0.0023442489	0	0	0.0009298245	0.0001725873	0.0004884791	0	0.0020532824	1.4476e-05	0	0	0.0144607463
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_22345]	0.0006526489	6.00442e-05	1.34972e-05	0	8.95618e-05	0.0009964872	0.0001827076	0.0007028402	1.67859e-05	0.0001155058	1.41927e-05	0	0	1.30359e-05	0.0022022901	0	1.78858e-05	0.0030376176	0.0006656187	0.0002440149	0.0026594474	0.0049885447	0	4.57656e-05	0	0.0019204021	0.0024605743	0	0	1.24059e-05	0	0	0	0	1.29763e-05	0	0.0004814355	1.6615e-05	0	0	2.8223e-05
