X.mOTUs2_clade	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis	0	0	0	0	0	0	0.0041698283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016880559	0	0.0014783466	0	0	0	0.0641992547	0.0121367282	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis	0	0	0	0	0	0	0.0041698283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016880559	0	0.0014783466	0	0	0	0.0641992547	0.0121367282	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis	0	0	0	0	0	0	0.0041698283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016880559	0	0.0014783466	0	0	0	0.0641992547	0.0121367282	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis	0	0	0	0	0	0	0.0041698283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016880559	0	0.0014783466	0	0	0	0.0641992547	0.0121367282	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_22510]	0	0	0	0	0	0	0.0041698283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014783466	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_22554]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016880559	0	0	0	0	0	0.0641992547	0.0121367282	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]	0	0	0	0.010810777	0	0	0	0	0	0	0	0	0	0	0.003586924	0	0	0	0	0	0.0071336859	0	0.0050132157	0	0.0049194871	0.0079382541	0.001563169	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]|f__Actinobacteria fam. [Streptomycetaceae/Actinospicaceae]	0	0	0	0.010810777	0	0	0	0	0	0	0	0	0	0	0.003586924	0	0	0	0	0	0.0071336859	0	0.0050132157	0	0.0049194871	0.0079382541	0.001563169	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]|f__Actinobacteria fam. [Streptomycetaceae/Actinospicaceae]|g__Actinobacteria gen. [Streptomyces/Actinospica]	0	0	0	0.010810777	0	0	0	0	0	0	0	0	0	0	0.003586924	0	0	0	0	0	0.0071336859	0	0.0050132157	0	0.0049194871	0.0079382541	0.001563169	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]|f__Actinobacteria fam. [Streptomycetaceae/Actinospicaceae]|g__Actinobacteria gen. [Streptomyces/Actinospica]|s__Actinobacteria sp.	0	0	0	0.010810777	0	0	0	0	0	0	0	0	0	0	0.003586924	0	0	0	0	0	0.0071336859	0	0.0050132157	0	0.0049194871	0.0079382541	0.001563169	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Corynebacteriales/Micromonosporales]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035607263	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Corynebacteriales/Micromonosporales]|f__Actinobacteria fam. [Micromonosporaceae/Nocardiaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035607263	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Corynebacteriales/Micromonosporales]|f__Actinobacteria fam. [Micromonosporaceae/Nocardiaceae]|g__Actinobacteria gen. [Nocardia/Pilimelia]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035607263	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Corynebacteriales/Micromonosporales]|f__Actinobacteria fam. [Micromonosporaceae/Nocardiaceae]|g__Actinobacteria gen. [Nocardia/Pilimelia]|s__Actinobacteria sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035607263	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0088036986	0	0	0	0	0	0	0	0	0	0.0045191803	0.001466981	0	0	0	0.016210212	0	0.0002800017	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0088036986	0	0	0	0	0	0	0	0	0	0.0045191803	0.001466981	0	0	0	0.016210212	0	0.0002800017	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0088036986	0	0	0	0	0	0	0	0	0	0.0045191803	0.001466981	0	0	0	0.016210212	0	0.0002800017	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_14998]	0	0	0	0	0	0	0	0	0	0	0.0029786271	0	0	0	0	0	0	0	0	0	0.0045191803	0.001466981	0	0	0	0.016210212	0	0.0002800017	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_24632]	0	0	0	0	0	0	0	0	0	0	0.0058250714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.0067692213	0	0.0054588425	0.0413222961	0.01611423	0	0.027603577	0	0.0130796288	0.0041521652	0.020374597	0.1184921508	0.0272319361	0.0207817318	0.005482953	0.0193311527	0.0102294288	0.0106568797	0.0162605348	0.0364726614	0.0087056088	0	0.0072468055	0.0084157756	0.0503449401	0.0249935763	0.0126870765	0.0024551544	0.0133481404	0.038546621	0	0.0199074574	0.0142457399	0.0112344144
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0	0	0.0011139773	0.0025070137	0.0028267975	0	0	0	0	0	0.0049361256	0.0018651131	0	0.0207817318	0	0.011204861	0	0	0.0162605348	0.0270854063	0.0087056088	0	0	0	0	0	0.0025459502	0.0006550579	0.0039550128	0.0083458328	0	0.003460092	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0	0	0.0011139773	0.0025070137	0.0028267975	0	0	0	0	0	0.0049361256	0.0018651131	0	0.0207817318	0	0.011204861	0	0	0.0162605348	0.0270854063	0.0087056088	0	0	0	0	0	0.0025459502	0.0006550579	0.0039550128	0.0083458328	0	0.003460092	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium variabile	0	0	0.0011139773	0.0025070137	0.0028267975	0	0	0	0	0	0.0049361256	0.0018651131	0	0.0207817318	0	0.011204861	0	0	0.0162605348	0.0270854063	0.0087056088	0	0	0	0	0	0.0025459502	0.0006550579	0.0039550128	0.0083458328	0	0.003460092	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae	0	0	0	0	0	0	0	0	0	0	0	0.0066004529	0	0	0	0	0	0	0	0	0	0	0.0051917624	0	0.0013694391	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia	0	0	0	0	0	0	0	0	0	0	0	0.0066004529	0	0	0	0	0	0	0	0	0	0	0.0051917624	0	0.0013694391	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia lacunae	0	0	0	0	0	0	0	0	0	0	0	0.0030146561	0	0	0	0	0	0	0	0	0	0	0.0033982445	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia malaquae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013694391	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia polyisoprenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017935179	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia terrae	0	0	0	0	0	0	0	0	0	0	0	0.0035857968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae	0	0	0.0043448652	0.0319034999	0.0132874325	0	0.027603577	0	0.0034150217	0.0027702391	0.0119728803	0.0982327245	0.0272319361	0	0.0037457739	0.0081262916	0.0068729293	0.0106568797	0	0.0093872552	0	0	0.0020550431	0.0084157756	0.0393269585	0.0249935763	0.0079690936	0.0016095327	0.0050603945	0.0302007882	0	0.0164473654	0.0102057586	0.0046996894
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium	0	0	0.0013262581	0.0051995433	0.0018885038	0	0	0	0	0	0.0016573198	0.0087992141	0	0	0.0019334726	0	0	0	0	0	0	0	0	0.0028170627	0.0021181574	0	0.0028847137	0.000301726	0	0.0302007882	0	0.0050741872	0	0.0013195233
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium gordonae	0	0	0	0.0021143923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021213066	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. 852002-50816_SCH5313054-b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007634071	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. E3198	0	0	0	0	0	0	0	0	0	0	0.0016573198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. M26	0	0	0	0	0	0	0	0	0	0	0	0.0022080945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. Soil538	0	0	0.0013262581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000301726	0	0.0041601812	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. UNC267MFSha1.1M11	0	0	0	0	0	0	0	0	0	0	0	0.0024174246	0	0	0.0019334726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0083373253	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. YC-RL4	0	0	0	0.003085151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013195233
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. djl-10	0	0	0	0	0.0018885038	0	0	0	0	0	0	0.004173695	0	0	0	0	0	0	0	0	0	0	0	0.0028170627	0	0	0	0	0	0.0177032817	0	0.0050741872	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium species incertae sedis [ext_mOTU_v3_28925]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010114882	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium tuberculosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011066693	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter	0	0	0	0.0111081192	0	0	0.0078847663	0	0	0	0	0.0544333503	0.0272319361	0	0.0018123012	0	0.0042288597	0	0	0	0	0	0	0	0.0162187776	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium	0	0	0.0030186071	0.0155958375	0.0113989288	0	0.0197188107	0	0.0034150217	0.0027702391	0.0103155605	0.0350001601	0	0	0	0.0081262916	0.0026440696	0.0106568797	0	0.0093872552	0	0	0.0020550431	0.0055987129	0.0209900234	0.0249935763	0.00508438	0.0013078067	0.0050603945	0	0	0.0113731782	0.0102057586	0.0033801661
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium aromaticivorans	0	0	0.0010871986	0.0029818353	0.0032796349	0	0.0039068662	0	0	0	0	0.0026753261	0	0	0	0	0.0026440696	0	0	0	0	0	0	0.0031263823	0	0	0	0	0.0022091062	0	0	0	0.0020177159	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium aurum	0	0	0	0	0	0	0	0	0	0	0	0.0021897447	0	0	0	0	0	0.004676493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium chubuense/chlorophenolicum	0	0	0.0011811589	0.0043155924	0	0	0	0	0	0	0.0033146397	0.0019177229	0	0	0	0	0	0.0059803867	0	0.0093872552	0	0	0	0	0	0.0249935763	0.0006698863	0.0007378402	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium fortuitum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0065166629	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium neoaurum	0	0	0	0.0056275985	0	0	0	0	0.0034150217	0.0027702391	0.0035021345	0.0155142039	0	0	0	0	0	0	0	0	0	0	0.0020550431	0	0	0	0.0014514216	0	0.0028512883	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium neoaurum	0	0	0	0	0	0	0	0	0	0	0	0.0030639451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium obuense	0	0	0	0	0.0081192939	0	0.0079271782	0	0	0	0.0034987863	0.0030462344	0	0	0	0.0081262916	0	0	0	0	0	0	0	0	0.0047146036	0	0	0.0005699664	0	0	0	0.0113731782	0.0081880427	0.0033801661
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium peregrinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054025845	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium porcinum/vulneris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021077122	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium rhodesiae	0	0	0.0007502496	0.0026708113	0	0	0	0	0	0	0	0.0015407654	0	0	0	0	0	0	0	0	0	0	0	0.0024723306	0	0	0.0015379473	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium rhodesiae	0	0	0	0	0	0	0	0	0	0	0	0.00217768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium septicum	0	0	0	0	0	0	0	0	0	0	0	0.0028745376	0	0	0	0	0	0	0	0	0	0	0	0	0.0022484603	0	0.0014251249	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium tusciae	0	0	0	0	0	0	0.0078847663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter|s__Mycolicibacter arupensis	0	0	0	0.005915846	0	0	0.0078847663	0	0	0	0	0.051015987	0.0272319361	0	0.0018123012	0	0.0019051293	0	0	0	0	0	0	0	0.0035846127	0	0	0	0	0	0	0	0	0
