#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reERR3589593_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589553_taxonomic_profile
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	0.0106192222927548	0	0.015305147673852304	0	0.000846235831897602	0	0.0014067043516192265	0.0008052620072862129	0.00904613922096077	0.06111465729938983	0.01591751434833619	0.0007286105742372037	0	0	0.0011255876488665858	0	0	0.0004004316984685764	0	0.003601933334963096	0.002311720453511365	0	0	0.008913997824467326	0	0	0.012943764569703713	0	0	0	0.04432410300316704	0.0163194420944058	3.0165064432452124e-05	0.006727343375042706	0	0	0	0	0	0	0.0005402988566803715
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae	2157|651137||31932|338190	0.0106192222927548	0	0.015305147673852304	0	0.000846235831897602	0	0.0014067043516192265	0.0008052620072862129	0.00904613922096077	0.06111465729938983	0.01591751434833619	0.0007286105742372037	0	0	0.0011255876488665858	0	0	0.0004004316984685764	0	0.003601933334963096	0.002311720453511365	0	0	0.008913997824467326	0	0	0.012943764569703713	0	0	0	0.04432410300316704	0.0163194420944058	3.0165064432452124e-05	0.006727343375042706	0	0	0	0	0	0	0.0005402988566803715
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Candidatus_Nitrosomarinus	2157|651137||31932|338190|1993653	0.0106192222927548	0	0.015305147673852304	0	0.000846235831897602	0	0.0014067043516192265	0.0008052620072862129	0.00904613922096077	0.06111465729938983	0.01591751434833619	0.0007286105742372037	0	0	0.0011255876488665858	0	0	0.0004004316984685764	0	0.003601933334963096	0.002311720453511365	0	0	0.008913997824467326	0	0	0.012943764569703713	0	0	0	0.04432410300316704	0.0163194420944058	3.0165064432452124e-05	0.006727343375042706	0	0	0	0	0	0	0.0005402988566803715
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Candidatus_Nitrosomarinus|s__Candidatus_Nitrosomarinus_catalina	2157|651137||31932|338190|1993653|1898749	0.0106192222927548	0	0.015305147673852304	0	0.000846235831897602	0	0.0014067043516192265	0.0008052620072862129	0.00904613922096077	0.06111465729938983	0.01591751434833619	0.0007286105742372037	0	0	0.0011255876488665858	0	0	0.0004004316984685764	0	0.003601933334963096	0.002311720453511365	0	0	0.008913997824467326	0	0	0.012943764569703713	0	0	0	0.04432410300316704	0.0163194420944058	3.0165064432452124e-05	0.006727343375042706	0	0	0	0	0	0	0.0005402988566803715
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	0.016405020435472057	0	0.01814977513097278	0	0	0	0	0.0031303158614715164	0.03186782603937186	0.2544750060885829	0.017186294430272225	1.4439846227657214e-05	0	0	0	0	0	0	0	0.00040991211238514586	0.0011965739408658115	0	0	0.013286461228828835	0	0	0.004433556614255131	0	0	0	0.007193854065493706	9.082266595532935e-05	0	0.0013307865135597902	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	2157|651137|||	0.016405020435472057	0	0.01814977513097278	0	0	0	0	0.0031303158614715164	0.03186782603937186	0.2544750060885829	0.017186294430272225	1.4439846227657214e-05	0	0	0	0	0	0	0	0.00040991211238514586	0.0011965739408658115	0	0	0.013286461228828835	0	0	0.004433556614255131	0	0	0	0.007193854065493706	9.082266595532935e-05	0	0.0013307865135597902	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosopelagicus	2157|651137||||1593364	0.0005595904339713853	0	0.01814977513097278	0	0	0	0	0.00013581786780273033	0.00046312215257610437	0.2107269523673953	0.017186294430272225	1.4439846227657214e-05	0	0	0	0	0	0	0	0	0	0	0	0.0012404089664241114	0	0	0.0014650402205905221	0	0	0	0.004869470326993265	9.082266595532935e-05	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosopelagicus|s__Candidatus_Nitrosopelagicus_brevis	2157|651137||||1593364|1410606	0.0005595904339713853	0	0.01814977513097278	0	0	0	0	0.00013581786780273033	0.00046312215257610437	0.2107269523673953	0.017186294430272225	1.4439846227657214e-05	0	0	0	0	0	0	0	0	0	0	0	0.0012404089664241114	0	0	0.0014650402205905221	0	0	0	0.004869470326993265	9.082266595532935e-05	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified	2157|651137||||	0.015845430001500672	0	0	0	0	0	0	0.0029946101471516953	0.03140470388679576	0.04374805372118753	0	0	0	0	0	0	0	0	0	0.00040991211238514586	0.0011965739408658115	0	0	0.012046052262404723	0	0	0.002968516393664609	0	0	0	0.002324273442223585	0	0	0.0013307865135597902	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_archaeon_SCGC_AC_337_F14	2157|651137|||||1465461	0.015845430001500672	0	0	0	0	0	0	0.0029946101471516953	0.03140470388679576	0.04374805372118753	0	0	0	0	0	0	0	0	0	0.00040991211238514586	0.0011965739408658115	0	0	0.012046052262404723	0	0	0.002968516393664609	0	0	0	0.002324273442223585	0	0	0.0013307865135597902	0	0	0	0	0	0	0
k__Bacteria	2	1.0646558132560742	0.5544086851417069	0.6196625245968013	1.601399663601628	2.031953047106577	4.968294363501952	3.583892596661842	0.9725252443199868	0.7504416497196066	0.2993682911970862	0.8296235900554328	0.490232177768703	3.2900331391001862	2.083156870267036	1.56157159611939	5.677887211372236	2.571722788206892	2.2362784921213987	1.5874936145555902	1.4520611981960838	1.2565949872759379	1.5286981567821374	2.719193544761461	0.680566957582805	2.1884568796421617	3.9939261102263934	0.8716430059236727	1.8419450707526115	2.919827113944768	0.2828592097981409	0.7610233540259439	1.661334546877057	3.5960624543251263	1.7965119582929665	1.7045557389315094	1.5654500726178364	3.3329309570337937	5.205065535123784	4.022790692421401	1.7096002244384532	2.6060992531906115
k__Bacteria|p__Actinobacteria	2|201174	0.0004239738451919813	0	0.00017400751857820246	0.011698300769793037	0.03994444236344893	0.007846816641204622	0.003142188963028509	0.0011127868574225355	0.0018094755633109648	0.0016436428261598992	0.0003878474503441317	0.004109339572287449	0.2549580043507197	0.2684836866947187	0.002597811699502614	0.001635136571854459	0.0859765099184475	0.11301756877631905	0.056689701353693576	0.026012877717624918	0.01556830333865251	0.07592686282144177	0.06941180831988875	0.0016595592389303869	0.02892683667047162	1.257222360159044	0.003659041666987085	0.01337664379815156	0.00027245551915690497	0	0.002103129407123776	0.03356122518158768	0.2275016101890682	0.017063891711965127	0.11743145450784055	0.035224533935235364	0.26062762120204	0.5223626024659139	0.818809773662061	0.0071707599294023	0.0023758424567863297
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.0004239738451919813	0	0.00017400751857820246	0.011698300769793037	0.03994444236344893	0.007846816641204622	0.003142188963028509	0.0011127868574225355	0.0018094755633109648	0.0016436428261598992	0.0003878474503441317	0.004109339572287449	0.2549580043507197	0.2684836866947187	0.002597811699502614	0.001635136571854459	0.0859765099184475	0.11301756877631905	0.056689701353693576	0.026012877717624918	0.01556830333865251	0.07592686282144177	0.06941180831988875	0.0016595592389303869	0.02892683667047162	1.257222360159044	0.003659041666987085	0.01337664379815156	0.00027245551915690497	0	0.002103129407123776	0.03356122518158768	0.2275016101890682	0.017063891711965127	0.11743145450784055	0.035224533935235364	0.26062762120204	0.5223626024659139	0.818809773662061	0.0071707599294023	0.0023758424567863297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales	2|201174|1760|2039638	0	0	0	0	0	0	0	0	0.0014246101323590742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.756485880794317e-06	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae	2|201174|1760|2039638|2162846	0	0	0	0	0	0	0	0	0.0014246101323590742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.756485880794317e-06	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae|g__Candidatus_Planktophila	2|201174|1760|2039638|2162846|622681	0	0	0	0	0	0	0	0	0.0014246101323590742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.756485880794317e-06	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae|g__Candidatus_Planktophila|s__Candidatus_Planktophila_dulcis	2|201174|1760|2039638|2162846|622681|1884914	0	0	0	0	0	0	0	0	0.0014246101323590742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae|g__Candidatus_Planktophila|s__Candidatus_Planktophila_versatilis	2|201174|1760|2039638|2162846|622681|1884905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.756485880794317e-06	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0479851887036493e-05	0.00021944480222270752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0479851887036493e-05	0.00021944480222270752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus	2|201174|1760|85007|85025|1827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0479851887036493e-05	0.00021944480222270752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_sp_AW25M09	2|201174|1760|85007|85025|1827|1268303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0479851887036493e-05	0.00021944480222270752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0	0	0	0.011698300769793037	0.03994444236344893	0.007846816641204622	0.003142188963028509	0.001000633374513592	0	0	0	0.004040148642446592	0.25479198690471305	0.2684331109411543	0.002597811699502614	0.001635136571854459	0.0859765099184475	0.11278203902049876	0.056689701353693576	0.025565629259876488	0.01534871741437049	0.07592686282144177	0.06941180831988875	0.0016595592389303869	0.02892683667047162	1.257222360159044	0.002956416186401265	0.01337664379815156	0.00027245551915690497	0	0.0005674743444331774	0.032698000743904145	0.2275016101890682	0.015307974205019824	0.11743145450784055	0.035224533935235364	0.2606198647161592	0.5214950632540712	0.818809773662061	0.0071707599294023	0.0023758424567863297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	0	0	0	0.011698300769793037	0.03994444236344893	0.007846816641204622	0.003142188963028509	0.001000633374513592	0	0	0	0.004040148642446592	0.25479198690471305	0.2684331109411543	0.002597811699502614	0.001635136571854459	0.0859765099184475	0.11278203902049876	0.056689701353693576	0.025565629259876488	0.01534871741437049	0.07592686282144177	0.06941180831988875	0.0016595592389303869	0.02892683667047162	1.257222360159044	0.002956416186401265	0.01337664379815156	0.00027245551915690497	0	0.0005674743444331774	0.032698000743904145	0.2275016101890682	0.015307974205019824	0.11743145450784055	0.035224533935235364	0.2606198647161592	0.5214950632540712	0.818809773662061	0.0071707599294023	0.0023758424567863297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Candidatus_Aquiluna	2|201174|1760|85006|85023|529881	0	0	0	0.011698300769793037	0.03994444236344893	0.007846816641204622	0.003142188963028509	0.001000633374513592	0	0	0	0.004040148642446592	0.25479198690471305	0.2684331109411543	0.002597811699502614	0.001635136571854459	0.0859765099184475	0.11278203902049876	0.056689701353693576	0.025565629259876488	0.01534871741437049	0.07592686282144177	0.06941180831988875	0.0016595592389303869	0.02892683667047162	1.257222360159044	0.002956416186401265	0.01337664379815156	0.00027245551915690497	0	0.0005674743444331774	0.032698000743904145	0.2275016101890682	0.015307974205019824	0.11743145450784055	0.035224533935235364	0.2606198647161592	0.5214950632540712	0.818809773662061	0.0071707599294023	0.0023758424567863297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Candidatus_Aquiluna|s__Candidatus_Aquiluna_sp_IMCC13023	2|201174|1760|85006|85023|529881|1081644	0	0	0	0.011698300769793037	0.03994444236344893	0.007846816641204622	0.003142188963028509	0.001000633374513592	0	0	0	0.004040148642446592	0.25479198690471305	0.2684331109411543	0.002597811699502614	0.001635136571854459	0.0859765099184475	0.11278203902049876	0.056689701353693576	0.025565629259876488	0.01534871741437049	0.07592686282144177	0.06941180831988875	0.0016595592389303869	0.02892683667047162	1.257222360159044	0.002956416186401265	0.01337664379815156	0.00027245551915690497	0	0.0005674743444331774	0.032698000743904145	0.2275016101890682	0.015307974205019824	0.11743145450784055	0.035224533935235364	0.2606198647161592	0.5214950632540712	0.818809773662061	0.0071707599294023	0.0023758424567863297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	0.00030991524854098306	0	0.00017400751857820246	0	0	0	0	0.00011215348290894328	0.00038486543095189035	0.0016436428261598992	0.0003878474503441317	6.919092984085749e-05	0.00016601744600673482	5.057575356443994e-05	0	0	0	0.00023552975582028925	0	0.00042676860586139887	0	0	0	0	0	0	0.0005568128989418169	0	0	0	0.0015356550626905985	0.0008630198821295822	0	0.0017561091800712652	0	0	0	0.000867539211842756	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	0.00030991524854098306	0	0.00017400751857820246	0	0	0	0	0.00011215348290894328	0.00038486543095189035	0.0016436428261598992	0.0003878474503441317	6.919092984085749e-05	0.00016601744600673482	5.057575356443994e-05	0	0	0	0.00023552975582028925	0	0.00042676860586139887	0	0	0	0	0	0	0.0005568128989418169	0	0	0	0.0015356550626905985	0.0008630198821295822	0	0.0017561091800712652	0	0	0	0.000867539211842756	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	2|201174|1760|85009|31957|1912216	0.00030991524854098306	0	0.00017400751857820246	0	0	0	0	0.00011215348290894328	0.00038486543095189035	0.0016436428261598992	0.0003878474503441317	6.919092984085749e-05	0.00016601744600673482	5.057575356443994e-05	0	0	0	0.00023552975582028925	0	0.00042676860586139887	0	0	0	0	0	0	0.0005568128989418169	0	0	0	0.0015356550626905985	0.0008630198821295822	0	0.0017561091800712652	0	0	0	0.000867539211842756	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	2|201174|1760|85009|31957|1912216|1747	0.00030991524854098306	0	0.00017400751857820246	0	0	0	0	0.00011215348290894328	0.00038486543095189035	0.0016436428261598992	0.0003878474503441317	6.919092984085749e-05	0.00016601744600673482	5.057575356443994e-05	0	0	0	0.00023552975582028925	0	0.00042676860586139887	0	0	0	0	0	0	0.0005568128989418169	0	0	0	0.0015356550626905985	0.0008630198821295822	0	0.0017561091800712652	0	0	0	0.000867539211842756	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales	2|201174|1760|85010	0.00011405859665099819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001458125816440039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae	2|201174|1760|85010|2070	0.00011405859665099819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001458125816440039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia	2|201174|1760|85010|2070|1847	0.00011405859665099819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001458125816440039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia_alni	2|201174|1760|85010|2070|1847|33907	0.00011405859665099819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001458125816440039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified	2|	0	0	0.0052547304573368646	0	0	0	0	0	0	0.014772882012612013	0.00194997351332188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0	0	0.0052547304573368646	0	0	0	0	0	0	0.014772882012612013	0.00194997351332188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0	0	0.0052547304573368646	0	0	0	0	0	0	0.014772882012612013	0.00194997351332188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2||||	0	0	0.0052547304573368646	0	0	0	0	0	0	0.014772882012612013	0.00194997351332188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified	2|||||	0	0	0.0052547304573368646	0	0	0	0	0	0	0.014772882012612013	0.00194997351332188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_TMED6	2||||||1986783	0	0	0.0052547304573368646	0	0	0	0	0	0	0.014772882012612013	0.00194997351332188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	2|976	0.028520764905197324	0	0.01556507140472849	0.004369569436818309	0.016694067965086108	0.005032535639768618	0.002826054097845762	0.04849112848444236	0.02249965196395749	0.020612513235350446	0.00372827867708256	2.5570561028142984e-05	0.00467799480086215	0.01695477762139666	0.00959701794892943	0.018062468269746442	0.018688860719568164	0.007326935561178327	0.028251561496538964	0.010419833565479751	0.017632354578079726	0.02244906524168169	0.11529371841778055	0.01584535461901796	0.0017208982828286448	1.0306941451434155	0.02925545405517638	0.01328234380237647	0.0006728658570271742	0	0.024948135455010543	0.01807043763624729	0.006982592586021589	0.007796687744789223	0.005680867972641233	0.024475247924234854	0.02625337776072452	0.026356487868860082	0.006981604210629757	0.008511009106683445	0.011249429968807356
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002036069270794257	0	0	0	0	0	0	0	0	0	0
