X.mOTUs2_clade	reERR1346801	reERR1346802	reERR1346803	reERR1346804	reERR1346805	reERR1346806	reERR1346807	reERR1346808	reERR1346809	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346815	reERR1346816	reERR1346817	reERR1346818	reERR1346819	reERR1346820	reERR1346821	reERR1346822	reERR1346823	reERR1346824	reERR1346825	reERR1346826	reERR1346827	reERR1346828	reERR1346829	reERR1346830	reERR1346831	reERR1346832	reERR1346833	reERR1346834	reERR1346835	reERR1346836	reERR1346837	reERR1346838	reERR1346839	reERR1346840	reERR1346841	reERR1346842	reERR1346843	reERR1346844	reERR1346845	reERR1346846	reERR1346847	reERR1346848	reERR1346849	reERR1346850	reERR1346851	reERR1346852	reERR1346853	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346858	reERR1346859	reERR1346860	reERR1346861	reERR1346862	reERR1346863	reERR1346864	reERR1346865	reERR1346866	reERR1346867	reERR1346868	reERR1346869	reERR1346870	reERR1346871	reERR1346872	reERR1346873	reERR1346874	reERR1346875	reERR1346876	reERR1346877	reERR1346878	reERR1346879	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346887	reERR1346888	reERR1346889	reERR1346890	reERR1346891	reERR1346892
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033511823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033511823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis|f__Thaumarchaeota fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033511823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis|f__Thaumarchaeota fam. incertae sedis|g__Thaumarchaeota gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033511823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis|f__Thaumarchaeota fam. incertae sedis|g__Thaumarchaeota gen. incertae sedis|s__Thaumarchaeota species incertae sedis [ext_mOTU_v3_29261]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033511823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	0.2902894315	0.3187511146	0.4735772284	0.8239336054	0.3470906727	0.2678682086	0.4494942121	0.4831170325	0.60936253	0.6379869897	0.7785523363	0.7341828892	0.8702869386	0.7814534297	0.700997718	0.4912204116	0.5959417954	0.4428846362	0.6393860853	0.3221138763	0.3259274415	0.4840687574	0.5735064534	0.321361604	0.3297918283	0.1806955129	0.7107906663	0.512235771	0.9131146123	0.5873297612	0.8446374586	0.5760985754	0.6914051511	0.5192697318	0.4635935122	0.3595147379	0.459124433	0.4166563951	0.5447022289	0.6386575571	0.4748526129	0.3910016903	0.3893164042	0.174547531	0.475396046	0.4910903361	0.5065806937	0.5835279377	0.4077571488	0.3987320688	0.4487342173	0.3457471665	0.3103969413	0.6447747024	0.2864773625	0.4436531465	0.4092506904	0.4100043357	0.3739952004	0.4137474985	0.5811547057	0.3011141073	0.4296621865	0.4335345017	0.4250094298	0.4641935703	0.5448598952	0.4114457288	0.2639818819	0.3777331519	0.3794724944	0.4373332077	0.4714021229	0.4208713576	0	0.4478564764	0.1987875542	0	0.4148644809	0	0	0.540709721	0.4490658744	0.3575340264	0.5872657044	0.5969045858	0.5926888644	0.4512305681	0.7629156051	0.5908981804
k__Bacteria|p__Acidobacteria	0.0452180301	0.0186929447	0.03418324	0.023982717	0.0434465072	0.014788865	0.0261918972	0.010863358	0.0042787526	0.0076387317	0	0.0099636865	0	0	0	0.008111295	0.0272985525	0.023875796	0.0905119956	0.0754786901	0.0157481147	0.0271419186	0.0991212174	0.0053134969	0.0596053321	0.0033883629	0.0028158196	0.0015667926	0.0007733345	0.0109702241	0.0073370879	0.006455472	0.00593106	0.0035204365	0	0.0029789973	0	0	0.0394208943	0.0595401728	0.1219254872	0	0.0920169397	0	0.0687685766	0.0944595971	0.0295526791	0.0652682986	0.1071670227	0.0920593883	0.1359009643	0	0	0.0547504857	0	0.1134979434	0.0417667935	0.0338124861	0	0.0308240655	0.0176176134	0	0.0191259085	0	0.013067165	0.0275656264	0.009921063	0.0075728889	0	0.030518358	0	0	0.0458963232	0.0393418275	0	0.0197032655	0	0	0.0032552058	0	0	0.0082899466	0.0596869047	0.07033872	0.0516008352	0.054275677	0.0205199392	0.0367212932	0.0241615195	0.0126178369
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis	0.0096844469	0.0100527179	0.0191122005	0.0078450683	0.0246486582	0.0083939332	0.0092998957	0.0066625324	0.0009088298	0.0059179615	0	0.0099636865	0	0	0	0.005364828	0.018634639	0.0147001005	0.0369651934	0.0342090778	0.0087266827	0.0196683661	0.0478186923	0.0027414767	0.0253707466	0.0012233635	0	0.0015667926	0.0004607366	0.0099237563	0.0073370879	0.0058250128	0.0016267804	0.0011343924	0	0.0005494297	0	0	0.0235192385	0.0398573392	0.0746058977	0	0.041884291	0	0.0556189558	0.0281051033	0.0295526791	0.0386001497	0.0650821877	0.0629917273	0.0802294568	0	0	0.0302601498	0	0.0953964924	0.0328254094	0.0255875995	0	0.0230089947	0.0143041662	0	0.006520384	0	0.0072126627	0.0195472781	0.0074805583	0.0053543484	0	0	0	0	0.0364171008	0.026118374	0	0.0032906264	0	0	0.0032552058	0	0	0	0.0596869047	0	0.0340144869	0.0437688729	0.0098591731	0.0164589265	0	0.0062913531
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis	0.0096844469	0.0100527179	0.0191122005	0.0078450683	0.0246486582	0.0083939332	0.0092998957	0.0066625324	0.0009088298	0.0059179615	0	0.0099636865	0	0	0	0.005364828	0.018634639	0.0147001005	0.0369651934	0.0342090778	0.0087266827	0.0196683661	0.0478186923	0.0027414767	0.0253707466	0.0012233635	0	0.0015667926	0.0004607366	0.0099237563	0.0073370879	0.0058250128	0.0016267804	0.0011343924	0	0.0005494297	0	0	0.0235192385	0.0398573392	0.0746058977	0	0.041884291	0	0.0556189558	0.0281051033	0.0295526791	0.0386001497	0.0650821877	0.0629917273	0.0802294568	0	0	0.0302601498	0	0.0953964924	0.0328254094	0.0255875995	0	0.0230089947	0.0143041662	0	0.006520384	0	0.0072126627	0.0195472781	0.0074805583	0.0053543484	0	0	0	0	0.0364171008	0.026118374	0	0.0032906264	0	0	0.0032552058	0	0	0	0.0596869047	0	0.0340144869	0.0437688729	0.0098591731	0.0164589265	0	0.0062913531
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis	0.0096844469	0.0100527179	0.0191122005	0.0078450683	0.0246486582	0.0083939332	0.0092998957	0.0066625324	0.0009088298	0.0059179615	0	0.0099636865	0	0	0	0.005364828	0.018634639	0.0147001005	0.0369651934	0.0342090778	0.0087266827	0.0196683661	0.0478186923	0.0027414767	0.0253707466	0.0012233635	0	0.0015667926	0.0004607366	0.0099237563	0.0073370879	0.0058250128	0.0016267804	0.0011343924	0	0.0005494297	0	0	0.0235192385	0.0398573392	0.0746058977	0	0.041884291	0	0.0556189558	0.0281051033	0.0295526791	0.0386001497	0.0650821877	0.0629917273	0.0802294568	0	0	0.0302601498	0	0.0953964924	0.0328254094	0.0255875995	0	0.0230089947	0.0143041662	0	0.006520384	0	0.0072126627	0.0195472781	0.0074805583	0.0053543484	0	0	0	0	0.0364171008	0.026118374	0	0.0032906264	0	0	0.0032552058	0	0	0	0.0596869047	0	0.0340144869	0.0437688729	0.0098591731	0.0164589265	0	0.0062913531
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis	0.0096844469	0.0100527179	0.0191122005	0.0078450683	0.0246486582	0.0083939332	0.0092998957	0.0066625324	0.0009088298	0.0059179615	0	0.0099636865	0	0	0	0.005364828	0.018634639	0.0147001005	0.0369651934	0.0342090778	0.0087266827	0.0196683661	0.0478186923	0.0027414767	0.0253707466	0.0012233635	0	0.0015667926	0.0004607366	0.0099237563	0.0073370879	0.0058250128	0.0016267804	0.0011343924	0	0.0005494297	0	0	0.0235192385	0.0398573392	0.0746058977	0	0.041884291	0	0.0556189558	0.0281051033	0.0295526791	0.0386001497	0.0650821877	0.0629917273	0.0802294568	0	0	0.0302601498	0	0.0953964924	0.0328254094	0.0255875995	0	0.0230089947	0.0143041662	0	0.006520384	0	0.0072126627	0.0195472781	0.0074805583	0.0053543484	0	0	0	0	0.0364171008	0.026118374	0	0.0032906264	0	0	0.0032552058	0	0	0	0.0596869047	0	0.0340144869	0.0437688729	0.0098591731	0.0164589265	0	0.0062913531
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_15325]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002120106	0.0008249323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_15496]	0	0	0.0003186901	0	0	0.0003284115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_15497]	0	0	0.0002625333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032703044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004138149	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_15587]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002576715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_15588]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002746076	0.0011097524	0	0	0	0	0	0	0	0	0	0	0	0.0015200154	0	0.0005692764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019628216	0.0040231403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_15647]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002885289	0	0	0	0	0	0	0	0	0	0	0	0	0.0004667849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0070807516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068969673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_15697]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003020721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066787309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_15778]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001366622	0	0	0	0	0	0	0	0	0	0	0	0	0.000511396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_15919]	0	0	0	0	0	0	0	0	0	0.0012647086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005089689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062890247	0	0	0	0	0	0	0	0.0027460454	0	0	0	0	0	0	0	0.0022141116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016888937	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_19631]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003588431	0	0	0	0	0	0	0	0	0	0	0	0	0.0006729721	0	0.0007526617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057321111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019324223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_19632]	0	0	0.0010950611	0	0	0	0	0	0	0	0	0.0013837664	0	0	0	0	0.0003493724	0	0	0	0	0	0	0	0	0	0	0	0	0.0024376544	0	0	8.92897e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041997977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_19636]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005211347	0	0	0	0	0	0	0.0017461457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0092123974	0.0014594568	0	0.0044199521	0	0	0	0	0.0008755062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001991508	0.0006096069	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_22466]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005498745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_22477]	0.0046786479	0	0	0.0031614408	0.0082181797	0.0004203667	0.0039058727	0	0	0	0	0	0	0	0	0.0007265342	0.0007761788	0.0004620028	0.0075667859	0.0060576701	0	0.0002146871	0.0089274826	0	0.0025233813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0081874204	0	0.0052507276	0	0	0	0.0101912427	0.0037840958	0.0094827177	0	0	0	0	0.0032738812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
