#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reSRR3584987_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584976_taxonomic_profile
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.17285470170454806	0.2413817153395453	0.0997670244902964	0.11882309838289998	0.315225440905752	0.24648101440974676	0.15689422818116874	0.2525405810654505	0.2489349790540181	0.2108753518040928	0.10906853150620813	0.10699241128898557
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae	10239|||28883|10744	0	0.04872951310028754	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae|g__Podoviridae_unclassified	10239|||28883|10744|	0	0.04872951310028754	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae|g__Podoviridae_unclassified|s__Pelagibacter_phage_HTVC010P	10239|||28883|10744||1283077	0	0.04872951310028754	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0	0.013360284838671565	0.03155459385345952	0.04272265490661427	0.04817807918916833	0.04828483486137323	0.07008402415161538	0.0894655060753505	0.06550156402054243	0	0.06595390460460131	0.05445422639441548
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified	10239|||28883|10699|	0	0.013360284838671565	0.03155459385345952	0.04272265490661427	0.04817807918916833	0.04828483486137323	0.07008402415161538	0.0894655060753505	0.06550156402054243	0	0.06595390460460131	0.05445422639441548
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Synechococcus_phage_S_CBS3	10239|||28883|10699||753085	0	0.013360284838671565	0.03155459385345952	0.031885144690095284	0.04817807918916833	0.04828483486137323	0.016535663216657646	0.030823865876001662	0.06550156402054243	0	0.021889050842806117	0.03010597405662217
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Synechococcus_phage_S_CBS4	10239|||28883|10699||756275	0	0	0	0	0	0	0.053548376624380535	0.05864164019934885	0	0	0.0440648537617952	0.024348252337793308
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Synechococcus_phage_S_SKS1	10239|||28883|10699||754042	0	0	0	0.010837510216518995	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.17285470170454806	0.17929191740058625	0.06821243063683688	0.0761004434762857	0.2670473617165837	0.1981961795483735	0.0868102040295534	0.16307507499009993	0.18343341503347568	0.2108753518040928	0.04311462690160682	0.052538184894570066
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae	10239||||10501	0.17285470170454806	0.17929191740058625	0.06821243063683688	0.0761004434762857	0.2541349080709377	0.1981961795483735	0.0868102040295534	0.16307507499009993	0.18343341503347568	0.2108753518040928	0.04311462690160682	0.052538184894570066
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae|g__Phycodnaviridae_unclassified	10239||||10501|	0.10346275212577287	0.041879631058724984	0.06821243063683688	0.05917827568470468	0.11481115790634028	0.12017171179460405	0.04089779104363626	0.06669793727591777	0.07344607494207235	0.08028315651167303	0.0406248977192083	0.0339383566350646
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae|g__Phycodnaviridae_unclassified|s__Ostreococcus_virus_OsV5	10239||||10501||489089	0.10346275212577287	0.041879631058724984	0.06821243063683688	0.05917827568470468	0.11481115790634028	0.12017171179460405	0.04089779104363626	0.06669793727591777	0.07344607494207235	0.08028315651167303	0.0406248977192083	0.0339383566350646
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae|g__Prasinovirus	10239||||10501|181084	0.06939194957877519	0.13741228634186126	0	0.016922179673890862	0.13932375016459744	0.0780244956160685	0.045912412985917146	0.09637713771418216	0.10998734009140328	0.13059219529241978	0.0024897291823985142	0.0185998389587466
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae|g__Prasinovirus|s__Bathycoccus_sp_RCC1105_virus_BpV	10239||||10501|181084|933845	0.06939194957877519	0.10059838851393813	0	0	0.07059571468970997	0.0780244956160685	0.027110569537410697	0.09637713771418216	0.07687102195788915	0.13059219529241978	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae|g__Prasinovirus|s__Ostreococcus_lucimarinus_virus_OlV5	10239||||10501|181084|754064	0	0	0	0	0.010012221976592586	0	0	0	0	0	0.0024897291823985142	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae|g__Prasinovirus|s__Ostreococcus_tauri_virus_1	10239||||10501|181084|642926	0	0.036813897827923145	0	0.016922179673890862	0.0587158134982949	0	0.01880184344850645	0	0.033116318133514136	0	0	0.0185998389587466
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	0	0	0	0	0.012912485168190048	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified|g__Viruses_unclassified	10239|||||	0	0	0	0	0.012912485168190048	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified|g__Viruses_unclassified|s__Cyanophage_KBS_S_2A	10239||||||889953	0	0	0	0	0.012912485168190048	0	0	0	0	0	0	0
