Taxonomy	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005163	reERR5005164	reERR5005165	reERR5005166	reERR5005167	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005286	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005324	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005331	reERR5005334	reERR5005335
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	1.64439046396141e-05	0	2.04555762981385e-05	2.71426496366123e-05	0	0.000183732157760932	0	0	1.84165034766089e-05	0.000119151243600094	4.2253503694321e-05	0	0	0	0	0	0	0	0	0	1.57367613182679	0	0.00419468254319976	0	0.000223781143855575	0	0	0	0	0	0	0	0	0	0.180595768311886	2.66272961412226e-05	0	0.278580698909834	0	0	0	0	0	0	0	0	0	0	0	0.710340584425612	0.331976053396264
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A	0	0	0	0	0	0	0	0	0	0	0	1.64439046396141e-05	0	2.04555762981385e-05	0	0	0.000183732157760932	0	0	1.84165034766089e-05	0.000119151243600094	4.2253503694321e-05	0	0	0	0	0	0	0	0	0	5.10262615175979e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180595768311886	2.66272961412226e-05	0	0.278580698909834	0	0	0	0	0	0	0	0	0	0	0	0.710340584425612	0.331976053396264
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A smithii	0	0	0	0	0	0	0	0	0	0	0	1.64439046396141e-05	0	0	0	0	0	0	0	0	0.000119151243600094	4.2253503694321e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710324374243884	0.331976053396264
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04555762981385e-05	0	0	0.000183732157760932	0	0	1.84165034766089e-05	0	0	0	0	0	0	0	0	0	0	0	5.10262615175979e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180595768311886	2.66272961412226e-05	0	0.278580698909834	0	0	0	0	0	0	0	0	0	0	0	1.62101817284738e-05	0
k__Archaea|p__Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06101216541335e-05	0	0	0	0	0	0	0	0	0	0	1.02491111276438	0	0.000508408977943885	0	0.00328181107142887	3.24605246240023e-05	0.000304474704042892	0	1.23245666888869e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33773278609605e-05	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06101216541335e-05	0	0	0	0	0	0	0	0	0	0	1.02491111276438	0	0.000508408977943885	0	0.00328181107142887	3.24605246240023e-05	0.000304474704042892	0	1.23245666888869e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33773278609605e-05	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06101216541335e-05	0	0	0	0	0	0	0	0	0	0	1.02491111276438	0	0.000508408977943885	0	0.00328181107142887	3.24605246240023e-05	0.000304474704042892	0	1.23245666888869e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33773278609605e-05	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06101216541335e-05	0	0	0	0	0	0	0	0	0	0	1.02491111276438	0	0.000508408977943885	0	0.00328181107142887	3.24605246240023e-05	0.000304474704042892	0	1.23245666888869e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33773278609605e-05	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06101216541335e-05	0	0	0	0	0	0	0	0	0	0	1.02491111276438	0	0.000508408977943885	0	0.00328181107142887	3.24605246240023e-05	0.000304474704042892	0	1.23245666888869e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33773278609605e-05	0	0	0	0	0	0	0
k__Archaea|p__Thermoproteota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58003065357916e-05	0	0	0	0	0	0	6.88272075008088e-05	0	0	0	0	0	1.59296817630647	0.000722390212017489	0.00391789673843365	3.68348283310925e-05	0	0.000249167445967883	2.30058469044675e-05	0	0	0	0	0	0	0	2.80395818868267e-06	0	0	0	0	6.18840368365416e-06	0	0	0	4.90586409575312e-05	0	0
k__Archaea|p__Thermoproteota|c__QMWL01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58003065357916e-05	0	0	0	0	0	0	6.88272075008088e-05	0	0	0	0	0	1.59296817630647	0.000722390212017489	0.00391789673843365	3.68348283310925e-05	0	0.000249167445967883	2.30058469044675e-05	0	0	0	0	0	0	0	2.80395818868267e-06	0	0	0	0	6.18840368365416e-06	0	0	0	4.90586409575312e-05	0	0
k__Archaea|p__Thermoproteota|c__QMWL01|o__QMWL01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58003065357916e-05	0	0	0	0	0	0	6.88272075008088e-05	0	0	0	0	0	1.59296817630647	0.000722390212017489	0.00391789673843365	3.68348283310925e-05	0	0.000249167445967883	2.30058469044675e-05	0	0	0	0	0	0	0	2.80395818868267e-06	0	0	0	0	6.18840368365416e-06	0	0	0	4.90586409575312e-05	0	0
k__Bacteria	31.4939129611684	27.3416412061381	41.4065369095479	29.7246579100085	13.7529507971714	17.3461515034999	28.2222548069831	34.8948223808969	29.6689314198837	12.2213293004769	21.8527657743313	18.348863672668	65.0026246318948	32.1941331503787	54.6343351426633	8.22438878763121	41.054052889355	38.0700200695732	44.6143517023478	40.5053770230096	31.4472025247074	49.9090795370016	32.8038624308171	40.2094469982427	27.1270805955284	65.7410786850374	45.0479375541609	33.3366226096171	55.8363347583724	45.8645786551619	45.9075192686024	36.8142445569968	31.962342851811	11.6911659594157	55.2613546801626	57.1218486130238	58.802408478954	18.4514032755813	47.4130596516536	40.7761106104694	45.1112539188041	69.1519063058019	48.0351183337223	35.320852943857	47.4524372499299	43.040879820958	39.7425943250883	10.3771192602712	39.1023836795536	6.26782902622299	8.69457446214238	3.57811679418647	35.7377081248652	18.6183766410049	65.0152951087915	35.1491814259258	49.7660684165082	19.9898923430378	13.0605740915217	20.2699682221479	50.1910005367592	58.0165032192288
k__Bacteria|p__Acidobacteriota	0	0	0.000372663221773485	0	0	8.08570350841414	0	6.11526763688915e-05	9.60024098481924e-06	0	0	9.27155925059562e-06	0	1.63633574932663	1.70143203252775e-05	0	0.000817666409820648	0	6.08575649719109e-05	0	0	0	2.28381175637631e-06	0	0	0	0	0	0	0	0	0	1.16067016847589e-05	0	1.26491637325516e-05	0	0	0	9.73058935703109e-06	0	5.08237166310061e-06	0	0	0	0	0	0	0	0.000412642330494653	0	0	7.66348981077215e-05	4.09254100053162e-06	0	0	0	1.42873027574628e-05	0.000353104874209383	2.84808463402492e-06	4.5808483225339e-05	0	0
k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia	0	0	0.000372663221773485	0	0	8.08570350841414	0	6.11526763688915e-05	0	0	0	9.27155925059562e-06	0	0	1.22690955455408e-05	0	0	0	6.08575649719109e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16067016847589e-05	0	1.26491637325516e-05	0	0	0	5.48658209349815e-06	0	0	0	0	0	0	0	0	0	0.000412642330494653	0	0	7.66348981077215e-05	4.09254100053162e-06	0	0	0	1.42873027574628e-05	0.000353104874209383	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704	0	0	0.000372663221773485	0	0	8.08570350841414	0	6.11526763688915e-05	0	0	0	9.27155925059562e-06	0	0	1.22690955455408e-05	0	0	0	6.08575649719109e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16067016847589e-05	0	1.26491637325516e-05	0	0	0	5.48658209349815e-06	0	0	0	0	0	0	0	0	0	0.000412642330494653	0	0	7.66348981077215e-05	4.09254100053162e-06	0	0	0	1.42873027574628e-05	0.000353104874209383	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__QQVD01	0	0	0.000372663221773485	0	0	8.08570350841414	0	6.11526763688915e-05	0	0	0	9.27155925059562e-06	0	0	1.22690955455408e-05	0	0	0	6.08575649719109e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16067016847589e-05	0	1.26491637325516e-05	0	0	0	5.48658209349815e-06	0	0	0	0	0	0	0	0	0	0.000412642330494653	0	0	7.66348981077215e-05	4.09254100053162e-06	0	0	0	1.42873027574628e-05	0.000353104874209383	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__QQVD01|g__WTGL01	0	0	0.000372663221773485	0	0	8.08570350841414	0	6.11526763688915e-05	0	0	0	9.27155925059562e-06	0	0	1.22690955455408e-05	0	0	0	6.08575649719109e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16067016847589e-05	0	1.26491637325516e-05	0	0	0	5.48658209349815e-06	0	0	0	0	0	0	0	0	0	0.000412642330494653	0	0	7.66348981077215e-05	4.09254100053162e-06	0	0	0	1.42873027574628e-05	0.000353104874209383	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__QQVD01|g__WTGL01|s__WTGL01 sp009837085	0	0	0.000372663221773485	0	0	8.08570350841414	0	6.11526763688915e-05	0	0	0	9.27155925059562e-06	0	0	1.22690955455408e-05	0	0	0	6.08575649719109e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16067016847589e-05	0	1.26491637325516e-05	0	0	0	5.48658209349815e-06	0	0	0	0	0	0	0	0	0	0.000412642330494653	0	0	7.66348981077215e-05	4.09254100053162e-06	0	0	0	1.42873027574628e-05	0.000353104874209383	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	0	0	0	0	0	0	0	0	9.60024098481924e-06	0	0	0	0	1.63633574932663	4.74522477973674e-06	0	0.000817666409820648	0	0	0	0	0	2.28381175637631e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24400726353293e-06	0	5.08237166310061e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84808463402492e-06	4.5808483225339e-05	0	0
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	0	0	0	0	0	0	0	0	9.60024098481924e-06	0	0	0	0	1.63633574932663	4.74522477973674e-06	0	0.000817666409820648	0	0	0	0	0	2.28381175637631e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24400726353293e-06	0	5.08237166310061e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84808463402492e-06	4.5808483225339e-05	0	0
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37	0	0	0	0	0	0	0	0	9.60024098481924e-06	0	0	0	0	1.63633574932663	4.74522477973674e-06	0	0.000817666409820648	0	0	0	0	0	2.28381175637631e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24400726353293e-06	0	5.08237166310061e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84808463402492e-06	4.5808483225339e-05	0	0
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37|g__SCN-69-37	0	0	0	0	0	0	0	0	9.60024098481924e-06	0	0	0	0	1.63633574932663	4.74522477973674e-06	0	0.000817666409820648	0	0	0	0	0	2.28381175637631e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24400726353293e-06	0	5.08237166310061e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84808463402492e-06	4.5808483225339e-05	0	0
k__Bacteria|p__Actinobacteriota	2.8816606090081e-05	0.000112448355981342	0.000250314540762306	0.000402706799302915	2.01221860541224e-05	8.88100366690073	0	9.2664606973708e-05	0.0019667564732019	0	0.00529241916293003	8.78074195812036e-06	3.09683069752835	5.19616403124907	20.2856925658213	1.36199535171202	0.466305204956196	6.89113780832893	0.0130796849668897	9.33547640713105e-05	0.000188726611061489	0.0389909027740891	0.000380975062622716	0.00203736041231273	2.91138423320612e-05	5.64023994478689	3.81182662015605	29.7770607119689	3.15101409058228	3.13482762427879	0.000258863546178536	0	0.00244884538196254	0.000100965152537665	0.00417458160534976	0.00189876065764564	2.14431329940575	0.101265949239397	0.00105411935810979	0.000114426072250459	0.000599459368301371	7.89562453052374e-05	0.000119593816436526	9.88428775662477e-06	0.000280784057471923	0.00227084930987385	0.000110402671989843	0.000224413584804828	0.00374123138147808	0.000826116859485456	0.000431928407460621	0.00431197299512781	0.813514721109264	0.00115905606681548	0.000618963773925872	0.00023952279450039	4.63778960303945e-06	2.82095965629664	0.00139553382934523	0.00373833640449	0.000866510696931341	0.00202901611759005
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia	0	0	0.000222079725027599	0	0	8.88100366690073	0	0	0	0	0	0	0	1.27451750304608	0	7.51265502831301e-05	2.17876917159115e-05	0	0.000141036812173276	0	0	0	0	0	6.82602468264065e-06	0	0	1.34172715277595e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.34238144146082e-06	0	0	0	0	0	0	0.000179305231673679	0	0	0.000399601411993436	1.06699767523322e-05	4.19562217939969e-05	0	0	0	0.000326666905152401	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales	0	0	0.000222079725027599	0	0	8.88100366690073	0	0	0	0	0	0	0	1.27451750304608	0	7.51265502831301e-05	2.17876917159115e-05	0	0.000141036812173276	0	0	0	0	0	6.82602468264065e-06	0	0	1.34172715277595e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.34238144146082e-06	0	0	0	0	0	0	0.000179305231673679	0	0	0.000399601411993436	1.06699767523322e-05	4.19562217939969e-05	0	0	0	0.000326666905152401	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27451750304608	0	0	2.17876917159115e-05	0	0	0	0	0	0	0	0	0	0	1.34172715277595e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__TK06	0	0	0.000222079725027599	0	0	8.88100366690073	0	0	0	0	0	0	0	0	0	7.51265502831301e-05	0	0	0.000141036812173276	0	0	0	0	0	6.82602468264065e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.34238144146082e-06	0	0	0	0	0	0	0.000179305231673679	0	0	0.000399601411993436	1.06699767523322e-05	4.19562217939969e-05	0	0	0	0.000326666905152401	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__TK06|g__WTFX01	0	0	0.000222079725027599	0	0	8.88100366690073	0	0	0	0	0	0	0	0	0	7.51265502831301e-05	0	0	0.000141036812173276	0	0	0	0	0	6.82602468264065e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.34238144146082e-06	0	0	0	0	0	0	0.000179305231673679	0	0	0.000399601411993436	1.06699767523322e-05	4.19562217939969e-05	0	0	0	0.000326666905152401	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__TK06|g__WTFX01|s__WTFX01 sp009843525	0	0	0.000222079725027599	0	0	8.88100366690073	0	0	0	0	0	0	0	0	0	7.51265502831301e-05	0	0	0.000141036812173276	0	0	0	0	0	6.82602468264065e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.34238144146082e-06	0	0	0	0	0	0	0.000179305231673679	0	0	0.000399601411993436	1.06699767523322e-05	4.19562217939969e-05	0	0	0	0.000326666905152401	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	2.8816606090081e-05	0.000112448355981342	2.82348157347064e-05	0.000402706799302915	2.01221860541224e-05	0	0	9.2664606973708e-05	0.0019667564732019	0	0.00529241916293003	8.78074195812036e-06	3.09672055262642	3.92164652820299	20.2855385849865	1.36166558057628	0.466165503358049	6.8905217451697	0.000346001095269866	5.64085024924322e-05	1.93715744401478e-05	0.000349172348666015	0.000365331870508076	0.00203736041231273	0	0.00103886650462	2.47116664590532e-05	29.5088341061101	0.00843431447605679	0.000163733405809525	2.61379158494223e-05	0	2.19845335016764e-06	0.000100965152537665	0.000563835290215261	5.47424442908408e-06	4.40999700554376e-06	5.59905110302719e-06	3.53337092490998e-05	0.000100934929545227	0.000599459368301371	9.17395987501602e-06	6.06108852288273e-05	9.88428775662477e-06	0.000257897049874953	0.000213842277302998	0.000110402671989843	0.000224413584804828	0.000672949864350635	0.000401343417707765	0.00041036184566799	0.00391237158313438	4.04924696255828e-05	0.000141042662408751	0.000189982889010952	0.00023952279450039	4.63778960303945e-06	0.00271000750335276	0.00139553382934523	0.00364115516468968	0.00012183835275219	1.56974680753384e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	0	0	0	0	0	0	0	0	7.59999863795625e-05	0	0.000255351968928509	0	0.206440735440472	1.96441979315722	3.8502995977137	0.853892576413644	0.041045570798028	4.99070071569942	0.000202994698672605	0	0	0	1.79233307454473e-05	0.00109140810937032	0	0.000972707197624348	0	0.049986644578945	0.00222368679026509	7.51105324428109e-06	1.24475822472284e-05	0	0	0	0.00054274269418707	0	0	0	0	3.09292099230085e-05	0.000192954988036863	0	0	0	0	4.10860586595998e-05	3.25990491987107e-05	5.81270357176152e-05	0.000518822468506742	0.000314678695917441	0.000379927321968889	0.00334922942521963	3.73917573930519e-05	0.000141042662408751	0	0.00022530580056264	4.63778960303945e-06	0.00258784917578045	0.000768105911373671	0.00336522358158509	2.47888654641096e-05	1.56974680753384e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Brevibacteriaceae	0	0	0	0	0	0	0	0	6.79004026256529e-05	0	0.000182308256675651	0	0.135474443319038	0.00116170147291324	1.45470298045967	0.543494721131993	0.033984783398361	2.34065547362789	0	0	0	0	8.97337143467706e-06	0.000763777601617807	0	0.000869254999153858	0	0.0430449488323529	0.00208381013798266	7.51105324428109e-06	1.24475822472284e-05	0	0	0	1.23181039224487e-05	0	0	0	0	3.09292099230085e-05	4.6336942631579e-05	0	0	0	0	0	3.25990491987107e-05	0	1.9135355383421e-05	2.14673373406354e-05	0.000355986477005432	0	0	0.000141042662408751	0	0	4.63778960303945e-06	0.000106719125652371	0.000707337168049325	0.00186859308967643	2.47888654641096e-05	1.56974680753384e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	0	0	0	0	0	0	0	0	6.79004026256529e-05	0	0.000182308256675651	0	0.135474443319038	0.00116170147291324	1.45470298045967	0.543494721131993	0.033984783398361	2.34065547362789	0	0	0	0	8.97337143467706e-06	0.000763777601617807	0	0.000869254999153858	0	0.0430449488323529	0.00208381013798266	7.51105324428109e-06	1.24475822472284e-05	0	0	0	1.23181039224487e-05	0	0	0	0	3.09292099230085e-05	4.6336942631579e-05	0	0	0	0	0	3.25990491987107e-05	0	1.9135355383421e-05	2.14673373406354e-05	0.000355986477005432	0	0	0.000141042662408751	0	0	4.63778960303945e-06	0.000106719125652371	0.000707337168049325	0.00186859308967643	2.47888654641096e-05	1.56974680753384e-05
