X.mOTUs2_clade	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005163	reERR5005164	reERR5005165	reERR5005166	reERR5005167	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005286	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005324	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005331	reERR5005334	reERR5005335
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0.0029495417	0.0029134276	0.0005064748	0.0106644427	0.00249888	0	0	0.0011823868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386044303	0	0	0	0	0	0	0	0	0.0898670899	0	0	0.0967529591	0	0	0	0	0	0	0	0	0	0	0	0.0288821534	0.0181575146
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0029495417	0.0029134276	0.0005064748	0.0106644427	0.00249888	0	0	0.0011823868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386044303	0	0	0	0	0	0	0	0	0.0898670899	0	0	0.0967529591	0	0	0	0	0	0	0	0	0	0	0	0.0288821534	0.0181575146
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016078418	0.0072522069
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae gen. incertae sedis|s__Methanobacteriaceae species incertae sedis [ext_mOTU_v3_23769]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016078418	0.0072522069
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0.0029495417	0.0029134276	0.0005064748	0.0106644427	0.00249888	0	0	0.0009074752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386044303	0	0	0	0	0	0	0	0	0.0898670899	0	0	0.0967529591	0	0	0	0	0	0	0	0	0	0	0	0.0269561251	0.0109053077
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter arboriphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011915252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386044303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter boviskoreani	0	0	0	0	0	0	0	0	0	0	0	0	0.0012937831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0269561251	0.0109053077
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter species incertae sedis [ext_mOTU_v3_16483]	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029134276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter species incertae sedis [ext_mOTU_v3_16507]	0	0	0	0	0	0	0	0	0	0	0	0	0.0009342041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter species incertae sedis [ext_mOTU_v3_16545]	0	0	0	0	0	0	0	0	0	0	0	0	0.0007215545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter species incertae sedis [ext_mOTU_v3_18211]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013073548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0898670899	0	0	0.0967529591	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter species incertae sedis [ext_mOTU_v3_26284]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005064748	0.0106644427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter species incertae sedis [ext_mOTU_v3_33598]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009074752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002749116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003181865	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera stadtmanae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002749116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003181865	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0331812688	0	0	0.043955135	0	0	0	0.0013489653	0	0	0	0	0	0	0	0	0	0.0009358417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035260421	0	0	0.0428973952	0	0	0	0.0013489653	0	0	0	0	0	0	0	0	0	0.0009358417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0412410443	0	0	0	0.0013489653	0	0	0	0	0	0	0	0	0	0.0009358417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculaceae gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013489653	0	0	0	0	0	0	0	0	0	0.0009358417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculaceae gen. incertae sedis|s__Methanocorpusculaceae archaeon Phil4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013489653	0	0	0	0	0	0	0	0	0	0.0009358417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0412410443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum bavaricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0412410443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035260421	0	0	0.0016563509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035260421	0	0	0.0016563509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus chikugoensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035260421	0	0	0.0016563509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0296552267	0	0	0.0010577399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0296552267	0	0	0.0010577399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0296552267	0	0	0.0010577399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina mazei	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0296552267	0	0	0.0010577399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019444328	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039001777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019444328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019444328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales fam. incertae sedis|g__Methanomassiliicoccales gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019444328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales fam. incertae sedis|g__Methanomassiliicoccales gen. incertae sedis|s__Methanomassiliicoccales archaeon RumEn M2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019444328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmata order incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039001777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmata order incertae sedis|f__Thermoplasmata fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039001777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmata order incertae sedis|f__Thermoplasmata fam. incertae sedis|g__Thermoplasmata gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039001777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmata order incertae sedis|f__Thermoplasmata fam. incertae sedis|g__Thermoplasmata gen. incertae sedis|s__Thermoplasmata species incertae sedis [ext_mOTU_v3_26337]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039001777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	0.7331459911	0.6835527231	0.9656385831	0.6780705338	0.7402105573	0.3715710723	0.4073781414	0.5747405597	0.7940658478	0.4569246443	0.5833386866	0.6609738153	0.9469509105	0.6404727233	0.8776829061	0.9493317941	0.7608924604	0.9099609258	0.9032260002	0.7125950489	0.8699110011	0.9329313078	0.7415855409	0.9168995813	0.7929125631	0.9487270939	0.9383519999	0.945741899	0.9445704803	0.8940020573	0.9629792918	0.4750711467	0.9610614436	0.6382240025	0.9311243107	0.9417173118	0.9184895547	0.9886016401	0.9439044488	0.9936375889	0.8827421095	0.9181595819	0.9641202633	0.7224950426	0.9856246149	0.7432685826	0.9959182256	0.8397010303	0.7575762614	0.9947928136	0.9544535214	0.8919161073	0.8582381741	0.9732929495	0.9283816251	0.9582530652	0.9741756728	0.9658632413	0.9086148324	0.9607113679	0.914539305	0.9179037171
k__Bacteria|p__Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090299219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090299219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090299219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090299219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090299219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria bacterium SCN 69-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0090299219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.4401887084	0.072056247	0.5349224286	0.2124178822	0.183250832	0.0918093324	0.0102921815	0	0.0085481304	0.008622885	0.0192329335	0	0	0.0108507702	0.0928053606	0.733672336	0.0767723066	0.1029097225	0.0051207682	0	0.0014663446	0	0.0353884647	0.0094683483	0.0672543411	0.0086461487	0.00463334	0.0110411733	0.0255526839	0	0.016769723	0.0096324133	0.0228985157	0	0	0.1501781399	0	0.001160691	0	0	0.019700966	0.011864197	0.0070117205	0.0003881108	0	0.1620046335	0.0233961781	0	0.007482312	0.0107563994
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.4355593781	0.072056247	0.5349224286	0.2124178822	0.183250832	0.0918093324	0	0	0	0	0.0192329335	0	0	0.0003288181	0	0.7154279783	0.0043651312	0.0010059937	0	0	0	0	0.0022977979	0	0	0	0	0.0110411733	0.0255526839	0	0.016769723	0.0096324133	0.0228985157	0	0	0.1501781399	0	0.001160691	0	0	0	0	0.0070117205	0.0001914937	0	0.0267936891	0.0233961781	0	0.0028336614	0.0003883301
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021079163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]|f__Actinobacteria fam. [Streptomycetaceae/Actinospicaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021079163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
