,,,,,,,,,,,,,,
Library Name ,Substrate,Ecozone,Soil Layer,Enrichment,Library Type,StudyAccession,SampleAccession,Experiment Accession,Run Accession,ScaffoldAccession,# contigs (>= 1000 bp),Total length (>= 1000 bp),N50,Largest contig
A9085,Cellulose,Ontario_BS,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101928,NA,NA,FTKM01000001-FTKM01680091,10067,35467550,4990,1051722
A7026,Cellulose,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101923,NA,NA,FTIF01000001-FTIF01349150,13362,57205237,7278,161781
A7026_12C,Cellulose,Ontario_BS,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101924,NA,NA,FTID01000001-FTID01300904,651,945554,1406,4950
A8056,Cellulose,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101927,NA,NA,FTIR01000001-FTIR01452766,7587,36909762,9668,161115
A9086,Cellulose,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101929,NA,NA,FTIT01000001-FTIT01511568,6836,25061967,5985,56261
JE121_12C,Cellulose,Ontario_JP,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101941,NA,NA,FTHY01000001-FTHY01127361,2551,7553217,3678,41363
JS079,Cellulose,Ontario_JP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101944,NA,NA,FTJE01000001-FTJE01893976,4727,9217504,1999,50271
JW013,Cellulose,Ontario_JP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101946,NA,NA,FTLB01000001-FTLB01843471,24445,75085255,4225,508732
JE122,Cellulose,Ontario_JP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101942,NA,NA,FTKD01000001-FTKD01411784,5230,39273358,35024,617630
JE122_12C,Cellulose,Ontario_JP,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101943,NA,NA,FTIN01000001-FTIN01423455,4207,9185073,2398,31073
JS080,Cellulose,Ontario_JP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101945,NA,NA,FTKT01000001-FTKT01457733,8712,48332452,10584,153189
JW014,Cellulose,Ontario_JP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101947,NA,NA,FTIP01000001-FTIP01388939,11512,31813317,3366,93362
TXA40,Cellulose,Texas_LP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101956,NA,NA,FTIZ01000001-FTIZ01752047,29548,95914910,4262,425193
TXA40_12C,Cellulose,Texas_LP,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101957,NA,NA,FTKB01000001-FTKB01227478,433,641819,1305,42141
TXB82,Cellulose,Texas_LP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101958,NA,NA,FTIQ01000001-FTIQ01610092,7349,14396227,1965,40825
TXA37_12C,Cellulose,Texas_LP,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101955,NA,NA,FTJI01000001-FTJI01820594,11621,26665598,2534,62194
BLO1_13C,Lignin,California_PP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101982,NA,NA,FTJS01000001-FTJS01760907,767,1141382,1407,37078
BLO3_12C,Lignin,California_PP,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101983,NA,NA,FTKE01000001-FTKE01005175,5,5695,1092,1358
BRO1_13C,Lignin,California_PP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101988,NA,NA,FTJQ01000001-FTJQ01485525,6443,15855159,2842,27406
BRO2_13C,Lignin,California_PP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101989,NA,NA,FTKP01000001-FTKP01279659,8456,21014057,2814,40580
BRO3_12C,Lignin,California_PP,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101990,NA,NA,FTJD01000001-FTJD01015934,0,0,NA,NA
BRO3_13C,Lignin,California_PP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101991,NA,NA,FTJK01000001-FTJK01209305,5396,20605638,5557,55413
LHO3_12C,Lignin,California_PP,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101996,NA,NA,FTKN01000001-FTKN01006972,0,0,NA,NA
BLM1_13C,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101978,NA,NA,FTKQ01000001-FTKQ01334231,4483,9183213,2136,39233
BLM2_12C,Lignin,California_PP,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101979,NA,NA,FTIS01000001-FTIS01031720,4,5640,1335,1785
BLM2_13C,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101980,NA,NA,FTKH01000001-FTKH01098396,2538,3704682,1416,8172
BLM3_13C,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101981,NA,NA,FTIY01000001-FTIY01143229,5276,8758320,1647,9479
BR_Antibiotic,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102010,NA,NA,FTJM01000001-FTJM01379587,4616,15144226,4831,64391
BR_Control,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102011,NA,NA,FTKC01000001-FTKC01884931,428,626018,1315,15718
BRM1_12C,Lignin,California_PP,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101984,NA,NA,FTKG01000001-FTKG01062394,85,146506,1788,6014
BRM1_13C,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101985,NA,NA,FTJB01000001-FTJB01051675,898,1294391,1391,5006
BRM2_12C,Lignin,California_PP,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1102004,NA,NA,FTKJ01000001-FTKJ01083145,15,25343,1672,4488
BRM2_13C,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101986,NA,NA,FTJO01000001-FTJO01372239,22011,78849660,4966,71051
BRM3_13C,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101987,NA,NA,FTJG01000001-FTJG01118901,4500,11615711,3047,30759
LHM1_12C,Lignin,California_PP,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101992,NA,NA,FTJF01000001-FTJF01018906,2,2999,1563,1563
LHM1_13C,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101993,NA,NA,FTJJ01000001-FTJJ01054064,219,277127,1237,2553
LHM2_13C,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101994,NA,NA,FTJX01000001-FTJX01475362,7583,12923723,1698,18268
LHM3_13C,Lignin,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101995,NA,NA,FTJP01000001-FTJP01050285,568,820596,1409,8583
A7O1_13C,Lignin,Ontario_BS,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101964,NA,NA,FTHT01000001-FTHT01067378,1763,4834580,3358,17931
A7O2_12C,Lignin,Ontario_BS,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101965,NA,NA,FTHR01000001-FTHR01012696,4,6039,1417,2268
A7O2_13C,Lignin,Ontario_BS,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101966,NA,NA,FTIL01000001-FTIL01405296,8322,22034006,3222,39506
A8O2_12C,Lignin,Ontario_BS,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101970,NA,NA,FTIX01000001-FTIX01328470,3382,11549194,5679,137573
A8O2_13C,Lignin,Ontario_BS,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101971,NA,NA,FTLA01000001-FTLA01550502,3617,6581650,1899,15598
A8O3_12C,Lignin,Ontario_BS,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101972,NA,NA,FTIM01000001-FTIM01142276,44,78892,1910,5084
A9O2_13C,Lignin,Ontario_BS,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101977,NA,NA,FTKI01000001-FTKI01295082,668,1114660,1537,20568
A7_Antibiotic,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102006,NA,NA,FTHQ01000001-FTHQ01000471,361,8393889,38270,239404
A7_Control,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102007,NA,NA,FTIE01000001-FTIE01241305,3853,7193384,1885,12295
A7M1_13C,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101960,NA,NA,FTIH01000001-FTIH01353217,7563,28627916,5676,107372
A7M2_13C,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101961,NA,NA,FTIU01000001-FTIU01612198,12995,33593060,3087,36439
A7M3_12C,Lignin,Ontario_BS,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101962,NA,NA,FTHW01000001-FTHW01104510,115,266118,2705,8266
A7M3_13C,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101963,NA,NA,FTHS01000001-FTHS01059358,1746,2892090,1670,8667
A8_Antibiotic,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102008,NA,NA,FTJA01000001-FTJA01763611,7570,19619415,3115,63169
A8_Control,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102009,NA,NA,FTKZ01000001-FTKZ01402478,4675,8001482,1701,54196
A8M1_12C,Lignin,Ontario_BS,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101967,NA,NA,FTHU01000001-FTHU01034751,17,19664,1151,1574
A8M2_13C,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101968,NA,NA,FTHX01000001-FTHX01042685,59,71983,1134,2616
A8M3_12C,Lignin,Ontario_BS,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1102005,NA,NA,FTIA01000001-FTIA01055129,0,0,NA,NA
A8M3_13C,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101969,NA,NA,FTJL01000001-FTJL01700498,19412,55806596,3446,123440
A9M1_12C,Lignin,Ontario_BS,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101973,NA,NA,FTIK01000001-FTIK01003150,2,4768,2588,2588
A9M1_13C,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101974,NA,NA,FTKY01000001-FTKY01016806,2,2806,1513,1513
A9M2_13C,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101975,NA,NA,FTIV01000001-FTIV01222709,5975,17521782,3682,69268
A9M3_13C,Lignin,Ontario_BS,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101976,NA,NA,FTIO01000001-FTIO01020934,44,54766,1246,1881
TXAO1_13C,Lignin,Texas_LP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1102003,NA,NA,FTII01000001-FTII01474017,4158,8378852,2049,36509
TXA_Antibiotic,Lignin,Texas_LP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102012,NA,NA,FTJU01000001-FTJU01243452,6643,28883865,8472,145972
TXA_Control,Lignin,Texas_LP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102013,NA,NA,FTJZ01000001-FTJZ01385345,972,1773205,1842,69647
TXAM1_13C,Lignin,Texas_LP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101998,NA,NA,FTJR01000001-FTJR01023780,79,136802,1700,9063
TXAM2_12C,Lignin,Texas_LP,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101999,NA,NA,FTJT01000001-FTJT01001452,0,0,NA,NA
TXAM2_13C,Lignin,Texas_LP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102000,NA,NA,FTJY01000001-FTJY01133925,3172,4966998,1522,27116
TXAM3_12C,Lignin,Texas_LP,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1102001,NA,NA,FTJV01000001-FTJV01003625,0,0,NA,NA
TXAM3_13C,Lignin,Texas_LP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1102002,NA,NA,FTJW01000001-FTJW01004662,0,0,NA,NA
