X.mOTUs2_clade	reERR4183438	reERR4183439	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183453	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183458	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183469	reERR4183470	reERR4183471	reERR4183472	reERR4183473	reERR4183474	reERR4183475	reERR4183476	reERR4183477	reERR4183478	reERR4183479	reERR4183480	reERR4183481	reERR4183482	reERR4183483	reERR4183484	reERR4183485	reERR4183486	reERR4183487	reERR4183488	reERR4183489	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183496	reERR4183497	reERR4183498	reERR4183499
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	1.68951e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48525e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	1.68951e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48525e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	1.68951e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48525e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces hordeovulneris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48525e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris	0	0	1.68951e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0035019384	0	0	0.0148077721	0.0015824228	1.55075e-05	1.70998e-05	0.0021570618	0.0072315809	4.36609e-05	0.0001142215	0.0165859828	0.0028885939	6.9284e-05	0	0	0.0230934577	0.0050803084	1.51438e-05	0	0	0.0113170372	0.0057350232	6.3403e-06	0	0.0128504927	0.0081963409	0	0	0.0025987441	0.0053173961	0.0048290514	0	0	0	0.0123776722	0	0	0	0	0.0001553167	0.0002254184	0	0	4.89196e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0035019384	0	0	0.0148077721	0.0015824228	1.55075e-05	1.70998e-05	0.0021570618	0.0072315809	4.36609e-05	0.0001142215	0.0165859828	0.0028885939	6.9284e-05	0	0	0.0230934577	0.0050803084	1.51438e-05	0	0	0.0113170372	0.0057350232	6.3403e-06	0	0.0128504927	0.0081963409	0	0	0.0025987441	0.0053173961	0.0048290514	0	0	0	0.0123776722	0	0	0	0	0.0001553167	0.0002254184	0	0	4.89196e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.0035019384	0	0	0.0148077721	0.0015824228	1.55075e-05	1.70998e-05	0.0021570618	0.0072315809	4.36609e-05	0.0001142215	0.0165859828	0.0028885939	6.9284e-05	0	0	0.0230934577	0.0050803084	1.51438e-05	0	0	0.0113170372	0.0057350232	6.3403e-06	0	0.0128504927	0.0081963409	0	0	0.0025987441	0.0053173961	0.0048290514	0	0	0	0.0123776722	0	0	0	0	0.0001553167	0.0002254184	0	0	4.89196e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3403e-06	0	0	0.0003690792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium animalis	0.0006261409	0	0	0.0058509405	5.96005e-05	0	0	0	0.0005915998	0	0	0.0042330469	0.0004613474	0	0	0	0.0203470637	0.0008590789	1.51438e-05	0	0	0.0028387637	0.0007620053	0	0	0.0002563308	0.0001156947	0	0	0	0.0010948932	0.0006581115	0	0	0	0.0058065637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium catenulatum/kashiwanohense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011632284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium minimum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.90453e-05	0.0001168738	0	0	4.89196e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudocatenulatum	0	0	0	2.2294e-05	0	0	0	0.0021570618	0	0	0	2.47517e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062428709	0	0	0	0.0025349815	0	0	0	0	0	0.0001160716	0	0	0	0	4.02475e-05	3.17214e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudolongum	0.0028757975	0	0	0.0088414713	0.0014264634	1.55075e-05	1.70998e-05	0	0.0066399812	0	4.63705e-05	0.0122881936	0.002207454	5.34985e-05	0	0	0.002746394	0.00316021	0	0	0	0.0075752161	0.0047847668	0	0	0.0051339644	0.0071170422	0	0	1.77287e-05	0.0040938197	0.0040106902	0	0	0	0.0063725614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium sp.	0	0	0	5.03207e-05	0	0	0	0	0	4.36609e-05	6.7851e-05	3.99906e-05	2.04096e-05	0	0	0	0	2.52868e-05	0	0	0	0	2.98885e-05	0	0	0	0.0003269485	0	0	4.60338e-05	0	0	0	0	0	8.24755e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium species incertae sedis [ext_mOTU_v3_15386]	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57855e-05	0	0	0	0	0	0	0	0	9.97468e-05	0	0	0	0.0001646238	0	0	0	4.36067e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium species incertae sedis [ext_mOTU_v3_15415]	0	0	0	4.27456e-05	5.8886e-05	0	0	0	0	0	0	0	0.0001993828	0	0	0	0	0.0010357326	0	0	0	0.0009030574	5.86158e-05	0	0	5.40983e-05	0	0	0	0	8.50766e-05	0.0001602497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium species incertae sedis [ext_mOTU_v3_26736]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001029525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium species incertae sedis [ext_mOTU_v3_26998]	0	0	0	0	3.74729e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium subtile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60238e-05	7.68232e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0	0	0	0	0	0	0	0	0	0	4.72364e-05	0	0	0	0	0.0001374996	0	0	0	3.50971e-05	0	0	0	0	4.79144e-05	0	0	0	4.06828e-05	1.60761e-05	3.29651e-05	0	0	0	0	0	0	0	0	0	5.13414e-05	0.0001869795	0	0	0	0	0	0	0	0	0	0	0	0	0	8.37186e-05	8.81195e-05	9.155e-05	0.0001080338	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	4.72364e-05	0	0	0	0	0	0	0	0	3.50971e-05	0	0	0	0	4.79144e-05	0	0	0	4.06828e-05	0	0	0	0	0	0	0	0	0	0	0	5.13414e-05	9.71355e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	4.72364e-05	0	0	0	0	0	0	0	0	3.50971e-05	0	0	0	0	4.79144e-05	0	0	0	4.06828e-05	0	0	0	0	0	0	0	0	0	0	0	5.13414e-05	9.71355e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium vitaeruminis	0	0	0	0	0	0	0	0	0	0	4.72364e-05	0	0	0	0	0	0	0	0	3.50971e-05	0	0	0	0	4.79144e-05	0	0	0	4.06828e-05	0	0	0	0	0	0	0	0	0	0	0	5.13414e-05	9.71355e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60761e-05	3.29651e-05	0	0	0	0	0	0	0	0	0	0	8.9844e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.37186e-05	8.81195e-05	9.155e-05	0.0001080338	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales fam. incertae sedis|g__Lawsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60761e-05	3.29651e-05	0	0	0	0	0	0	0	0	0	0	8.9844e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.37186e-05	8.81195e-05	9.155e-05	0.0001080338	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales fam. incertae sedis|g__Lawsonella|s__Lawsonella clevelandensis [meta_mOTU_v3_12415]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60761e-05	3.29651e-05	0	0	0	0	0	0	0	0	0	0	8.9844e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.37186e-05	8.81195e-05	9.155e-05	0.0001080338	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001374996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001374996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium tuberculosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001374996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0	0	0	0	0	0	0	0	0	0	5.90637e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	0	0	0	0	0	0	0	0	0	0	5.90637e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium	0	0	0	0	0	0	0	0	0	0	2.56959e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium flaccumfaciens	0	0	0	0	0	0	0	0	0	0	2.56959e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium	0	0	0	0	0	0	0	0	0	0	3.33678e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium foliorum	0	0	0	0	0	0	0	0	0	0	3.33678e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0	0	2.33051e-05	0	0	0	0	0	0	0	0	0	0	1.4092e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34361e-05	6.14577e-05	0.0001136058	6.70787e-05	1.87218e-05	0	0	0	0	2.66669e-05	0	0	0.0002888253	0.0003251614	0	0	0	0	1.87442e-05	6.39071e-05	0	0	0	0	1.4788e-05	0	0	0.0002198863	0.0003933015	0.0006298137	0.0006096266	2.73239e-05	2.29005e-05	2.33136e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	0	0	2.33051e-05	0	0	0	0	0	0	0	0	0	0	1.4092e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34361e-05	6.14577e-05	0.0001136058	6.70787e-05	1.87218e-05	0	0	0	0	2.66669e-05	0	0	0.0002888253	0.0003251614	0	0	0	0	1.87442e-05	6.39071e-05	0	0	0	0	1.4788e-05	0	0	0.0002198863	0.0003933015	0.0006298137	0.0006096266	2.73239e-05	2.29005e-05	2.33136e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	0	0	2.33051e-05	0	0	0	0	0	0	0	0	0	0	1.4092e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.14577e-05	0.0001136058	6.70787e-05	1.87218e-05	0	0	0	0	0	0	0	0.000255267	0.0002670705	0	0	0	0	1.87442e-05	6.39071e-05	0	0	0	0	1.4788e-05	0	0	0.0002198863	0.0003933015	0.0006298137	0.0006096266	2.73239e-05	2.29005e-05	2.33136e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium acnes	0	0	2.33051e-05	0	0	0	0	0	0	0	0	0	0	1.4092e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.14577e-05	7.39702e-05	6.70787e-05	1.87218e-05	0	0	0	0	0	0	0	0.0001565551	0.0001505694	0	0	0	0	1.87442e-05	6.39071e-05	0	0	0	0	1.4788e-05	0	0	0.000159776	0.0002645405	0.0005094522	0.0005293192	2.73239e-05	2.29005e-05	2.33136e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium granulosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6177e-05	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__[Propionibacterium] namnetense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96357e-05	0	0	0	0	0	0	0	0	0	9.87119e-05	0.0001165011	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01103e-05	0.0001287611	9.41845e-05	8.03074e-05	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34361e-05	0	0	0	0	0	0	0	0	2.66669e-05	0	0	3.35583e-05	5.80909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium freudenreichii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34361e-05	0	0	0	0	0	0	0	0	2.66669e-05	0	0	3.35583e-05	5.80909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
