Taxa	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__archaea|p__crenarchaeota|c__thermoprotei	0.00018625259441398	0	0	0	0	0	0	0	0	0.00147933258582784	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales	0	0	0	0	0	0	0	0	0	0.000149017018718922	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae	0	0	0	0	0	0	0	0	0	0.000149017018718922	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus	0	0	0	0	0	0	0	0	0	0.000149017018718922	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_saccharovorans	0	0	0	0	0	0	0	0	0	7.58632095296329e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_sp._7a	0	0	0	0	0	0	0	0	0	7.31538091892889e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales	0	0	0	0	0	0	0	0	0	0.000306162238458876	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae	0	0	0	0	0	0	0	0	0	0.000262811833013371	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__aeropyrum	0	0	0	0	0	0	0	0	0	7.31538091892889e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__aeropyrum|s__aeropyrum_camini	0	0	0	0	0	0	0	0	0	3.79316047648165e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__aeropyrum|s__aeropyrum_pernix	0	0	0	0	0	0	0	0	0	3.25128040841284e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__ignicoccus	0	0	0	0	0	0	0	0	0	5.96068074875687e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__ignicoccus|s__ignicoccus_hospitalis	0	0	0	0	0	0	0	0	0	5.96068074875687e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__thermogladius	0	0	0	0	0	0	0	0	0	0.00012734181599617	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__thermogladius|s__thermogladius_calderae	0	0	0	0	0	0	0	0	0	0.00012734181599617	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae	0	0	0	0	0	0	0	0	0	4.33504054455045e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae|g__pyrodictium	0	0	0	0	0	0	0	0	0	4.33504054455045e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae|g__pyrodictium|s__pyrodictium_delaneyi	0	0	0	0	0	0	0	0	0	4.33504054455045e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales	0	0	0	0	0	0	0	0	0	8.1282010210321e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae	0	0	0	0	0	0	0	0	0	8.1282010210321e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__sulfodiicoccus	0	0	0	0	0	0	0	0	0	4.33504054455045e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__sulfodiicoccus|s__sulfodiicoccus_acidiphilus	0	0	0	0	0	0	0	0	0	4.33504054455045e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__sulfuracidifex	0	0	0	0	0	0	0	0	0	3.79316047648165e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__sulfuracidifex|s__sulfuracidifex_tepidarius	0	0	0	0	0	0	0	0	0	3.79316047648165e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermofilales	0	0	0	0	0	0	0	0	0	0.000159854620080298	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermofilales|f__thermofilaceae	0	0	0	0	0	0	0	0	0	0.000159854620080298	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermofilales|f__thermofilaceae|g__infirmifilum	0	0	0	0	0	0	0	0	0	8.3991410550665e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermofilales|f__thermofilaceae|g__infirmifilum|s__infirmifilum_lucidum	0	0	0	0	0	0	0	0	0	8.3991410550665e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermofilales|f__thermofilaceae|g__thermofilum	0	0	0	0	0	0	0	0	0	7.31538091892889e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermofilales|f__thermofilaceae|g__thermofilum|s__thermofilum_pendens	0	0	0	0	0	0	0	0	0	7.31538091892889e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales	0.00018625259441398	0	0	0	0	0	0	0	0	0.000777597897678737	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae	0.00018625259441398	0	0	0	0	0	0	0	0	0.000777597897678737	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__caldivirga	0	0	0	0	0	0	0	0	0	2.70940034034403e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__caldivirga|s__caldivirga_maquilingensis	0	0	0	0	0	0	0	0	0	2.70940034034403e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__pyrobaculum	0	0	0	0	0	0	0	0	0	0.000438922855135733	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__pyrobaculum|s__pyrobaculum_arsenaticum	0	0	0	0	0	0	0	0	0	7.04444088489449e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__pyrobaculum|s__pyrobaculum_calidifontis	0	0	0	0	0	0	0	0	0	6.77350085086008e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__pyrobaculum|s__pyrobaculum_ferrireducens	0	0	0	0	0	0	0	0	0	0.00018152982280305	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__pyrobaculum|s__pyrobaculum_neutrophilum	0	0	0	0	0	0	0	0	0	0.000111085413954105	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__thermoproteus	0.00018625259441398	0	0	0	0	0	0	0	0	0.000281777635395779	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__thermoproteus|s__thermoproteus_tenax	0	0	0	0	0	0	0	0	0	5.96068074875687e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__thermoproteus|s__thermoproteus_uzoniensis	0.00018625259441398	0	0	0	0	0	0	0	0	0.000219461427567867	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__vulcanisaeta	0	0	0	0	0	0	0	0	0	2.70940034034403e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__vulcanisaeta|s__vulcanisaeta_distributa	0	0	0	0	0	0	0	0	0	2.70940034034403e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota	0.0591098006453822	0.0323063449992926	0.033215675349683	0.0315846196109922	0.0561036941311205	0.0595031368588079	0.032422697554551	0.0175965979910551	0.0370127776528426	34.7417437527189	16.7473993488446	11.9610406037863	17.2541225427782	14.0798904780397	22.747795079689	34.8293512561707	31.4839306008912	3.06084051127036	0.526593200652019	10.5484416525731
k__archaea|p__euryarchaeota|c__archaeoglobi	0	0	0	0	0	0	0	0	0	0.000251974231651995	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota|c__archaeoglobi|o__archaeoglobales	0	0	0	0	0	0	0	0	0	0.000251974231651995	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota|c__archaeoglobi|o__archaeoglobales|f__archaeoglobaceae	0	0	0	0	0	0	0	0	0	0.000251974231651995	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota|c__archaeoglobi|o__archaeoglobales|f__archaeoglobaceae|g__archaeoglobus	0	0	0	0	0	0	0	0	0	0.000170692221441674	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota|c__archaeoglobi|o__archaeoglobales|f__archaeoglobaceae|g__archaeoglobus|s__archaeoglobus_fulgidus	0	0	0	0	0	0	0	0	0	0.000108376013613761	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota|c__archaeoglobi|o__archaeoglobales|f__archaeoglobaceae|g__archaeoglobus|s__archaeoglobus_veneficus	0	0	0	0	0	0	0	0	0	5.96068074875687e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota|c__archaeoglobi|o__archaeoglobales|f__archaeoglobaceae|g__geoglobus	0	0	0	0	0	0	0	0	0	7.8572609869977e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota|c__archaeoglobi|o__archaeoglobales|f__archaeoglobaceae|g__geoglobus|s__geoglobus_ahangari	0	0	0	0	0	0	0	0	0	7.8572609869977e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota|c__halobacteria	0.0502035402215864	0.0306164746454834	0.0313278412668285	0.0276978623589824	0.054693547420464	0.0561974070333186	0.0315895661398731	0.0175965979910551	0.0313994654021745	34.7271238284824	16.7453456627519	11.9541739198525	17.2541225427782	14.0659040498114	22.7437275864173	34.8255272966974	31.4764895840297	3.06084051127036	0.526593200652019	10.5484416525731
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales	0.0200814160886346	0.0108019163792506	0.013010748408862	0.0132074275553731	0.0186340815336756	0.022542687725626	0.0124275436022797	0.00733191582960628	0.0141736134329369	9.93506217640277	5.03522756211031	4.25806684777044	7.34708031841661	5.67766712959002	8.02618109835877	9.45146211821862	8.21732419871003	1.11359679773724	0.223277469229192	3.05180685465779
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae	0.0118355057723065	0.00772038808701043	0.00852076464423512	0.00833954711353558	0.0113818984502991	0.0129839508808376	0.00992814935824582	0.00733191582960628	0.00838488517443543	7.45034969688313	3.28192728855933	2.25865714165246	4.62847944680807	3.83853409068471	5.90023794835639	7.00949980789156	5.69964451704603	0.598356690057851	0.117861221461967	1.55869257584648
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halapricum	0.00164240924165055	0.000762098394855107	0.000816360684477616	0.00150942029204264	0.00181304577084411	0.00187191929877107	0.00187454568302543	0.00199009143946456	0.000912163240733562	1.28697599926478	0.381711788431997	0.212987670085954	0.464788878192189	0.53340397850807	0.687067405142667	1.18369755029872	1.02296541961812	0.0558245702541879	0.0100047827742043	0.151865529976185
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halapricum|s__halapricum_desulfuricans	0.00113444762052151	0.000762098394855107	0.000816360684477616	0.00109432971173091	0.0010576100329924	0.00187191929877107	0.00187454568302543	0.00199009143946456	0.000912163240733562	0.625689948796669	0.207969944988595	0.144200362609099	0.310808152955912	0.347302209965357	0.457254035292283	0.587524059078353	0.411116181595691	0.0355623188285938	0.00683253457750534	0.115279743209195
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halapricum|s__halapricum_salinum	0.000491029567091402	0	0	0.00037735507301066	0.000705073355328265	0	0	0	0	0.661286050468109	0.173741843443402	0.0687873074768551	0.153721934101425	0.186101768542713	0.229813369850384	0.596173491220371	0.611791105078203	0.0198487360903779	0.00292822910464515	0.03658578676699
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__haloarcula	0.00130376816089786	0.00119284966151234	0.00102045085559702	0.00120753623363411	0.000805798120375159	0.00115501403541193	0	0	0.00140332806266702	2.46682501847269	0.879936034523832	0.420795210186786	1.12781176568015	1.03675084850998	2.23407067947475	2.31522536778296	1.64347646633085	0.0963490731053761	0.0156172218914408	0.347910123218169
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__haloarcula|s__haloarcula_hispanica	0	0	0	0	0	0	0	0	0	0.163748028369372	0	0	0	0	0	0.109984358184821	0	0	0	0
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__haloarcula|s__haloarcula_marismortui	0	0	0	0	0	0	0	0	0	0.274865955127562	0.0602414587195404	0.0490305326498774	0.198751591565479	0.145513702311765	0.276589542474798	0.263124830425607	0.120451460444891	0	0	0.0655782970351707
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__haloarcula|s__haloarcula_sinaiiensis	0	0	0	0	0	0	0	0	0	0.168356718348298	0.0301207293597702	0.0324059294418109	0.0991170046478888	0.0916522414485332	0.184054070543892	0.169346776675304	0.0600513313897552	0.0128189753917024	0	0.0241604252234839
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__haloarcula|s__haloarcula_sp._as7094	0	0	0	0	0	0	0	0	0	0.000197786224845114	0	0	0	0	0	0	0	0	0	0
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__haloarcula|s__haloarcula_sp._cba1115	0	0	0	0	0	0	0	0	0	0.486367164495498	0.346525300043538	0.0674621579457773	0.185294452553233	0.18824086933056	0.404715580532977	0.470893295142297	0.62882405773764	0.0186081900847293	0	0.0372760846305181
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__haloarcula|s__haloarcula_sp._jp-l23	0.000575689837279574	0.00119284966151234	0.00102045085559702	0.00037735507301066	0.000805798120375159	0.00115501403541193	0	0	0.00140332806266702	0.839553755261385	0.333929358674907	0.215397032869732	0.419500429593284	0.412407662149325	0.879934377775217	0.803577769320555	0.639462386531759	0.0545840242485393	0.00683253457750534	0.166361785110275
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__haloarcula|s__haloarcula_taiwanensis	0.000728078323618285	0	0	0.000830181160623451	0	0	0	0	0	0.533730191845052	0.108845362913715	0.0561381528620218	0.224889496185419	0.198826675793497	0.488099192602586	0.498025198071996	0.194629097282576	0.00992436804518896	0.00854066822188168	0.0531529354916647
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halococcoides	0.000457165459016132	0	0	0	0	0.000517764912426039	0	0	0	0.0727582367395987	0.0407998970418706	0.0261415862039887	0.0623686634990632	0.0553423767932795	0.0603344835300418	0.0686491772113867	0.0586561407282314	0.00868382203954034	0	0.0241604252234839
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halococcoides|s__halococcoides_cellulosivorans	0.000457165459016132	0	0	0	0	0.000517764912426039	0	0	0	0.0727582367395987	0.0407998970418706	0.0261415862039887	0.0623686634990632	0.0553423767932795	0.0603344835300418	0.0686491772113867	0.0586561407282314	0.00868382203954034	0	0.0241604252234839
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halomicrobium	0.00198105032240324	0.0010271760974134	0.00127556356949627	0.00207545290155863	0.00161159624075032	0.0023896842111971	0.00208282853669493	0	0.0019997424893005	0.782447724287953	0.404849985076548	0.299845198441142	0.535956440276182	0.475867652188794	0.722319013497299	0.750042336694169	0.6106284461936	0.0769138523502144	0.0185454509960859	0.184999827425534
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halomicrobium|s__halomicrobium_mukohataei	0	0	0	0	0	0	0	0	0	0.188316870655612	0.0963863339512647	0	0.12292578905417	0.0969725690490764	0	0.179452955283346	0.14178625097736	0	0	0
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halomicrobium|s__halomicrobium_salinisoli	0.00104978735033334	0.0010271760974134	0.00127556356949627	0.00109432971173091	0.00161159624075032	0.0023896842111971	0.00208282853669493	0	0.000947246442300237	0.416648874937765	0.240281272847258	0.180461272504954	0.301750463236131	0.281593421661741	0.399292256170726	0.386948280037657	0.321823979258165	0.0471407482146475	0.0112248782344731	0.114589445345667
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halomicrobium|s__halomicrobium_sp._lc1hm	0.0009312629720699	0	0	0.000943387682526649	0	0	0	0	0.00101741284543359	0.177479269294236	0.0680454658718445	0.119383925936188	0.111021396851029	0.097301661477976	0.323026757326572	0.183550054719039	0.146960083013844	0.0297731041355669	0.00707655366955911	0.0697200842163394
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halorhabdus	0.00104978735033334	0.000397616553837447	0.000612270513358212	0.000716974638720253	0.000755435737851712	0.00123467017578517	0	0	0	0.389852905571763	0.181682763001887	0.138538360067221	0.300974089831579	0.256363002112773	0.314552813010555	0.372289768723289	0.30153558172184	0.0277055274594858	0.00512440093312901	0.0876678286680703
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halorhabdus|s__halorhabdus_sp._cba1104	0.000287844918639787	0	0	0	0.000755435737851712	0	0	0	0	0.0781255588138202	0.0371032620749897	0.0202386473837332	0.0571928408020455	0.0527644861002328	0.0640630190290894	0.0758418628873807	0.0625510479916521	0	0	0.0172574465882028
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halorhabdus|s__halorhabdus_tiamatea	0.000423301350940863	0	0	0.000716974638720253	0	0.000796561403732368	0	0	0	0.207645732683626	0.0911836625163953	0.0760153958281883	0.151134022752917	0.126810282602638	0.169478886320342	0.19656972625913	0.159574931911789	0.0165406134086483	0	0.0421081696752149
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halorhabdus|s__halorhabdus_utahensis	0.000321709026715056	0.000397616553837447	0.000612270513358212	0	0	0.000398280701866184	0	0	0	0.104078904673976	0.0533958384105017	0.0422843168552997	0.0923884351417658	0.0767333846717522	0.0806719498884829	0.0997871329226522	0.0793514688741683	0.0107513987156214	0.00512440093312901	0.0283022124046526
k__archaea|p__euryarchaeota|c__halobacteria|o__halobacteriales|f__haloarculaceae|g__halorientalis	0.000338641080752691	0.000463885979477022	0.000816360684477616	0.00037735507301066	0.000553986207757922	0	0.00076370379678814	0	0	0.45228832701465	0.172783456600136	0.13540618844831	0.243522457894682	0.198771827055347	0.31184115082943	0.404611330938199	0.325544487688896	0.038043410839891	0.00707655366955911	0.0724812756704518
