bin_id	completeness	contamination	strain_heterogeneity	quality	keep	n50
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.1	79.31	1.72	0.0	medium_quality	keep	20156
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.10	94.79	1.57	0.0	high_quality	keep	20354
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.11	13.01	0.0	0.0	low_quality	reject	2058
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.12	46.68	12.54	0.0	low_quality	reject	2908
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.13	3.09	0.0	0.0	low_quality	reject	16363
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.14	99.2	6.55	18.0	medium_quality	keep	58351
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.15	24.61	0.0	0.0	low_quality	reject	2189
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.16	99.51	0.03	0.0	high_quality	keep	105073
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.17	94.59	103.49	10.09	low_quality	reject	3464
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.18	12.5	0.0	0.0	low_quality	reject	2489
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.19	91.75	6.91	20.51	medium_quality	keep	17843
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.2	95.92	3.82	38.89	high_quality	keep	20194
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.20	57.3	4.11	17.65	medium_quality	keep	4890
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.21	4.17	0.0	0.0	low_quality	reject	3626
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.22	86.86	66.1	19.9	low_quality	reject	4911
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.23	100.0	316.1	21.7	low_quality	reject	11558
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.24	18.1	0.0	0.0	low_quality	reject	1959
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.25	95.26	2.59	0.0	high_quality	keep	125499
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.26	69.16	4.48	37.5	medium_quality	keep	8427
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.27	97.29	5.81	0.0	medium_quality	keep	56324
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.28	25.67	0.0	0.0	low_quality	reject	22124
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.29	0.0	0.0	0.0	low_quality	reject	5836
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.3	31.03	0.0	0.0	low_quality	reject	2264
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.30	46.73	13.52	0.0	low_quality	reject	14041
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.31	24.18	0.94	0.0	low_quality	reject	3492
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.32	98.45	6.42	0.0	medium_quality	keep	292224
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.33	0.0	0.0	0.0	low_quality	reject	12929
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.34	91.92	0.93	0.0	high_quality	keep	45730
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.35	84.21	1.75	100.0	medium_quality	keep	88718
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.36	91.29	9.77	5.0	medium_quality	keep	12896
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.37	96.55	237.14	10.8	low_quality	reject	3131
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.4	0.0	0.0	0.0	low_quality	reject	13814
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.5	0.0	0.0	0.0	low_quality	reject	44652
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.6	82.37	7.45	28.0	medium_quality	keep	8157
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.7	6.35	1.72	0.0	low_quality	reject	1887
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.8	99.05	1.43	50.0	high_quality	keep	26215
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.0.mut_rate.0_sample_1.bin.9	40.86	8.62	16.67	low_quality	reject	2233
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.1	72.79	0.86	0.0	medium_quality	keep	316987
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.10	75.52	1.85	0.0	medium_quality	keep	35102
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.11	80.25	0.97	0.0	medium_quality	keep	27454
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.12	30.52	1.72	0.0	low_quality	reject	2599
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.13	34.55	1.88	10.53	low_quality	reject	2596
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.14	25.86	0.0	0.0	low_quality	reject	2955
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.15	71.67	8.52	3.51	medium_quality	keep	4311
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.16	71.05	1.23	0.0	medium_quality	keep	244276
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.17	61.96	2.47	0.0	medium_quality	keep	5350
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.18	59.05	6.2	5.0	medium_quality	keep	16453
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.19	60.12	0.0	0.0	medium_quality	keep	3288
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.2	76.12	1.27	50.0	medium_quality	keep	194473
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.20	23.28	3.45	0.0	low_quality	reject	3326
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.21	72.8	2.65	0.0	medium_quality	keep	10001
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.22	69.43	0.85	0.0	medium_quality	keep	23641
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.23	47.88	1.72	0.0	low_quality	reject	10406
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.24	81.94	0.51	0.0	medium_quality	keep	86405
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.25	67.81	1.0	33.33	medium_quality	keep	19935
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.26	45.73	11.27	0.0	low_quality	reject	15794
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.27	78.97	6.57	4.35	medium_quality	keep	95406
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.28	0.0	0.0	0.0	low_quality	reject	117797
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.29	10.27	3.45	0.0	low_quality	reject	1939
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.3	82.09	1.8	0.0	medium_quality	keep	800678
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.30	83.15	66.44	2.34	low_quality	reject	5055
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.31	41.36	1.39	100.0	low_quality	reject	3789
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.32	51.23	1.75	0.0	medium_quality	keep	4371
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.33	41.07	0.0	0.0	low_quality	reject	4018
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.34	69.48	0.93	0.0	medium_quality	keep	10459
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.35	51.44	7.76	0.0	medium_quality	keep	2645
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.36	24.14	0.0	0.0	low_quality	reject	2750
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.37	70.14	1.19	0.0	medium_quality	keep	13179
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.38	30.17	1.72	0.0	low_quality	reject	4327
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.39	83.3	5.73	0.0	medium_quality	keep	585567
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.4	1.72	0.0	0.0	low_quality	reject	1814
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.40	55.27	9.32	0.0	medium_quality	keep	3020
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.41	4.17	0.0	0.0	low_quality	reject	1835
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.42	75.6	4.97	3.64	medium_quality	keep	7536
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.43	37.32	2.63	0.0	low_quality	reject	2221
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.44	66.38	0.0	0.0	medium_quality	keep	291454
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.45	70.27	7.12	25.0	medium_quality	keep	8997
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.46	0.0	0.0	0.0	low_quality	reject	178294
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.47	84.93	51.39	1.98	low_quality	reject	3560
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.48	98.28	308.35	1.41	low_quality	reject	26908
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.49	21.21	0.0	0.0	low_quality	reject	2666
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.5	55.97	20.17	0.82	low_quality	reject	2386
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.50	59.17	2.99	0.0	medium_quality	keep	5188
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.6	50.0	0.0	0.0	medium_quality	keep	5822
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.7	81.37	1.03	0.0	medium_quality	keep	239612
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.8	74.09	2.82	0.0	medium_quality	keep	19603
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.05_sample_4.bin.9	50.78	4.47	0.0	medium_quality	keep	3874
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.1	94.87	5.85	15.38	medium_quality	keep	30192
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.10	98.54	3.01	40.0	high_quality	keep	33251
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.11	32.76	6.9	0.0	low_quality	reject	1957
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.12	74.44	3.16	33.33	medium_quality	keep	8911
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.13	99.51	0.0	0.0	high_quality	keep	66034
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.14	76.47	7.01	10.34	medium_quality	keep	6134
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.15	52.28	1.36	25.0	medium_quality	keep	3014
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.16	31.25	0.0	0.0	low_quality	reject	3224
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.17	95.73	0.85	0.0	high_quality	keep	22960
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.18	96.6	1.08	60.0	high_quality	keep	17180
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.19	98.59	393.55	13.85	low_quality	reject	7644
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.2	97.34	5.93	0.0	medium_quality	keep	306118
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.20	24.14	0.0	0.0	low_quality	reject	3843
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.21	92.43	2.26	27.27	high_quality	keep	19434
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.22	7.21	0.0	0.0	low_quality	reject	2041
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.23	95.26	1.72	0.0	high_quality	keep	281683
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.24	91.48	6.51	0.0	medium_quality	keep	19297
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.25	90.82	1.96	22.22	high_quality	keep	15578
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.26	77.09	2.85	37.5	medium_quality	keep	5368
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.27	0.0	0.0	0.0	low_quality	reject	2026
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.28	98.89	4.61	11.11	high_quality	keep	93999
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.29	42.55	14.62	0.0	low_quality	reject	12602
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.3	91.73	2.54	14.29	high_quality	keep	7331
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.30	86.72	2.25	25.0	medium_quality	keep	11762
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.31	0.0	0.0	0.0	low_quality	reject	15439
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.32	98.68	2.21	0.0	high_quality	keep	119394
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.33	47.75	1.09	0.0	low_quality	reject	3497
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.34	97.29	3.49	0.0	high_quality	keep	75746
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.35	0.0	0.0	0.0	low_quality	reject	116616
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.36	28.59	0.0	0.0	low_quality	reject	2699
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.37	75.33	60.41	2.17	low_quality	reject	2264
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.38	15.77	0.0	0.0	low_quality	reject	1998
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_0.bin.39	83.33	3.83	64.29	medium_quality	keep	11077
